id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
123339,39339,33548,,,true,3,https://littlesis.org/relationships/123339,,,,Member,Member,Janet L Yellen,American Academy of Arts and Sciences,Membership
123343,39339,35517,,,false,1,https://littlesis.org/relationships/123343,,,,Vice President,Vice President,Janet L Yellen,American Economic Association,Position
1284953,39339,37655,,,true,1,https://littlesis.org/relationships/1284953,true,,,Director,Director,Janet L Yellen,Bank for International Settlements,Position
123353,39339,39340,,,true,1,https://littlesis.org/relationships/123353,,true,,Executive Committee Member,Executive Committee Member,Janet L Yellen,Bay Area Council,Position
123344,39339,15175,,1967-00-00,false,2,https://littlesis.org/relationships/123344,,,,"Undergraduate, Economics","Undergraduate, Economics",Janet L Yellen,Brown University,Education
123337,39339,15757,1997-02-00,1999-08-00,false,1,https://littlesis.org/relationships/123337,,,,Chairperson,Chairperson,Janet L Yellen,Council of Economic Advisers,Position
123338,39339,33271,,,true,3,https://littlesis.org/relationships/123338,,,,Member,Member,Janet L Yellen,Council on Foreign Relations,Membership
162691,39339,28862,2000-00-00,2004-00-00,,5,https://littlesis.org/relationships/162691,,,3000,"3 contributions · 3,000 USD","3 contributions · 3,000 USD",Janet L Yellen,Democratic National Committee,Donation/Grant
123334,39339,33267,,,true,1,https://littlesis.org/relationships/123334,,,,voting member,voting member,Janet L Yellen,Federal Open Market Committee,Position
1451697,39339,33180,,2015-00-00,,1,https://littlesis.org/relationships/1451697,,,,Board Member,Board Member,Janet L Yellen,Federal Reserve Bank of New York,Position
123333,39339,36845,2004-06-14,2010-00-00,false,1,https://littlesis.org/relationships/123333,true,true,,President,President,Janet L Yellen,Federal Reserve Bank of San Francisco,Position
123336,39339,15957,1994-08-00,1997-02-00,false,1,https://littlesis.org/relationships/123336,true,,,Board Member,Board Member,Janet L Yellen,Federal Reserve System,Position
123347,39339,15957,1977-00-00,1978-00-00,false,1,https://littlesis.org/relationships/123347,,,,economist,economist,Janet L Yellen,Federal Reserve System,Position
282118,39339,15957,2010-09-00,,true,1,https://littlesis.org/relationships/282118,true,,,Vice Chair,Vice Chair,Janet L Yellen,Federal Reserve System,Position
719986,39339,15957,2010-10-04,,true,1,https://littlesis.org/relationships/719986,true,,,Vice Chairman,Vice Chairman,Janet L Yellen,Federal Reserve System,Position
232047,39339,49941,1978-06-00,,true,4,https://littlesis.org/relationships/232047,,,,Husband,Wife,Janet L Yellen,George Akerlof,Family
123346,39339,14730,1971-00-00,1976-00-00,false,1,https://littlesis.org/relationships/123346,,,,assistant professor,assistant professor,Janet L Yellen,Harvard University,Position
162692,39339,13377,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/162692,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Janet L Yellen,John Kerry,Donation/Grant
123350,39339,40000,1978-00-00,1980-00-00,false,1,https://littlesis.org/relationships/123350,,,,faculty,faculty,Janet L Yellen,London School of Economics and Political Science,Position
913925,39339,186081,,,false,1,https://littlesis.org/relationships/913925,,,,Position,Position,Janet L Yellen,"Macroeconomic Advisers, LLC",Position
123340,39339,33206,,,true,1,https://littlesis.org/relationships/123340,,,,research associate,research associate,Janet L Yellen,National Bureau of Economic Research,Position
123341,39339,37604,,,true,1,https://littlesis.org/relationships/123341,true,,,Board Member,Board Member,Janet L Yellen,Pacific Council on International Policy,Position
123335,39339,14980,1980-00-00,,false,1,https://littlesis.org/relationships/123335,,,,Professor of Business and Economics,Professor of Business and Economics,Janet L Yellen,University of California Berkeley,Position
123342,39339,37966,,,false,1,https://littlesis.org/relationships/123342,true,,,Fellow,Fellow,Janet L Yellen,Yale Corporation,Position
123345,39339,14952,,1971-00-00,false,2,https://littlesis.org/relationships/123345,,,,"PhD, Economics","PhD, Economics",Janet L Yellen,Yale University,Education
