id,created_at,text
1329894823785074688,2020-11-20 21:10:08,"Education opens the door for opportunity – and this year 50,000 women will be pursing their entrepreneurship certif… https://t.co/4wdJPNdheP"
1328058484349411328,2020-11-15 19:33:11,"Throughout their 33-year history, our #CDFI partner @BBIFFLORIDA has distributed nearly $50M in loans &amp; created upw… https://t.co/ZmoMQg6Ekb"
1327247244446281728,2020-11-13 13:49:36,I always appreciate the chance to talk with @MelanneVerveer. https://t.co/ViPJLcTiP4
1326324392616472578,2020-11-11 00:42:31,"If large companies put a fraction of their portfolios towards addressing #SDGs, real change can happen. Thank you… https://t.co/FPW8hV3bTf"
1323309025811963907,2020-11-02 17:00:32,"Voting is one of the most important freedoms we can exercise as U.S. citizens, which is why it’s so crucial that ev… https://t.co/oaHgSiVX9e"
1321447205316775938,2020-10-28 13:42:19,Voting (in person or by mail) can be nerve-racking for people with learning differences. We owe it to the ones we l… https://t.co/ktoW9RfK2G
1317876032020582407,2020-10-18 17:11:45,"If our work with @ToryBurchFdn, @CherieBlairFndn, &amp; a decade of @VitalVoices #GlobalAmbassadors Programs has taught… https://t.co/GRnAzo7fYq"
1317461057296805888,2020-10-17 13:42:47,"Following a decade-long partnership with @VitalVoices on our #GlobalAmbassadors Program, now is the time to reflect… https://t.co/IxAjlRTV6B"
1315421997812404226,2020-10-11 22:40:18,RT @UN_Women: Be the role model you wish you had growing up. Inspire the upcoming #GenerationEquality on #DayOfTheGirl. https://t.co/IUapfF…
1312042032823767040,2020-10-02 14:49:31,"With responsible growth as the backbone of our organization, it’s the guiding principle for all of our decision-mak… https://t.co/nn3l2p8i6e"
1311731534513102848,2020-10-01 18:15:43,There are times in your career when you know you are surrounded by remarkable talent. This is one of those times fo… https://t.co/IkP1f8TlvT
1309631041250963457,2020-09-25 23:09:06,"Sustainable finance solutions must also drive investment in racial equality and economic opportunity. Today, we iss… https://t.co/w91Zd0OCo6"
1309563810345357312,2020-09-25 18:41:57,Thanks @CUREepilepsy &amp; founder Susan Axelrod for last night’s virtual fundraiser hosted by @MikeBarnicle. The team… https://t.co/UgHSSgw4zH
1308885116295544836,2020-09-23 21:45:04,Directing capital towards the challenges we face will help make significant progress in addressing society’s most p… https://t.co/CXrlolxfmQ
1308825798586118145,2020-09-23 17:49:21,The @UN #SDGs provide a road map to better answer the question: what will it take to create a better world for us a… https://t.co/x1Rel2nW4G
1308435938268164096,2020-09-22 16:00:11,"Joined @WEF’s ""Pathways for Economic Reset"" #sdi20 panel w/ @alanjope, @BradSmi, @flacqua, @zahidi, &amp; @ASteiner for… https://t.co/dKlBtZQpGq"
1308153353059397632,2020-09-21 21:17:18,"This year, we deployed an additional $254M in capital &amp; $10M in grants to our #CDFI partners to support PPP efforts… https://t.co/DsDFrDg7hA"
1306721688021762049,2020-09-17 22:28:22,"My discussion w/@rkauffmanenergy, @aaseiger &amp; Arun Majumdar was around our #sustainablefinance work to accelerate t… https://t.co/bkj3e1PJ2V"
1306598472913747968,2020-09-17 14:18:46,Couldn't be more well-deserved. Here's to the next decade of leadership. #EuromoneyAfE https://t.co/ozMUPWqyDv
1306269371170525184,2020-09-16 16:31:02,"Responsible growth will always be at the forefront of what we do at @BofA_News in support of our shareholders, team… https://t.co/TbgXi9BYJC"
1305840428583997441,2020-09-15 12:06:34,Looking forward to joining @StanfordEnergy to share our vision for the future of sustainable finance and the opport… https://t.co/x8sowynCgP
1303733439120773129,2020-09-09 16:34:08,This is the next step in our ongoing drive for racial equality and economic opportunity. We’re leveraging our resou… https://t.co/xtPI8icbuj
1301162020213985281,2020-09-02 14:16:14,Providing conservation support to the arts will ensure future generations have access to these national treasures.… https://t.co/Q2Dr0Ppk6d
1299850591468957698,2020-08-29 23:25:05,RT @BofA_News: The video of Jacob Blake being shot by a police officer and the reactions to it serve as a very painful reminder that we nee…
1298730391893766144,2020-08-26 21:13:49,"This #WomensEqualityDay, I'm thinking about the contributions of all the impressive women I know and the times we’v… https://t.co/vyRGgI35Cm"
1298279464862965761,2020-08-25 15:21:59,The current health and humanitarian crisis is having a disproportionate impact on people and communities of color.… https://t.co/Ajs5Le6mdm
1292931358054944768,2020-08-10 21:10:31,"I’m always impressed with our partners @CherieBlairFndn, who are pushing success for women, helping their businesse… https://t.co/aGfohxzUG7"
1288918499394555905,2020-07-30 19:24:51,"Our $300B commitment to help accelerate the transition to a low-carbon, sustainable economy is an integral part of… https://t.co/SLPvSo70ef"
1288826244705001474,2020-07-30 13:18:16,We’re committed to accelerating the transition to a low-carbon economy. Working with @pcafglobal is a critical part… https://t.co/ILB1BRx58g
1286733311939735553,2020-07-24 18:41:42,RT @BofA_News: Our community development financial institutions efforts were recognized by @Euromoney in its Excellence in Leadership award…
1285302569431179266,2020-07-20 19:56:26,"""This is a long term commitment to a work in progress helping a country live up to its ideals. And mainly give peop… https://t.co/gk9ECA3flv"
1281576333886263297,2020-07-10 13:09:43,"Brian has vision, courage, and humility, and that makes him a great CEO. That’s what I think his peers see in him. https://t.co/hpUL8gshhc"
1280857863334825985,2020-07-08 13:34:46,Thank you @ariannahuff and @nfergus for an important conversation on leadership and the quick yet thoughtful decisi… https://t.co/AmaCf7vk6T
1276531212283031554,2020-06-26 15:02:12,"During this health and humanitarian crisis, @HUPrez17 has a unique perspective as the President of @HowardU, a prac… https://t.co/VhsxYagTum"
1276155711903457281,2020-06-25 14:10:06,"RT @BofA_News: In a recent @AmerBanker interview, @AnneFinucane examined how our $1B commitment will help address critical challenges acros…"
1273993780501282817,2020-06-19 14:59:21,"Today we reflect on history, and stand resolved to take action for a just future. We all need to do more to advance… https://t.co/BkXpy5jDMw"
1273660280023781384,2020-06-18 16:54:08,Great to speak alongside @UNDESA Under-Secretary-General Liu Zhenmin this week on advancing the @GlobalGoalsUN… https://t.co/irCKBXonJG
1270707119612968967,2020-06-10 13:19:20,These will not always be easy conversations to have but they are necessary to drive meaningful change. @Smithsonian… https://t.co/6bYT2InLzs
1268951847500419072,2020-06-05 17:04:31,Each of us has a responsibility to care for the environment just as we have a responsibility to care for the people… https://t.co/LH7Ck67ATo
1267874588483923968,2020-06-02 17:43:52,"We are taking action to support the communities we serve. Our $1B commitment will help drive economic opportunity,… https://t.co/eQFZY4BdYH"
1263160810265874432,2020-05-20 17:33:00,"As we work to combat this health and humanitarian issue, @BofA_News just issued a social bond completely focused on… https://t.co/aVbQK3SQxe"
