id,created_at,text
1333664368865603586,2020-12-01 06:48:58,Fascinating! https://t.co/VN7XI0W9Ck
1333317962409734144,2020-11-30 07:52:28,"RT @DrEricDing: COVID BECOMING A CHRONIC DISEASE: ~10-35% suffer persistent symptoms, mostly neurological: autonomic nervous system dysfunc…"
1332533754875637762,2020-11-28 03:56:19,RT @JamesEKHildreth: CDC's Advisory Committee on Immunization Protocols (ACIP) will meet on December 1st to discuss and vote on the order i…
1331479244254240770,2020-11-25 06:06:04,"RT @MaraGay: The New York Times is now free for high school students and teachers in the United States. 

Please spread the word.  https://…"
1330939668557283328,2020-11-23 18:21:59,RT @WillieGeist: The response to our #SundayTODAY interview with @RealMikeFox is a reminder of what an inspiration Michael is to so many pe…
1330267808899473409,2020-11-21 21:52:15,“Freedom includes freedom from disease. Is that complicated?” https://t.co/q7yFDsfWft
1330040859216269315,2020-11-21 06:50:26,Q https://t.co/Dl0HR8ktWo
1329981493947469824,2020-11-21 02:54:32,RT @jwojcicki: This could be us soon.  We have the time to prepare and change. Time is the most precious commodity for public health.  Let’…
1329890070388641794,2020-11-20 20:51:15,Best quote from ⁦@TonyColesMD⁩ ⁦@statnews⁩: “You find you don’t have seat at the table but you are on the menu.” To… https://t.co/bdLUgjpfck
1329806792159686659,2020-11-20 15:20:20,"RT @ashishkjha: Today was a very, very odd day

I testified before @senatehomeland

They held a hearing on hydroxychloroquine.

Yup, HCQ

I…"
1329805948630646787,2020-11-20 15:16:59,"""We've come to the profound conclusion that what we've been doing hasn't been working,” Gov. Brad Little of Idaho.… https://t.co/UfNO0b66gv"
1329801306454716417,2020-11-20 14:58:32,"RT @ScottGottliebMD: Contextualizing individual Covid risk. With about 1.5% of U.S. population currently infected, in a restaurant of 47 pe…"
1329460519665766401,2020-11-19 16:24:22,Careful when eating indoors! https://t.co/FqE93V5gPa
1329460164949405697,2020-11-19 16:22:58,23andMe takes on all kinds of research projects - from serious disease to ice cream preference (it’s genetic!)   Pe… https://t.co/2O2yyTDveA
1329456567217922049,2020-11-19 16:08:40,"RT @23andMe: We recently launched a study on systemic sclerosis, a rare autoimmune disease that results in the hardening and thickening of…"
1328966270050590720,2020-11-18 07:40:24,RT @danprimack: Worth noting that U.S.-based Moderna's co-founders and CEO are all immigrants.
1328882025600753666,2020-11-18 02:05:38,This will be exciting to watch!! https://t.co/akx8B2wv3e
1328232599764942848,2020-11-16 07:05:03,"RT @meganranney: OMG OMG this gives me heart palpitations.

Folks. DON'T DO IT. This is going to light a million new fires and devastate fa…"
1328232074839408640,2020-11-16 07:02:58,RT @levie: Can you imagine a decade ago being told that a private company would send people to space on official crewed mission. Amazing. C…
