id,created_at,text
1331228787141439491,2020-11-24 13:30:50,The people of the Williamsburg community and the @colonialwmsburg Foundation have come together to help reveal a lo… https://t.co/FBX0zy3nLn
1329899536026918927,2020-11-20 21:28:52,"Are you a termite? 

Find out here:

https://t.co/LELikZM2Jy"
1329066548670193667,2020-11-18 14:18:52,Inadequate men in big jobs are always dangerous.  President Trump has cemented his legacy as an inadequate man who… https://t.co/VOb54HJzg0
1326950299412598786,2020-11-12 18:09:39,Managers work within the status quo. Leaders challenge the status quo. Leaders make things better. If you challenge… https://t.co/7fhsOL1cEk
1326636201663746052,2020-11-11 21:21:32,👍 https://t.co/UK9S3xAztS
1326570577642082304,2020-11-11 17:00:46,Today we celebrate and commemorate our #veterans that fought and died for the fundamental principles of our America… https://t.co/zaZEcegKPf
1326354240076468224,2020-11-11 02:41:07,🇺🇸🇺🇸🇺🇸 https://t.co/jxqIofEAMl
1325129106321596419,2020-11-07 17:32:53,"Congratulations Vice-President Elect @KamalaHarris.  Each time a barrier is broken, others see greater possibilitie… https://t.co/FdvYHTiF7e"
1325128938281193473,2020-11-07 17:32:13,"Congratulations President-elect @JoeBiden. The core of who you are - humble, empathetic, collaborative, experienced… https://t.co/dmkEg0GDMR"
1324845751621570560,2020-11-06 22:46:56,"@DoubleLegal Thank you, David."
1324717369579741184,2020-11-06 14:16:47,"A president's words matter greatly, but citizens votes speak loudest. Sorry Mr. President but democracy is working… https://t.co/1LfaMbOCoh"
1324717368287940610,2020-11-06 14:16:47,"However, never before in the history of our republic has an American president declared an election a fraud or dema… https://t.co/byDQjJPAAe"
1324717366895431680,2020-11-06 14:16:46,"Throughout American history, passions have run high, divisions have been real and protests have been a legitimate o… https://t.co/UEhLSd4joy"
1324127741365596160,2020-11-04 23:13:49,"It was by honor to speak this afternoon at the National Diversity &amp; Leadership Conference. Diversity, inclusion and… https://t.co/rwRY5mlu66"
1320819388006703105,2020-10-26 20:07:36,"Thank you, @rickjnewman &amp; @YahooFinance 

I encourage everyone to continue to watch the Yahoo Finance All Markets S… https://t.co/ygFfYE44Yg"
1320785041132294145,2020-10-26 17:51:07,I’m watching the #yahooAMS Livestream on @YahooFinance  and looking forward to talking with @rickjnewman at 3:10pm… https://t.co/AqNsM1Z5lA
1320730158911967235,2020-10-26 14:13:02,How do you develop an evaluation and promotion process that ensures that you are both leveraging your existing pipe… https://t.co/Bl8ZK35Y5n
1319442334321430528,2020-10-23 00:55:41,"As you watch the debate in minutes, don’t get distracted. Don’t get distracted by accusations or insults or crossta… https://t.co/329xF4MHfr"
1319383025382162432,2020-10-22 21:00:00,"Ask yourself, is unity better than division?  Is it all about the President, or all about us?  And who do you think… https://t.co/yXHbeiSpne"
1319379247966920705,2020-10-22 20:45:00,"As you watch the debate tonight, don’t get distracted.  Don’t get distracted by accusations or insults or crosstalk… https://t.co/4nW8FsOtIo"
1319299037980446721,2020-10-22 15:26:16,Check out the latest article in my series: Evaluation &amp;amp; Promotion Process https://t.co/qU1mm4sETa via @LinkedIn
1317241961900802048,2020-10-16 23:12:11,Please join me and Dr. Knowlton! Register now. https://t.co/maV7S8AsHR
1317117841259270144,2020-10-16 14:58:58,Hiring the wrong person is expensive. A study by Harvard Business School found that a superstar delivers more than… https://t.co/zUzf3uImvY
1316770475721265152,2020-10-15 15:58:40,Check out the latest article in my series: Assessing Risk https://t.co/pSyl2eO0wA via @LinkedIn
1316432312838557698,2020-10-14 17:34:56,"Thank you, Dan Granger. It was great to talk with you about leadership, civility and political discourse. https://t.co/TMRYlsXNNY"
1313537757411672066,2020-10-06 17:53:00,"If you want to get serious about building a diverse team, you have to understand where you are today – and that req… https://t.co/tkrCYivM8x"
