id,created_at,text
1332079117081178114,2020-11-26 21:49:45,Join me in supporting the Salvation Army’s #RescueChristmas campaign to help the millions of Americans who will see… https://t.co/vvNAIb4UL2
1331952174134398985,2020-11-26 13:25:19,We’re thankful for our beautiful country. Happy Thanksgiving from Texas! https://t.co/nOywVqdbAl
1285970004513611777,2020-07-22 16:08:35,Help your young bookworm keep reading and learning with books from my summer reading list with @TheBushCenter. Happ… https://t.co/aARKb5UInj
1279412927687204865,2020-07-04 13:53:06,RT @TheBushCenter: Happy Fourth of July from the Bush Center https://t.co/1gF57nhMLE
1278046789548019721,2020-06-30 19:24:34,"RT @TheBushCenter: On the 15-year anniversary since @PMIgov's inception under President George W. Bush, @MalariaNoMore commends PMI's trans…"
1267934493261905923,2020-06-02 21:41:54,RT @TheBushCenter: Statement by President George W. Bush https://t.co/KjEolhAN6U
1262785548462194691,2020-05-19 16:41:50,"America, at its best, is a compassionate country. The latest issue of the @thebushcenter’s digital publication “The… https://t.co/nICaYOuaXh"
1257289946781454336,2020-05-04 12:44:17,"The spring migration is underway, and around a billion birds will migrate through Texas at night. By turning off yo… https://t.co/fIBbs5CrCv"
1256310462506926082,2020-05-01 19:52:10,"This spring, around 1 billion birds will migrate through Texas at night. Help protect these birds from the hazards… https://t.co/MA1XglBkRR"
1204467853493198851,2019-12-10 18:28:08,"RT @TheBushCenter: ""In places where tyranny and injustice threaten freedom, women stand side by side with men, demanding human rights and r…"
1201893372937551874,2019-12-03 15:58:04,"RT @TheBushCenter: NEW TODAY: Mrs. @laurawbush appears on The Strategerist #podcast. Listen now to hear about her passion for conservation,…"
1178020383066411009,2019-09-28 18:55:20,Freddy frolicked in nature and met new furry friends at thebushcenter’s Tails on the Trail today. He had a ball ser… https://t.co/tflGCf54a8
1176980817152749568,2019-09-25 22:04:28,RT @TheBushCenter: “The future of each of your countries depends on all of your citizens — men and women — taking care of their health.”- @…
1174775192125661187,2019-09-19 20:00:06,"RT @TheBushCenter: .@NTXGivingDay is here! Today, your tax-deductible donation of $25 or more helps to enable our initiatives and makes a l…"
1050520036526477313,2018-10-11 22:54:29,"RT @TheBushCenter: “Just like all families, military families want to create a nurturing home, to take care of their loved ones, to find a…"
1037827413311406080,2018-09-06 22:18:31,Every day should be #ReadABookDay! https://t.co/Xarl2DF9Uf
1035361191068147712,2018-08-31 02:58:38,"RT @TheBushCenter: ""To everyone affected during last year’s natural disasters, you have support from neighbors across the Nation. Your hard…"
1030505636461723649,2018-08-17 17:24:24,RT @TheBushCenter: Curious to learn more about our work at the Bush Center? #NationalNonProfitDay https://t.co/8cahh4CCN9
1026121351080431617,2018-08-05 15:02:49,RT @TheBushCenter: It’s not too late to join the Laura Bush Foundation's #summerreading challenge of reading 30 minutes each day! Don’t for…
1025141887806722053,2018-08-02 22:10:46,"RT @TheBushCenter: ""It's indisputable that a great teacher can deeply impact a student's life...And, if we want effective teachers in our c…"
1023952132385525760,2018-07-30 15:23:07,"RT @TheBushCenter: There is one day left to vote for “Ladies, First” in the @PeoplesChoice #Podcast Awards! Help us make it to the next rou…"
1008526531734458375,2018-06-18 01:47:17,"I live in a border state. I appreciate the need to enforce and protect our international boundaries, but this zero-… https://t.co/XG7d6AeBJh"
994383359496376320,2018-05-10 01:07:22,"Celebrating the 15th anniversary of @PEPFAR with our daughter, Barbara, who is leading two conversations at the… https://t.co/pmLxmw144V"
986443686757183488,2018-04-18 03:17:56,I’m missing my mother-in-law and role model tonight. Barbara Bush was a loving mother and grandmother. The world is… https://t.co/HmpaIY9fuP
984898826636005379,2018-04-13 20:59:13,"Including women in all aspects of society strengthens a community &amp; country. When women are educated, their familie… https://t.co/sUtTlu7FUD"
983786738924613633,2018-04-10 19:20:11,"During #NationalLibraryWeek, help the @LauraBushFdn rebuild school library collections that were devastated last fa… https://t.co/w7Sz9tA73e"
975004734192078848,2018-03-17 13:43:38,"Happy #StPatricksDay2018! 🍀 Enjoy the beautiful Dallas weather today at @TheBushCenter‘s #NativeTexasPark! Free, do… https://t.co/FTrkFUZIUp"
971795491963965440,2018-03-08 17:11:15,"Had a very special guest at @TheBushCenter yesterday, just in time for #IWD2018. Thank you, @MichelleObama, for vis… https://t.co/cTTHdqPxUc"
969004128381915136,2018-03-01 00:19:22,"Tune in to @NBCDFW with @MeredithNBC5 now to see a preview of @TheBushCenter’s new special exhibit, First Ladies:… https://t.co/Dnzgl7mNtY"
963434456718696448,2018-02-13 15:27:28,Surprise! I’m visiting @JennaBushHager on the @TODAYshow this morning. Tune in now! https://t.co/GGXMi3QdQr
955881688101466112,2018-01-23 19:15:28,"Calling all #FixerUpper fans, especially you @JennaBushHager! Tune in to tonight’s show as @joannagaines joins me o… https://t.co/GrG3bL2b8f"
949302463693230083,2018-01-05 15:31:59,Calling innovative #changemakers from all sectors:  high-impact @ghcorps roles in #globalhealth open until Jan. 17!… https://t.co/K9htdS27hR
945468246697930752,2017-12-26 01:36:10,"Merry Christmas from our family to yours 🎄🎄🎄

📷: Marlo Moore Collins https://t.co/FdP1LWdpPU"
943279634241806343,2017-12-20 00:39:24,Give the gift of learning this holiday season by donating to the @LauraBushFdn 2017 Disaster Relief Initiative.… https://t.co/vmLh8mYUjq
935619198599991297,2017-11-28 21:19:34,RT @TheBushCenter: This Giving Tuesday help us support school libraries &amp; donate to the @LauraBushFdn’s 2017 Disaster Relief Initiative at…
932975003347443714,2017-11-21 14:12:29,"This Thanksgiving, I’m especially thankful for our friends who have supported the rebuilding of school libraries da… https://t.co/GGbfF2D6R8"
927345639092047872,2017-11-06 01:23:24,"RT @TheBushCenter: Mrs. @laurawbush introduces @JennaBushHager &amp; Barbara Bush, ""What I have loved most is watching them grow together."" Wat…"
926041239681630208,2017-11-02 11:00:11,RT @dallasnews: 🦋 Here's how @laurawbush is helping attract butterflies to Klyde Warren Park | @erinbooke https://t.co/HPBctJHWwd https://t…
925767177248092160,2017-11-01 16:51:09,"With Mrs. Rula Ghani, First Lady of Afghanistan, before we brief Congress on the importance of supporting Afghan wo… https://t.co/AgbnXYqY9w"
921016359357747200,2017-10-19 14:13:06,"RT @TheBushCenter: ""Millions of people around the world no longer think of themselves as subjects but rather as citizens with rights. And t…"
921016333227216896,2017-10-19 14:13:00,"RT @TheBushCenter: ""I’m thrilled to announce that, in collaboration with @FreedomHouseDC &amp; the @PennBiden, we are launching a major public…"
921016169154400256,2017-10-19 14:12:21,"RT @TheBushCenter: ""Today, we’ll begin a conversation about how to strengthen our democracy at home, and help foster a new consensus that s…"
921016148447170561,2017-10-19 14:12:16,"RT @TheBushCenter: ""We must prepare our children and grandchildren with the tools they need to be informed, engaged citizens who care about…"
918200284760899584,2017-10-11 19:43:01,"51,741,420:  Number of African children who can't read - over half are girls #girlscount @ONECampaign @TheBushCenter https://t.co/0kshnqDoQS"
918197699807207426,2017-10-11 19:32:45,RT @TheBushCenter: ICYMI: @DanaPerino sat down with Mrs. @laurawbush today at the Bush Center on @FoxNews @dailybriefing https://t.co/BXj9O…
910303310409863168,2017-09-20 00:43:16,Thanks to @NFWFnews for presenting me the Chairman's Award for my work with @TexanbyNature to help restore the Mona… https://t.co/Vp8R08LKWD
909789289852162048,2017-09-18 14:40:44,RT @TheBushCenter: Watch live now: @laurawbush @FLON_Namibia &amp; @PrimeraDamaPma at #Concordia17 discussing the role of #firstladies https://…
909756449651396608,2017-09-18 12:30:14,Tune in to @CBSThisMorning now! @NorahODonnell @GayleKing @charlierose https://t.co/CsOa2XEJxY
909756095010394112,2017-09-18 12:28:50,RT @TheBushCenter: Tune in NOW to @CBSThisMorning to see Mrs. @laurawbush discussing the influence of #FirstLadies &amp; her upcoming panel at…
890364875830153217,2017-07-27 00:15:03,RT @TheBushCenter: Our latest issue of the Catalyst addresses issues facing Africa - &amp; the leaders &amp; forces transforming the continent http…
889938362899062786,2017-07-25 20:00:14,RT @TheBushCenter: Pres. &amp; Mrs. @laurawbush spoke with the Catalyst about the roots of their shared commitment to Africa https://t.co/7AVaa…
888071346281959424,2017-07-20 16:21:23,"RT @TheBushCenter: Mrs. @laurawbush joins @AUW_Chittagong Council of Patrons, bringing her commitment to women’s #edu &amp; #humanrights https:…"
887359581650915328,2017-07-18 17:13:05,RT @TheBushCenter: The 6 girls competing in @F1RSTglobal are the future of #Afghanistan. Learn more: https://t.co/FX1pgYCNXf #FGC2017 https…
878385727129608193,2017-06-23 22:54:11,RT @TheBushCenter: ICYMI: Watch the Bush Institute's #StandTo - A National Veterans Convening. https://t.co/a7GWMQsmfW #KnowOurVets
877709766595944448,2017-06-22 02:08:10,"RT @TheBushCenter: Bush Institute #StandTo will sync efforts across all sectors to empower vets &amp; family to lead full, meaningful lives htt…"
877291860405956608,2017-06-20 22:27:33,RT @TexanbyNature: It’s National Pollinator Week! Join the effort to restore or create native habitat for… https://t.co/hQfTNMsVrY
870304183831810049,2017-06-01 15:41:01,Thrilled to be at the @WildflowerCtr for @TexanbyNature's #TxNMonarchSymposium. Special thanks to @NFWFnews for spo… https://t.co/MEh22kq0Sa
870297768530649088,2017-06-01 15:15:32,RT @WildflowerCtr: The Monarch Symposium hosted by @TexanbyNature and held at the Wildflower Center is this week. Keynote: Laura Bush https…
865694820416749570,2017-05-19 22:25:03,RT @TheBushCenter: .@laurawbush announced the '17 grant @LauraBushFdn recipients at the Texas Book Festival’s literacy program at Tolbert E…
858057865461981185,2017-04-28 20:38:31,RT @TheBushCenter: The @LauraBushFdn Advisory Committee met this week to discuss '17 grant apps. Stay tuned for the announcement in May! #S…
856605082271592450,2017-04-24 20:25:41,RT @TheBushCenter: Watch highlights from President and Mrs. @laurawbush's recent trip to Botswana &amp; Namibia https://t.co/6IgViUwmhv #cervic…
850438180369297408,2017-04-07 20:00:37,"RT @TheBushCenter: This week, @laurawbush announced the first #schoollibrary global grants from the @LauraBushFdn https://t.co/i7WkvZS4hx #…"
850351783113347076,2017-04-07 14:17:18,I'm thrilled to be featured on @theskimm on #worldhealthday! https://t.co/J80T6yNJII
850099392975704066,2017-04-06 21:34:24,RT @TheBushCenter: .@laurawbush &amp; @FLON_Namibia hosted a breakfast focused on the important work of investing in women &amp; girls. #FirstLadie…
850034699779141632,2017-04-06 17:17:19,RT @TheBushCenter: Mrs. Bush &amp; @FLON_Namibia visited Ella Du Plessis High School to talk to students about staying in school &amp; reaching the…
846745798071275520,2017-03-28 15:28:24,RT @TheBushCenter: Tune in NOW for a conversation with Mrs. @laurawbush &amp; Mrs. Cherie Blair on the influence of #firstladies https://t.co/e…
846506545458372608,2017-03-27 23:37:42,RT @TheBushCenter: Our new report expands the field of scholarship on #firstladies &amp; women's leadership. Tune in 3/28 https://t.co/eHdWmgIB…
839889746306482177,2017-03-09 17:24:54,"RT @chicagobotanic: Last night, @ihmec announced the gift of a Terezin tree, propagated by our staff, to @LauraWBush for @GWBLibrary. #huma…"
839665140769427456,2017-03-09 02:32:24,"RT @TODAYshow: Barbara Bush, @JennaBushHager writing memoir on 'wild and wonderful' childhood https://t.co/0oKggMMaEC https://t.co/SjNoNd2v…"
826928801934372865,2017-02-01 23:02:44,Tune in to my conversation with @TPWFoundation! https://t.co/5VeoWzGqGb
819952736330481664,2017-01-13 17:02:20,Our dear daughters wrote a sweet letter to the Obama girls: https://t.co/0wF567WDRR
818942621351604224,2017-01-10 22:08:30,Calling innovative #changemakers from all sectors: high-impact @ghcorps roles in #globalhealth open until Jan. 18! https://t.co/ffXpkc5Ica
808828961392304128,2016-12-14 00:20:26,RT @TheBushCenter: Mrs. @laurawbush meets the African Children's Choir before tonight's Engage event. Watch live on Facebook! #Uganda #Afri…
805838385055141888,2016-12-05 18:16:57,RT @TheBushCenter: Apps close next week for the '16-17 Laura Bush Foundation for America’s Libraries grants! Apply here: https://t.co/b4N4g…
803761366708297728,2016-11-30 00:43:37,"RT @TheBushCenter: See more photos from today's Forum on Freedom in #NorthKorea with Pres. Bush, @laurawbush &amp; more https://t.co/E2epOXtHTO…"
803615867544158208,2016-11-29 15:05:27,RT @TheBushCenter: Tune in at 9 a.m. CT to hear remarks from Pres. Bush at our Forum on Freedom in #NorthKorea https://t.co/hzwbqXsZVh #Exp…
802236003809366017,2016-11-25 19:42:22,"Happy birthday to our beautiful girls, Barbara and Jenna. The light of our lives. @JennaBushHager @ghcorps https://t.co/V09sESgREw"
801938426723495936,2016-11-24 23:59:54,Happy Thanksgiving. Thankful for our beautiful country. https://t.co/wCVMF9fFob
799973952475070464,2016-11-19 13:53:47,"Our special exhibit celebrating the magic of holiday music is open now @TheBushCenter! For more information, visit:… https://t.co/UIxhrB0cXG"
799403791279919106,2016-11-18 00:08:10,"Come see for yourself! Our holiday exhibit, A Season of Merriment and Melody: Christmas at the White House 2004, is… https://t.co/u8c3e1e8oB"
799370941906100224,2016-11-17 21:57:38,RT @TheBushCenter: 15 yrs ago @laurawbush delivered a radio address to direct intl. attention to the Taliban’s oppression of women https://…
798735443340787712,2016-11-16 03:52:24,@SamChampion and I talk about how you can help save the monarch butterfly tonight on @23pt5. https://t.co/Ma3Qtpo7v5
788545645841821696,2016-10-19 01:01:47,RT @LauraBushFdn: Tell us your story!  2016-17 grants 4 #schoollibraries Check eligibility &amp; apply @ https://t.co/vjyGIRJ3Lh @LauraBushFdn…
788545534415867904,2016-10-19 01:01:20,RT @TheBushCenter: President George W. Bush &amp; Mrs. @laurawbush welcome the 3rd Liberty &amp; Leadership Fellowship from Burma https://t.co/kcXe…
786705434933624832,2016-10-13 23:09:26,Happy to join North Texas business leaders at the @CCBATexas Workforce of the Future Leadership Summit. #CCBAleads https://t.co/GhP7NaAQGm
786217761772929024,2016-10-12 14:51:36,"RT @TheBushCenter: Apps open for 2016-17 @LauraBushFdn grants for #SchoolLibraries! Check eligibility, here: https://t.co/wt50DOYmEp #Libra…"
785966944755130368,2016-10-11 22:14:56,"RT @TheBushCenter: On #DayoftheGirl, learn how the Bush Institute’s Women’s Initiative is working to empower girls worldwide: https://t.co/…"
779463648334995456,2016-09-23 23:33:10,RT @TheBushCenter: Tune in to @cspan 2 tonight at 8pm to watch last weeks #FirstLadies conference with @laurawbush &amp; @FLOTUS. #KnowOurVets…
778985969500291072,2016-09-22 15:55:02,Together we can make a difference! Support the Bush Center today on @NTXGivingDay! https://t.co/TlOsoNTWPC https://t.co/TQ1cQv6f9a
776802829298241536,2016-09-16 15:20:01,RT @TheBushCenter: Capt. @will_reynolds introduces @laurawbush &amp; @FLOTUS at #FirstLadies In Service to Our Nation event in DC https://t.co/…
776771498497417217,2016-09-16 13:15:31,RT @TheBushCenter: Don't miss @laurawbush &amp; @FLOTUS today at 9:30AM ET talking support for military families https://t.co/uLMFd1ASd6 https:…
776613189849014272,2016-09-16 02:46:27,RT @USNatArchives: Watch @FLOTUS  &amp; @laurawbush  talk about supporting military families. https://t.co/1m7rtLACj2 @AU_SPA  #FLOTUS https://…
776545365562654721,2016-09-15 22:16:57,RT @TheBushCenter: Join us 9/16 with @FLOTUS &amp; @laurawbush to discuss the importance of supporting service members &amp; military families http…
769280143852343296,2016-08-26 21:07:33,RT @TheBushCenter: Laura Bush denounces 'cowards' who attacked American University of Afghanistan https://t.co/v1nBl4WDBf via @dallasnews @…
768893254079086593,2016-08-25 19:30:11,RT @timeforkids: .@NPS is 100 today! TFK spoke to @laurawbush and @jennabushhager about their new book and celebrating #findyourpark https:…
763738841786093568,2016-08-11 14:08:24,RT @HarperChildrens: OUR GREAT BIG BACKYARD by @laurawbush &amp; @JennaBushHager is now available! #FindYourPark https://t.co/UJVC01YCVE https:…
761755830937006081,2016-08-06 02:48:37,"RT @LauraBushFdn: As summer winds down, #ReadWhereYouAre and get ready for a great year #librariestransform https://t.co/vjyGIRJ3Lh https:/…"
750827888048427009,2016-07-06 23:04:52,"RT @TheBushCenter: Help us wish President Bush a Happy 70th Birthday! Sign his digital card, here: https://t.co/HBp5LPjqi6 #43turns70 https…"
747574659537743872,2016-06-27 23:37:42,RT @aspenideas: A woman who survives AIDS shouldn't be left at risk of cervical cancer. That's preventable. @laurawbush #AspenIdeas https:/…
747574638532714496,2016-06-27 23:37:37,RT @aspenideas: Investments in the success of women are investments that pay off. -@laurawbush at #AspenIdeas https://t.co/oNQGwC1cPg
747573332707409920,2016-06-27 23:32:26,RT @TheBushCenter: .@laurawbush to talk Bush Institute's Women's Initiative &amp; #VoicesofHope at #AspenIdeas https://t.co/HvP2BE9YY9 https://…
746419711345229824,2016-06-24 19:08:21,RT @TheBushCenter: Bush Presents Medal of Freedom to Former Cuban Prisoner https://t.co/VtZYVhqdA1 via @cw33 #Cuba #humanfreedom
746066827701194752,2016-06-23 19:46:07,RT @HarperChildrens: Meet @laurawbush @JennaBushHager as they sign OUR GREAT BIG BACKYARD TOMORROW at B&amp;N Frisco! https://t.co/WNGxyjx0Uc h…
746004737330282496,2016-06-23 15:39:24,I'm so proud of these two! Celebrate the women who #LeanInTogether with you. @JennaBushHager @ghcorps https://t.co/QgqKQOSk2w
745435539986276352,2016-06-22 01:57:36,RT @tmey13: Thank you @laurawbush @JennaBushHager for Romilly's bday book! Her cousins look forward to Frisco B&amp;N on 6/24 https://t.co/JJCK…
743786466791153664,2016-06-17 12:44:47,@JennaBushHager &amp; I hope to see you at our book signing next week! #OurGreatBigBackyard https://t.co/F1GYl34EQD
740155856302415872,2016-06-07 12:18:02,"RT @unicefusa: ""No mother should ever have to ever wonder if their child will have a future"" - @JennaBushHager: https://t.co/CIcI1tXrIm #JN…"
740155767999729664,2016-06-07 12:17:41,"RT @plus_socialgood: ""I come from a long line of strong women."" What @JennaBushHager learned from mom @laurawbush: https://t.co/HzhlewOM2K…"
739904018361647107,2016-06-06 19:37:19,RT @JennaBushHager: @laurawbush and I LOVE this!  https://t.co/V9mCq6JeQT
739808571324387329,2016-06-06 13:18:03,"RT @TheBushCenter: ""I challenge you to make reading a fun part of your summer!” -Mrs. @laurawbush Watch to hear more: https://t.co/DwDvj1lG…"
737701848635703296,2016-05-31 17:46:41,"RT @AkolaProject: Enter to win this signed copy of ""We Are Afghan Women"" by @laurawbush on our Instagram! https://t.co/MDhvbTKhpT"
736143112234401793,2016-05-27 10:32:49,"@BNBuzz stores across the country will have an ""Our Great Big Backyard"" story time this Sat., 5/28, at 11AM! https://t.co/iau1CSu8iD"
734949249943670784,2016-05-24 03:28:50,Join us at the National Celebration of Reading in DC on June 9! Tickets available here: https://t.co/sQM4CZL54S https://t.co/jQ9Lv8S2Q9
732667937778106371,2016-05-17 20:23:43,RT @HarperChildrens: TONIGHT in Houston: @laurawbush @JennaBushHager chat about OUR GREAT BIG BACKYARD! Get tix: https://t.co/JcyUeE88P8 ht…
731459067542044672,2016-05-14 12:20:06,@JennaBushHager and I will see you soon at our book signing @BN_DallasLP! #OurGreatBigBackyard https://t.co/ppjv7te7QL
730833998872776704,2016-05-12 18:56:18,"@JennaBushHager &amp; I hope to see you at @BN_DallasLP on Sat, 5/14!  https://t.co/VAnlDpAti2"
