id,created_at,text
1331322481714417666,2020-11-24 19:43:09,"A remarkable, emotional, and personal story of the promise of America - what it was, is, and can still be. https://t.co/EDQQrg8jHz"
1330980959647240192,2020-11-23 21:06:03,"We will have a DHS that builds bridges, not walls. Ali Mayorkas’s historic nomination - 1st Latino and 1st immigran… https://t.co/Vkt8rlYYRf"
1328823608370597888,2020-11-17 22:13:31,"Leadership, hope and innovation. Honored to welcome these Emerson Collective Fellows. https://t.co/5OSbdg5MsR"
1328422750738735104,2020-11-16 19:40:39,"”What I’ve always believed is that humanity has the capacity to be kinder, more just, more fair, more rational, mor… https://t.co/OtPe2QIKTM"
1325124457262850052,2020-11-07 17:14:24,"We celebrate our democracy, our common humanity, and a glass ceiling shattered once and for all. https://t.co/IhvGLBcALd"
1324526439673196544,2020-11-06 01:38:06,"“I believe that unarmed truth and unconditional love will have the final word in reality. This is why right, tempor… https://t.co/KHF2BVmdVU"
1323746645884891136,2020-11-03 21:59:29,It’s great to see @ChicagoCred getting out the vote. We can build a better America together. https://t.co/zphtlWwv8p
1323389806483701760,2020-11-02 22:21:31,Welcome Dawn to the Anonymous family! We are fortunate to have your vision and leadership. https://t.co/h3HnQzm8ld
1323081716789989378,2020-11-02 01:57:17,Is this really in dispute? All votes should be counted. https://t.co/lECbxdnjMc
1321543783691866114,2020-10-28 20:06:05,Protection of our national forests is on the ballot. This is a travesty. https://t.co/leGo5TfDvY
1321211413344538632,2020-10-27 22:05:22,The environment is on the ballot.
1320787258883088384,2020-10-26 17:59:56,Truly important work https://t.co/JPFZ0GwkRG
1319070305265111041,2020-10-22 00:17:22,Hope is back on the ballot. https://t.co/TOlQ52RMo6
1318789817174429696,2020-10-21 05:42:49,RT @karaswisher: This is the one of the most truly appalling acts of the Trump administration — this cannot be forgotten.
1318649836372168707,2020-10-20 20:26:34,"Thank you @iamwill, @bep and @IAMJHUD for making this haunting, yet beautiful song. Let this be the anthem that lea… https://t.co/R7G7SVVi16"
1317276227409911813,2020-10-17 01:28:21,The young women of America are watching... and listening. https://t.co/WGgtluhlHS
1315873982957023232,2020-10-13 04:36:19,"RT @natemook: Night has fallen, but voting lines continue in Marietta, Georgia. The @WCKitchen team just finished serving dinner. They met…"
1315765276911124480,2020-10-12 21:24:22,He’s right. This is about trusting women. https://t.co/HyEFBEqrcf
1314628517141774336,2020-10-09 18:07:17,"RT @BarackObama: A couple years ago, I met some promising young men working to prevent gun violence with @ChicagoCred. Talking with them re…"
1314029587270049792,2020-10-08 02:27:21,The biggest takeaway from this entire debate is: VOTE! https://t.co/ts751TOGvi
1313972700881199104,2020-10-07 22:41:18,Congratulations to two brilliant pioneers! https://t.co/NDJ9Qy1fFw
1313548727269769217,2020-10-06 18:36:35,RT @CoryBooker: Calling all lawyers! Our voting rights are being challenged all across this country. We need your help in this critical ele…
1311770020137984000,2020-10-01 20:48:38,"From eliminating a deadly parasite, to brokering peace deals, to building homes and hope, the world needs more lead… https://t.co/DEp8bHEO5E"
1311729053456498688,2020-10-01 18:05:51,"RT @marceelias: This is an outrageous act of voter suppression by the Republicans who know they are losing at the ballot box.

We will expl…"
1309547782995206144,2020-09-25 17:38:16,We find strength in our commitment to each other. https://t.co/obdEXpNm71
1308508113872580608,2020-09-22 20:46:59,"A memorial on the National Mall wrenching in its elegant simplicity. Each flag represents a life lost, a sea of pai… https://t.co/L2S1aFiAvD"
1308490198603517959,2020-09-22 19:35:48,"Our vote is our voice. If you want to be heard, make sure you and those you know are registered.… https://t.co/2EVymGzfL8"
1308424363197300743,2020-09-22 15:14:12,I love this. https://t.co/ehXTjI5H5w
1308365926539112449,2020-09-22 11:21:59,"RT @_HannahRitchie: Sector-by-sector: where do global greenhouse emissions come from?

To reduce emissions we need to know where to direct…"
1307464541018624000,2020-09-19 23:40:12,"RT @nprpolitics: Just days before her death, as her strength waned, Ginsburg dictated this statement to her granddaughter Clara Spera: ""My…"
1307314540938326016,2020-09-19 13:44:09,RT @kenolin1: Harvard Law. RBG. A foot shorter. A mile above. https://t.co/wRzVMs1Oen
1307106141936275458,2020-09-18 23:56:03,"The passing of Justice Ruth Bader Ginsburg is a tragedy for our nation. She was a pioneer, a fighter, and an inspir… https://t.co/sn1isxZXK4"
1303389050380918785,2020-09-08 17:45:40,Nothing lifts our spirits like beauty and kindness. https://t.co/9wa97SXUVk
1301598390174662656,2020-09-03 19:10:13,A super-majority of Americans support common sense gun laws. https://t.co/WhV7mabBQJ
1301260155380625409,2020-09-02 20:46:11,Legend. https://t.co/FG7k92aCir
1301207287323750400,2020-09-02 17:16:07,The power of community. https://t.co/6Vh7G8Tu5j
1300925599502839808,2020-09-01 22:36:47,"RT @BarackObama: If you can volunteer as a poll worker for early voting and Election Day, I hope you’ll do it. You can help make sure this…"
1299575474167791616,2020-08-29 05:11:52,Let’s decide to live in harmony with our planet. https://t.co/kdoJ0ox8AP
1299439896487051264,2020-08-28 20:13:08,Voting in NBA arenas is a win for democracy. https://t.co/p0tM7Y0p5G
1299148712292171776,2020-08-28 00:56:04,"A movement, not a moment. https://t.co/etSdWZkoY3"
1299147941811113990,2020-08-28 00:53:00,So this happened. https://t.co/StlwylDqVD
