id,created_at,text
1330901438298525698,2020-11-23 15:50:04,"We have reached an important inflection point at @GM. We are transitioning to an all-electric portfolio, and doing… https://t.co/jexkkwPdpe"
1328814867705450498,2020-11-17 21:38:47,@KamalaHarris @JoeBiden Thank you for hosting this important conversation on the pandemic and its impact on our workforce and the economy.
1325918427861676033,2020-11-09 21:49:22,"Congratulations, @chaseelliott! 👏👏 #TeamChevy https://t.co/QsYUgHgqb2"
1325910961715339264,2020-11-09 21:19:42,Congratulations to @JimmieJohnson as he retires with the honorable legacy of 7-time NASCAR Cup series champion. Tha… https://t.co/Zh1UiCOS0G
1324384351069626371,2020-11-05 16:13:29,Our strong results in Q3 were driven by the hard work and commitment of our employees. The innovation and speed of… https://t.co/fp8JGSsMD5
1322272268781846529,2020-10-30 20:20:50,"One of the best CFOs in the world is joining @GM.  Welcome to the team, Paul Jacobson."
1320001660169736197,2020-10-24 13:58:14,"@fatma_samoura @GM Thank you, @Fatma_Samoura. It’s an honor to be inducted alongside both you and @GinniRometty. Co… https://t.co/d3MMdR8YX4"
1320001127262441472,2020-10-24 13:56:07,"Thank you – I’m honored to be included! Very grateful for the work @IWFglobal does for women leadership, and congra… https://t.co/QA32ZA1Kxh"
1318723212231036931,2020-10-21 01:18:09,"What an exciting night! The design, engineering and production of the #GMCHummerEV has created a new benchmark in… https://t.co/3RMCdJwbm9"
1318238703865810945,2020-10-19 17:12:53,Humbled to be included among this list of leading women who are working to make the world a better place. A reminde… https://t.co/xmfGBdv6Z6
1311347671312072705,2020-09-30 16:50:23,Thanks to @ellmcgirt and #FortuneMPW Summit for having me; it was an inspiring event. We are committed to the journ… https://t.co/4PuIyRjyz2
1311346486521856000,2020-09-30 16:45:40,"@sandy_carter Thanks for sharing and listening, Sandy."
1311346300819058688,2020-09-30 16:44:56,"@jhibbert1 @GM @FortuneMPW Thanks, Jenni. Much work to be done."
1307303486711902208,2020-09-19 13:00:14,I join the nation in mourning the passing of Justice Ginsburg. She was an incredible trailblazer who fought to the… https://t.co/p8B3YetSr3
1303296055560282112,2020-09-08 11:36:08,"We're working to put everyone in an #EV, including in pickup trucks and semi-trucks. Working with like-minded innov… https://t.co/ivpIqrmMNy"
1297910799260950532,2020-08-24 14:57:03,The 100th anniversary of the #19thAmendment is an important milestone in American history. Voting is not just a rig… https://t.co/TZUJDK7pBf
1291526013336330241,2020-08-07 00:06:11,This is what the future looks like! I am so proud of everything the Cadillac team has accomplished in a very challe… https://t.co/JDWkpeHHA0
1290449520493559808,2020-08-04 00:48:35,"I am so pleased to welcome Telva to this role. With Telva's leadership, I am confident in our journey to create equ… https://t.co/Ca7W5p1qyH"
1289251607880794112,2020-07-31 17:28:31,Access to convenient and reliable public fast charging is critical for #EV adoption. We’re so pleased to team up wi… https://t.co/qLePXOEKKg
1288121845539979264,2020-07-28 14:39:14,"Learning about #STEM is what ultimately led me to where I am today, as it provides many opportunities. I’ll be talk… https://t.co/8OGnYpJ8uR"
1287767010127106050,2020-07-27 15:09:15,"We're working to create a world with Zero Crashes, Zero Emissions and Zero Congestion with a team that continues to… https://t.co/sqWIqLAQnS"
1284542412933734405,2020-07-18 17:35:51,Today we mourn the losses of two great Civil Rights leaders. Rev. C.T. Vivian and John Lewis fought relentlessly fo… https://t.co/mia5aE4F11
1275187757812506624,2020-06-22 22:03:47,"Today I announced the guiding principles of @GM’s Inclusion Advisory Board, and the eleven members who will join me… https://t.co/3Y6IWHrMhA"
1272589011845107712,2020-06-15 17:57:18,Today’s decision by the Supreme Court is a historic day for the LGBTQ community. Everyone deserves to feel welcomed… https://t.co/bOJAFqtnvT
1268281118794616838,2020-06-03 20:39:16,Today I stood alongside the mayor of Detroit and local leaders and made a commitment to our hometown and to the nat… https://t.co/a9uRszJVRn
1254597968071704577,2020-04-27 02:27:19,"It might have been one of the easier decisions I’ve had to make in my career, but it was no small feat. It is incre… https://t.co/15rH6PYe3j"
