id,created_at,text
1332411708208508930,2020-11-27 19:51:20,retweet 4ever https://t.co/VTumknIbGC
1331761226699960322,2020-11-26 00:46:34,@amitoowell131 I’m so happy you liked it. I miss you guys terribly and am gonna keep trying to find ways to keep us… https://t.co/irbeCZvofR
1331756802078334982,2020-11-26 00:28:59,"@AshhHuntington @disneyplus @aaron_dessner Thanks, Aaron is one of the most talented people on earth (as well as th… https://t.co/vg0lcY1S0B"
1331752358020308994,2020-11-26 00:11:19,"@sheroseslowly Confirmed: the woman was, in fact, mad. 😂 #folkloreOnDisneyPlus"
1331751773921562625,2020-11-26 00:09:00,"@stateofarabella @taylornation13 ah yes, the FolkGLARE. 😈 #folkloreOnDisneyPlus"
1331750462958284806,2020-11-26 00:03:47,@adrienchanted Yeah that one scalds. Like why is it so sad?? I remember finishing that bridge and thinking it was l… https://t.co/UDd7IFHDTp
1331749183074619393,2020-11-25 23:58:42,@LydsEpp @taylornation13 It really slipped away into a moment of time didn’t it. ☀️ #folkloreOnDisneyPlus
1331748997124534274,2020-11-25 23:57:58,@luvyoutosaturn @taylornation13 @cinnamn13 Wowwwwww thank you so much. I’m so glad you like that one. #folkloreOnDisneyPlus
1331744604891344896,2020-11-25 23:40:31,"@elincomprendid @taylornation13 Yeah, talking to Jack about life is one of my all time favorite hobbies. He’s alway… https://t.co/FFh4GjYgDO"
1331741612402237443,2020-11-25 23:28:37,@thinkzakkIknows @taylornation13 I take that as the highest compliment in existence. 😭😭😭🥺🥺🥺 #folkloreOnDisneyPlus
1331740277665656834,2020-11-25 23:23:19,"@tayismyfalsegod @taylornation13 Thank you so much, I’m glad. Folklore is partly personal, partly fictional so I wa… https://t.co/BUNmd6d8au"
1331736619796324353,2020-11-25 23:08:47,"RT @disneyplus: “Turned out that everyone needed a good cry as well as us.” - @Taylorswift13 #folkloreOnDisneyPlus 

😭RETWEET😭"
1331633401355497472,2020-11-25 16:18:38,RT @taylornation13: You’re the 1 we want to watch folklore: the long pond studio sessions with on @DisneyPlus! ✨Come back at 5p CT for our…
1331602461010894850,2020-11-25 14:15:41,folklore: the long pond studio sessions (from the Disney+ special) deluxe edition album is out everywhere now!… https://t.co/A4AQ3WIRvg
