id,created_at,text
1333466453274660864,2020-11-30 17:42:31,Good discussion with @VeraJourova today. Taking the #MFF and #NextGenerationEU hostage puts Europe’s economic recov… https://t.co/gliGDrtIFO
1331547068184334339,2020-11-25 10:35:34,Today I stand with women experiencing violence. I see you. I hear &amp; trust you. Please speak up and reach out for he… https://t.co/mqZs6l4rrA
1331222889048248323,2020-11-24 13:07:24,"Ambitious #ClimateAction is a recipe for modern, prosperous and resilient economy &amp; society. #NextGeneneration Fund… https://t.co/VtQsGbZjYf"
1329348743284527106,2020-11-19 09:00:13,Be receptive to what is happening around you. Be alert when children are quiet. Trust their voice. I’ve joined the… https://t.co/zG3zDcAvz0
1328685847605092353,2020-11-17 13:06:06,"There is no #Slovakia for or against face masks, for or against strict measures. We are one nation, one country, on… https://t.co/Nb4gg7Zj4m"
1328448523768131585,2020-11-16 21:23:04,The choices we make today will define us tomorrow. The #EU cannot defend the values we share - such as #RuleOfLaw -… https://t.co/zLS6U1Zcfj
1327359367075803136,2020-11-13 21:15:08,"I strongly condemn the killing of an unarmed protester Raman Bandarenka. Peaceful transition of power, not violence… https://t.co/dyvnQyKWka"
1326545212085161987,2020-11-11 15:19:59,"Remembering heroes, we pay respect to all those who sacrificed so much to protect our freedom. #lestweforget https://t.co/mBYSwTHB33"
1325770885836500994,2020-11-09 12:03:05,"31 years ago, a new chapter of European history began. The fall of the #BerlinWall had put away decades of division… https://t.co/MfKBTM8FXE"
1325181186260471810,2020-11-07 20:59:50,Congratulations @JoeBiden. I wish you &amp; the American people strength to face challenges ahead of us. We share the s… https://t.co/MKggmOhVDL
1323553017531084801,2020-11-03 09:10:04,Deeply saddened by the shameful terrorist attack in #Vienna. My thoughts are with the families of the victims and t… https://t.co/gdr5OD5cSQ
1321835514547392518,2020-10-29 15:25:19,Recent abhorrent terrorist attacks in #France negate all values we stand for as Europeans. In these difficult times… https://t.co/uKVJSIHDye
1321427063732084736,2020-10-28 12:22:17,"102 years ago, independent #Czechoslovakia was founded on values of humanism, democracy &amp; progress. Today, Slovak🇸🇰… https://t.co/NGC9nPQ3fC"
1320040051494014976,2020-10-24 16:30:48,"Today, we unite in blue to mark #75UN. UN and responsible leadership remain the best answers to global challenges. … https://t.co/3uSI3XBtqE"
1317127157286567938,2020-10-16 15:35:59,I spoke to President of Switzerland @s_sommaruga - my official visit next week to Bern has been postponed as… https://t.co/H7OIrAu3eV
1315667877060579328,2020-10-12 14:57:20,"It takes seconds to use a face mask, disinfection &amp; to remember keeping distance. Seconds of respect can mean years… https://t.co/pPAE1svv7b"
1314865208955994112,2020-10-10 09:47:49,COVID-19 is not only attacking our physical health - it also greatly increases psychological suffering.  2020… https://t.co/qqZTJbnDa0
1314238312425689088,2020-10-08 16:16:45,"Glad to speak with @SPendarovski in Bratislava. #Slovakia supports reforms in #NorthMacedonia, especially in Rule o… https://t.co/wCkT4CpZO9"
1314227584268468226,2020-10-08 15:34:07,Glad to meet Sviatlana @Tsihanouskaya. Her determination to advance democratic change in #Belarus is inspiring. For… https://t.co/Q3Q13sf2rx
1313841224424587264,2020-10-07 13:58:52,We need to entrust technologies and technical equipment of our institutions to reliable hands – those of our Allies… https://t.co/4i6vCyngMP
1313817443685543938,2020-10-07 12:24:22,"We must stop undermining our institutions. We must replace questioning and criticism with support, defunding with i… https://t.co/MEv4NHCtsI"
1313817330435198981,2020-10-07 12:23:55,"We must make clear that respecting the rules and enjoying the benefits, including the EU funds, come always and str… https://t.co/4znG412YHV"
1312438000064712704,2020-10-03 17:02:57,"Courage, vision and a true will of the people of Germany and their leaders 30 years ago were the stepping stones of… https://t.co/yb6xmSPXZK"
1311738015698628611,2020-10-01 18:41:28,Our elders are source of wisdom &amp; experience. It is our duty to make sure they are not left behind and that ageing… https://t.co/1OfODv7YUL
1311331507986890754,2020-09-30 15:46:09,Species and habitats are disappearing at an alarming rate. Conservation of our planet's #biodiversity should be a p… https://t.co/abN7koSmd7
1310602286750670848,2020-09-28 15:28:29,I have joined #LeadersPledge4Nature to reverse #biodiversity loss by 2030. This global challenge needs urgent actio… https://t.co/vYl8cwKCJa
1309080073639792640,2020-09-24 10:39:45,Glad to welcome @ZelenskyyUa in Bratislava.#Ukraine-#Slovakia relations are very good &amp; hold so much more potential… https://t.co/iKDp6q5trz
1308824578165288961,2020-09-23 17:44:30,We all know what to do to address the climate crisis and save our planet. But we need a genuine will to act togethe… https://t.co/L8tV9fIMib
1308824576177180673,2020-09-23 17:44:30,The spread of authoritarian disease is a threat to all of us. No crisis can be an excuse for suppressing human righ… https://t.co/qhYT6nVO3u
1308824574801346562,2020-09-23 17:44:30,"The provision of COVID-19 vaccine to anyone on this planet should be a sign o humanity, not a matter of economic profit."
1308824573186580486,2020-09-23 17:44:29,"My #UNGA2020 address: To succeed as mankind, we need solidarity, compassion, responsible leadership and trust. Free… https://t.co/JKRvYrXvHG"
1308820345944768514,2020-09-23 17:27:41,"Glad to be the first woman on this year´s #UNGA2020 speakers list. As the 51st in total. We, the UN, can do better. https://t.co/m2JBqAtkFK"
1308742633083338754,2020-09-23 12:18:53,Sign language is equal to any spoken language. It is part of our linguistic and cultural diversity- let's do more t… https://t.co/ZTY1HINENG
