id,created_at,text
1259216824610275328,2020-05-09 20:21:00,"RT @MichelleObama: When we share honestly about our own experiences, we invite others to do the same. The connections we build in these mom…"
1253522357391630336,2020-04-24 03:13:13,.@BeyGOOD partners with @Jack Dorsey's #startsmall to support COVID-19 relief https://t.co/n6LwqKJW9m https://t.co/GeibDMvC5A
1240365587488006145,2020-03-18 19:52:55,"RT @JasmynBeKnowing: Alright, let's do this thing!
How's Wednesday at 6 PM PST (9 EST)???
We can use the hashtag #HOMEcoming 😂 https://t.co…"
1218261759959670784,2020-01-17 20:00:12,Live on https://t.co/SDScvRTZ6p 12 PM PST https://t.co/ozhQd1chIx
1152238456506114048,2019-07-19 15:27:10,“Spirit”+ “Bigger” The extended cut from Disney’s The Lion King (Official Video) https://t.co/pPEqCVWcKB https://t.co/6X65FLVJ18
1152071206608101384,2019-07-19 04:22:34,THE LION KING: THE GIFT available to stream and download now.https://t.co/FMpGiICL7X https://t.co/HqfgYoRVO9
1151304148677222400,2019-07-17 01:34:33,Watch #SPIRIT now #TheLionKing https://t.co/RYtZbQYCvn
1118413878596198400,2019-04-17 07:20:22,#HOMECOMING out now. https://t.co/sa6OKEBvkb https://t.co/f7fNhYuzLc
1008102754802438144,2018-06-16 21:43:21,"Stream #EverythingIsLove now, exclusively on TIDAL. Also stream a TIDAL-exclusive track. https://t.co/OHRZ7lnF8n https://t.co/70xd4Box4P"
880817879280754689,2017-06-30 15:58:41,"Mothers in Burundi want to provide clean, safe water for their children. Let's help them, together:… https://t.co/krlhFUX5lF"
724053681608527872,2016-04-24 01:53:44,#LEMONADE the Visual Album. https://t.co/8LM6jOwNKe https://t.co/eV32dUg7Pj
369557310412029952,2013-08-19 20:31:43,"RT @jleicole For #WHD2013, I ran 5.312 @CharityMiles to help @GirlUp educate girls in the developing world. #EveryMileMatters
#BeyGood"
369486010280706048,2013-08-19 15:48:24,"Today is World Humanitarian Day.
Another Day to #Beygood
#TheWorldNeedsMore 
http://t.co/FVEZo9dzpA"
358331764902592512,2013-07-19 21:05:24,#actnow4Trayvon http://t.co/gcYoiSIbsd
341358625639526401,2013-06-03 01:00:13,Tune in now to NBC #ChimeforChange benefit concert. I am honored to be part of this great initiative for the empowerment of all women!
237208467419578368,2012-08-19 15:24:40,"This World Humanitarian Day I’m doing something good, somewhere, for someone else. Join me! #WHD2012 #IWASHERE http://t.co/s0wzBAdS"
235894234245394433,2012-08-16 00:22:22,It all starts with doing! - http://t.co/rHqwQVLs #IWASHERE #WHD2012
235870359029706752,2012-08-15 22:47:30,"Hello, its Beyonce'.
World Humanitarian day is 4 days away!
August 19th. What will your act of kindness be? #IWASHERE #WHD2012"
187902028217987072,2012-04-05 13:58:29,"Hey World, It's B!
I'm so excited to invite you to my new http://t.co/fZxlrtAh - we've been working
hard, and it's finally ready for you XO"
