id,created_at,text
1331962549869285377,2020-11-26 14:06:33,"As so many of us celebrate Thanksgiving without the usual gathering of friends and family this year, let’s come tog… https://t.co/VMGmHUzBix"
1331620236672417794,2020-11-25 15:26:19,Congratulations to @LaurenHobart for being named the CEO of @DICKS. Lauren was a great leader during her time at… https://t.co/CCmh6BuA2L
1331240771530309635,2020-11-24 14:18:27,"During Hispanic Heritage Month, you all shared your favorite books by Hispanic authors. It’s essential that our rea… https://t.co/yoHtyQS6Ne"
1329506754518949888,2020-11-19 19:28:05,Building a better work culture starts with the top. Col. Everett Spain’s article on how the @USArmy created a new p… https://t.co/6A23S2fvi5
1328492780511903745,2020-11-17 00:18:55,"As a proud @Yankees fan, I’m thrilled to see Kim Ng make history as the first woman hired as a General Manager in… https://t.co/hfdzbJ9ImI"
1327619712319172609,2020-11-14 14:29:40,This year we must think about the Festival of Lights in a new way – making memories at home rather than gathering l… https://t.co/TgufsSdklV
1324397754274250752,2020-11-05 17:06:45,Next week’s @thegeforum is an opportunity to learn about urgent global trends and events like the 2020 U.S. electio… https://t.co/AN0dLhlrRZ
1323266963888627712,2020-11-02 14:13:23,The @EarthshotPrize aims to inspire innovation and support those who come up with the brightest ideas to save our p… https://t.co/ix9kRDjiL8
1321819471544279040,2020-10-29 14:21:34,Fixing the care crisis means finding solutions that work for everyone in a family. @dianamlind’s case for multigene… https://t.co/SBPONrk97p
1321069009790488583,2020-10-27 12:39:30,"As corporations work to actualize racial equity and inclusiveness in the workplace, @MLTOrg's #MLTBlackEquityatWork… https://t.co/SRxAf1ZbEx"
1319655402443714561,2020-10-23 15:02:20,The #CARE100 list highlights the brightest innovators in the care ecosystem and provides an unprecedented opportuni… https://t.co/yk641tJ9Fc
1318979703424897028,2020-10-21 18:17:21,"In his profound book, Walking, Erling Kagge resurrects what so many throughout history have told us before: that wa… https://t.co/JqFOIEsoiV"
1316739801354207233,2020-10-15 13:56:47,Reading books from authors who hail from a wide variety of backgrounds is one of the best ways to understand new pe… https://t.co/okB1lPIDHT
1316411467319644161,2020-10-14 16:12:06,"The climate is changing much faster than originally anticipated, and if we don’t act soon, the harm we are doing to… https://t.co/pNuCkll6X7"
1314529783791968256,2020-10-09 11:34:57,"Over the next ten years, the @EarthshotPrize will help incentivize great thinkers to put together solutions to help… https://t.co/qdszSGT3VQ"
1314238368688099336,2020-10-08 16:16:59,"Last week, many of you shared the struggles and small joys of being a working parent during this pandemic. By shari… https://t.co/yLoAMUu4cE"
1311727613640089610,2020-10-01 18:00:08,"For any young woman interested in science, look no further for inspiration than @Astro_Ellen, who was the first His… https://t.co/Lq7rWczfVN"
1310942029753524225,2020-09-29 13:58:30,Working parents are demonstrating admirable grit and creativity as they adjust to the fact that many schools and ch… https://t.co/DtswybUYnA
1310649183792181254,2020-09-28 18:34:50,@ariannahuff @moiraforbes @JulieSweet @sherylsandberg @reshmasaujani It has been so impactful to see how she inspir… https://t.co/3eeYu0UaTh
1307415773023997952,2020-09-19 20:26:25,Women don’t belong on the sidelines. They belong in the ring fighting. Ruth Bader Ginsburg dedicated her life’s wor… https://t.co/4Nnu4VBi0R
1304901928154005505,2020-09-12 21:57:18,Congratulations to Jane Fraser for being named the next CEO of @Citi and becoming the first woman to lead a major U… https://t.co/uVGK57Ll78
1303365764511158278,2020-09-08 16:13:08,"#InternationalLiteracyDay should be a reminder that opportunity – to read and learn, but also to live in comfort an… https://t.co/L32pJkGAK6"
1301918601818116096,2020-09-04 16:22:37,"I recently shared a lovely conversation with my good friend @DavidNovakOGO, discussing our shared time at PepsiCo a… https://t.co/KUMMHSBNxw"
1301166758175428613,2020-09-02 14:35:04,"I’m honored to have some of my leadership principles included in David Rubenstein’s new book, How to Lead. His book… https://t.co/5gNAVaIJGR"
1298996370846543872,2020-08-27 14:50:43,RT @LibnOfCongress: Today the @librarycongress will be celebrating the centennial of the #19thAmendment by illuminating the Jefferson Build…
1295785557071671296,2020-08-18 18:12:05,"Sometimes the most enjoyable books are the ones that you can escape into, which is why @daniellesteel is one of my… https://t.co/DfI0Qk8Dpi"
1293336522956189696,2020-08-12 00:00:30,I am truly excited and encouraged by @JoeBiden’s selection of @KamalaHarris to be his Vice President. I’ve had the… https://t.co/ioNUXOm1Wn
1289198822464221185,2020-07-31 13:58:46,"Our nation laid to rest the great Representative John Lewis, a figure who felt larger than the world because he cha… https://t.co/bVNYw3Jyyc"
1288882818156830722,2020-07-30 17:03:04,The Great Influenza by @johnmbarry is an incredible walk through the history of the 1918 Spanish flu. This quote st… https://t.co/jqQs5haw7F
1286676457733779457,2020-07-24 14:55:47,"Although the 2020 @Olympics have been postponed, today I’m reflecting on the influence that the female athletes who… https://t.co/zyv7uPtZ45"
1285944266829606918,2020-07-22 14:26:19,"In her insightful book, Feminist City, @LellyK explores gendered urban landscapes, asking us to consider what citie… https://t.co/aHbal99V2h"
1283443575787667456,2020-07-15 16:49:28,A great book has the power to open up the most challenging and valuable discussions with others. I’ve joined… https://t.co/C2yTwGW3vC
1281223335435743232,2020-07-09 13:47:01,"As the world navigates the ravages of the pandemic, David Cote and @fredhochberg offer readers two gripping analyse… https://t.co/cfexKhz2IQ"
1277660037205221381,2020-06-29 17:47:45,"I am honored to sit on the review panel for the #EqualityCantWaitChallenge, an effort championed by @melindagates t… https://t.co/YMedPoX19I"
1274723157425995776,2020-06-21 15:17:38,"My father raised me to believe that my capabilities are boundless. My daughters possess similar conviction, and I k… https://t.co/7KAFibiIqd"
1274033097042989056,2020-06-19 17:35:35,"RT @NatGeo: Americans are celebrating #Juneteenth today, but what exactly does the day signify? 1/10 https://t.co/v11oacDV5N"
1267574444282777600,2020-06-01 21:51:12,"As protests sweep the country, we all have a role to play. Below, I offer reflections about what this moment means… https://t.co/sLq6hghC5X"
1265711438364114945,2020-05-27 18:28:17,"When our caregiving systems starts to fail, it’s predominantly women who pick up the slack. This moment should be a… https://t.co/NpC7giaY23"
1263890595011080192,2020-05-22 17:52:54,It’s wonderful to see the innovative ways that one person can help communities across the country during this time… https://t.co/vR9LSt0fGA
1259485998444142593,2020-05-10 14:10:36,"This #MothersDay is unique, as we're celebrating during a global health crisis. In these times, so many mothers hav… https://t.co/Z9Ta9Pqvld"
1258384209233752065,2020-05-07 13:12:29,We bear witness to a fraction of the impact that our positivity has on the world. Doing good inspires good in other… https://t.co/HxklVnV5R1
1253419074853302277,2020-04-23 20:22:49,"As we all face new challenges, I’m inspired by the strength so many have shown. The tireless efforts of teachers, p… https://t.co/z2YyaYrhGP"
1250149490109054978,2020-04-14 19:50:39,Sending my deepest condolences to the @Yankees organization and the Steinbrenner family today. I know we’ll all be… https://t.co/zMm0SfPB9r
1249849698468466693,2020-04-13 23:59:23,"This will be a thoughtful and coordinated effort, and we will have to learn as we go. It’s a privilege to work with… https://t.co/ItMi2Ddcvw"
1249849697096867841,2020-04-13 23:59:23,I’m proud to co-chair @GovNedLamont’s council in the multi-state effort to safely restore our regional economy. Thi… https://t.co/QQ7QVZeczC
1247947010986119168,2020-04-08 17:58:47,"In challenging times, it’s essential that we stay optimistic about the future and realistic about how we get there.… https://t.co/EGjk6MAJ0Y"
1245797082247593984,2020-04-02 19:35:44,These words from Henry James remind me that through this crisis we must all do our best to care for each other and… https://t.co/PQ8qPd2Abi
1242802062548774912,2020-03-25 13:14:36,"Children must have access to the resources they need to continue an education, and with school cancellations as a r… https://t.co/66dHidpIa4"
1236470749998743555,2020-03-08 01:56:13,"This International Women’s Day, I’ll be celebrating by watching the @T20WorldCup Women’s Cricket Final. Today in pa… https://t.co/MGQ36kmZpY"
1234587983925403653,2020-03-02 21:14:47,"We all need inspiration to break boundaries — and like the women of this year’s @T20WorldCup, I’ve always been insp… https://t.co/MLdazdsXKM"
1233069449328152576,2020-02-27 16:40:40,"With so many women around the world still constrained from reaching their full potential, this book from… https://t.co/hFQPRBEAIn"
