id,created_at,text
1333595493025284096,2020-12-01 02:15:17,.@JustinBieber. Beanies. Tattoos. Tomorrow. https://t.co/yzLW9T7Qk3
1333518460345671680,2020-11-30 21:09:11,"Happy birthday, @ChrissyTeigen! You know how much I love you. I wish nothing but health and happiness for you and y… https://t.co/F2f3Dcpl6M"
1333490833568370688,2020-11-30 19:19:24,"If you thought you couldn’t love @DollyParton more, please meet 5-year-old Violet. https://t.co/7LDJonZcKF"
1333472981553537024,2020-11-30 18:08:28,On the 4th Day of 12 Days @TheEllenShow gave to me… click this link to find out what you can win! #12DaysofGiveaways https://t.co/i96qtFMufs
1332727944393994241,2020-11-28 16:47:57,"This holiday season, I hope you’ll consider supporting small businesses for your gifts, like the ones you suggested… https://t.co/RClYjiX3lH"
1332116437213863936,2020-11-27 00:18:02,Happy Thanksgiving everyone from me and Portia https://t.co/e3TvqdFOSf
1332041259939225602,2020-11-26 19:19:19,Happy Thanksgiving! Someone tell grandma her Zoom camera is still on.
1331765334496440320,2020-11-26 01:02:53,"Since 1986, @FarmSanctuary’s #AdoptATurkey Project has reached millions of people with a message of compassion. Sav… https://t.co/WbqMrjjNw0"
1331712446285877248,2020-11-25 21:32:43,Please enjoy @JoshDuhamel and @OliviaMunn playing #TasteBuds. https://t.co/zaz42shKPq
1331661545693175813,2020-11-25 18:10:28,"If you need something to get you into the holiday spirit, please watch this. https://t.co/FWSdWS1lMF https://t.co/XnrNPfOD0W"
1331607695133192196,2020-11-25 14:36:29,"Day 3 of my #12DaysofGiveaways is here! Find out how you can win all of today’s prizes, here! https://t.co/GyUQ02Fldk"
1331366704903905280,2020-11-24 22:38:52,40 days left of 2020. You’ve got this.
1331359520203755521,2020-11-24 22:10:19,"Happy birthday, @Sarah_Hyland! To celebrate, I'm rewatching all the episodes of #LadyParts! https://t.co/s3JSkQGd4A"
1331335942183870465,2020-11-24 20:36:38,".@Evan_Lala didn’t let becoming paralyzed from the waist down stop him from becoming a skateboarder, so I couldn’t… https://t.co/rMr2UQRPmk"
1331327411355488256,2020-11-24 20:02:44,This was a great day. https://t.co/PrUMyv295U
