id,created_at,text
1331100336581328896,2020-11-24 05:00:25,"Amazing oppty to work with amazing @AllRaise colleagues, learn, expand your network AND make tech more equitable 👇👇👇 https://t.co/bQgfWtt368"
1331099830748205063,2020-11-24 04:58:24,@brandee Ha I think I’m in just one of them but I could def be in all three :) xoxo
1329650325674868739,2020-11-20 04:58:36,@twang @NickJRishwain @CowboyVC @dunkhippo33 @Jason I can attest these things tru 🤠
1329616795611742208,2020-11-20 02:45:21,@barbarawhye woohoo they are lucky to have you Barbara!!
1329616665475072000,2020-11-20 02:44:50,ah found him! @msmith492 we see you :)
1329611324637155328,2020-11-20 02:23:37,"SO EXCITED Mike Smith @stitchfix is going to be a VC. He's a world class leader, operator, thinker and human being,… https://t.co/hTJQp0GZSM"
1328929717928517636,2020-11-18 05:15:09,"Regardless of your political affiliation, hope we can team up to stand up to sexism and bias against women running… https://t.co/wJhBsEXcoN"
1328928751711817731,2020-11-18 05:11:19,"RT @CowboyVC: How they launched it @disneyplus edition 💫

#launchawesome @launchawesome https://t.co/F7hAfP6txr"
1328748219933761537,2020-11-17 17:13:57,@jomayra_herrera @amanda_robs @MariaSalamancaM @grlalx I would eagerly watch the reality show of you ladies working… https://t.co/JeCSvobxKv
1328576144250167297,2020-11-17 05:50:11,@brandee @Airbnb Awww was just folding that sweater and remembering that day 😭 ❤️
1328575989698453504,2020-11-17 05:49:34,"@jomayra_herrera @WSJ Yaassss extremely well deserved.  Also all the JH ❤️ is real and amazing. Me one proud cow-lleague!!! 
🤠🎊⭐️🔥🎉💪🏼"
1327721275721015296,2020-11-14 21:13:14,Yes!!! Now a massive @Marlins fan... way to go!!! https://t.co/85kX9DuRsz
1327088350830809089,2020-11-13 03:18:13,Omg so maybe some of us have been riding w @Beyonce all these years and we didn’t know it? How cool! Ps well done… https://t.co/CApQywOIh8
1326983185096327168,2020-11-12 20:20:20,"RT @ebboyd: This is a revolutionary statement, now backed by science:
The study’s findings suggest that “the path toward gender equality sh…"
1326919396904693760,2020-11-12 16:06:51,@iDedupe Wow thanks for sharing this story ❤️ 😭
1326356108852617217,2020-11-11 02:48:33,"RT @AVindman: In the last 24 hours, the Secretary of Defense (SecDef), the Under Secretary of Defense for Policy (USD-P), and the Under Sec…"
1326016628237111296,2020-11-10 04:19:35,@msuster Ha thx maarrrk!
1326014988851441664,2020-11-10 04:13:04,@twang @CowboyVC Ha thx cow-lleague / 🤠 pardner :)
1325943460382167040,2020-11-09 23:28:50,This is an amazing opportunity for US-based principal level VCs across the country. And TY @ElisaSchreiber for doin… https://t.co/g3x176BUsk
1325195991985762306,2020-11-07 21:58:40,"@ellenjdasilva This just made me tear up, thank you for sharing :)"
1325161078888624131,2020-11-07 19:39:56,"RT @MichelleObama: Van, thank you for expressing the sorrow and relief that we all feel. My hope is that those who hoped for a different ou…"
1325156821598826496,2020-11-07 19:23:01,RT @frederikg191: Bridges matter. Using your privilege and access for those who don't have it is so important. Be a bridge.
1325149979162234881,2020-11-07 18:55:49,RT @staceyabrams: GEORGIA: The January 5 runoff elections for control of the U.S. Senate are fast approaching. Make your voice heard by req…
1324813418621145089,2020-11-06 20:38:27,Sharing some hope and grace during a turbulent time. At the @AllRaise conf last wk we were treated w the incred voi… https://t.co/DjEjnACTtY
1324754922022211584,2020-11-06 16:46:00,Same!! https://t.co/Cqd9JgeW9p
1324749999956062208,2020-11-06 16:26:27,Such an emotional time. Thinking about those who died needlessly &amp; their loved ones. Who have lost jobs. Who have f… https://t.co/vXoMY3oZH0
1324549154626916353,2020-11-06 03:08:22,"However GA turns out, 🙏 🙏 🙏 you @staceyabrams, you are amazing."
1324548880889913345,2020-11-06 03:07:16,"RT @meenaharris: If you voted absentee in Georgia, check the status of your ballot RIGHT NOW!! If it was rejected, you have until 5pm TOMOR…"
1324546780818632705,2020-11-06 02:58:56,"@asheaw @joelle_emerson Oh interesting a haven’t tried that one, will get!!"
1324543992428593152,2020-11-06 02:47:51,@joelle_emerson so 🙏 for your 😎 updates!! 😚 😘 💋
1324453321977982976,2020-11-05 20:47:33,@twang this is awesome!!
1324195420260585472,2020-11-05 03:42:45,It’s funny / not funny that the 2 radio ads I just heard were for an online therapy co offering stress management t… https://t.co/bnWF5aKkQL
1324155981920530433,2020-11-05 01:06:02,@halletecco Happy happy birthday!!
1323669770865004546,2020-11-03 16:54:00,"RT @joelle_emerson: This morning North Carolina released the names of all voters who requested absentee ballots, but have not yet voted. Le…"
1323454626121744386,2020-11-03 02:39:06,"@johnolilly Now, or tomorrow?"
1323343343858769920,2020-11-02 19:16:54,Anyone else just lose electricity in Palo Alto? Cc @PAUtilities
1323106052246663168,2020-11-02 03:33:59,RT @aunder: I’m glad someone finally said it out loud because I sometimes thought I was just being paranoid thinking that these are some pe…
1323098589589983232,2020-11-02 03:04:20,👇👇👇 https://t.co/vZsnyK0I3e
1322693388848672769,2020-11-01 00:14:13,👇👇👇🔥💪🏼👏 https://t.co/UYbD2VcgbX
1322573843664285696,2020-10-31 16:19:11,@hshanawaniMD So good &amp; TY for GOTV this weekend!!!
1322326000231882752,2020-10-30 23:54:20,@jomayra_herrera @grlalx @sholmesie Like the hat!!
1322239784044032000,2020-10-30 18:11:45,"@heatherredman Thank you too... so many awesome people involved, ❤️ 🙏 all the @AllRaise HQ team &amp; volunteers!!"
1322236743412637696,2020-10-30 17:59:40,RT @PamKostka: Daily dose of inspiration from @AllRaise.  Join our community to create change in tech!  Thankful for the forces of nature f…
1322199766478974976,2020-10-30 15:32:44,"Love this 🔥🔥 🔥 video, hope you’ll watch it! &amp; love seeing you in here @PamKostka @kmlake @jenntejada @badassboz… https://t.co/ynYzga502O"
1322187941439893505,2020-10-30 14:45:44,"Love this piece &amp; framework about @jalehr @mutinycorp on how to speed up your marketing org w 6 key tips (esp: ""est… https://t.co/UUkHwYqWMZ"
1321963438306816000,2020-10-29 23:53:39,So excited to watch this weekend - hope you will too! https://t.co/mlF9GbsVN9
1321878310553485327,2020-10-29 18:15:23,"Are you in a principal / VP level role at a US-based VC firm?  If so, apply to be part of an @AllRaise Principal Co… https://t.co/SeZndzfBFY"
1321868775570898944,2020-10-29 17:37:29,So much courage and inspiration being shared at the #AllRaiseVCSummit this am. We’ll share the keynote recordings -… https://t.co/ajYQCTwJL8
1321862364665311232,2020-10-29 17:12:01,👏💪🏼👇👇👇 https://t.co/FW03NN8vyA
1321862060917993473,2020-10-29 17:10:48,@jesskah @jennylefcourt 😩 😳 😆
1321861832773042177,2020-10-29 17:09:54,RT @amanda_robs: DAY 3 BABY 🔥
1321860015011950597,2020-10-29 17:02:41,Day3 of the @AllRaise #allraisesummit2020 is on!!! Amazing vocals from vocal rush of Oakland starting us off... #SayHerName
1321647176880058368,2020-10-29 02:56:56,This whole thread 🔥 🔥 🔥 https://t.co/Q8q1b8szOU
1321609782491426816,2020-10-29 00:28:21,"RT @PamKostka: ""The world has a hard time celebrating a bold, confident WOMAN."" -- gem from @GlennonDoyle"
1321608502792527873,2020-10-29 00:23:16,Me right now at the @AllRaise summit.  TY team for such an amazing day and we’re only part way thru!!! https://t.co/cO3Fl0LbYd
1321607542271741952,2020-10-29 00:19:27,"“The goal is no longer to get a seat at the table. It’s to get a seat and then blow up the table.”  
“We have to st… https://t.co/tD3qBx24HN"
1321606279605882880,2020-10-29 00:14:25,"“ Part of Untamed is about fighting for every woman on earth” @GlennonDoyle, #AllRaiseVCSummit  🙏 🙏 🙏"
1321605333404430338,2020-10-29 00:10:40,OMG this @AllRaise sesh with @03Tigress @GlennonDoyle is making me laugh and deeply cry at the same time. It is sha… https://t.co/MtLeVVl3Ve
