id,created_at,text
1325271518729949186,2020-11-08 02:58:47,I’m catching up on the @ICEHousePodcast and love this conversation with @karagoldin https://t.co/gvzTqi0e7z
1325270704456085504,2020-11-08 02:55:32,"RT @thefriley: What a year, but every now and then the light shines through. Thank you @NYSE @stacey_cunning for supporting womxn and @LWLG…"
1325270626135896065,2020-11-08 02:55:14,RT @LWLGlobal: Thank you @stacey_cunning  🚀 - the LWL logo looks even better with you cheering next to it!
1325270215651962880,2020-11-08 02:53:36,RT @karagoldin: Thank you @NYSE for the amazing opportunity to chat on @ICE_Markets about my journey and my new book Undaunted: Overcoming…
1325268804058963969,2020-11-08 02:47:59,"RT @Polioptics: Fascinating chat between @stacey_cunning &amp; @chamath recorded @NYSE Institutional Equity Forum, which we've posted as an @IC…"
1325268720470646784,2020-11-08 02:47:39,"RT @Polioptics: ""If you take something very complicated, like 'how would you launch a rocket into space,' you can break that problem down b…"
1324532903037050882,2020-11-06 02:03:47,"RT @SquawkAlley: NYSE President @stacey_cunning joins us to discuss the recent market volatility, the IPO environment and a lot more.

@CNB…"
1324438417451716608,2020-11-05 19:48:20,"In a year of firsts, the first #LWLVirtualSummit is one I can get behind. https://t.co/5ub6rNMB0J"
1324398169933885441,2020-11-05 17:08:24,Celebrating women entrepreneurs at the @NYSE today by ringing the bell for @LWLGlobal. https://t.co/p9rgfyEk3i
1318673143431680001,2020-10-20 21:59:11,Congratulations to @JulieSweet for topping the list and all of the other incredible leaders selected as… https://t.co/cYeIPZv9An
1311140061392625665,2020-09-30 03:05:25,Great to join @karaswisher and @profgalloway on @PivotSchooled to talk about the trends and disruptions in the publ… https://t.co/kBdHz9GwX2
1307297567714181124,2020-09-19 12:36:43,"A great American, Ruth Bader Ginsburg challenged us to treat people equally and with respect - we are forever in he… https://t.co/CTDwc2agxj"
1307040694679281666,2020-09-18 19:35:59,Congratulations to the entire @Unity3d team that made history when they rang the @NYSE Opening Bell together this m… https://t.co/9rgh1PrbNE
1306346073741553668,2020-09-16 21:35:49,RT @NYSE: We're excited for @SnowflakeDB to ring this morning's Opening Bell... https://t.co/qFRvQfow3B
1306296841739345921,2020-09-16 18:20:11,"Congratulations to Frank, Mike, and the entire @SnowflakeDB team on the largest software IPO ever! Welcome to the N… https://t.co/NM5I53436d"
1304224670162575361,2020-09-11 01:06:07,I am definitely #AllinNYC https://t.co/lhN4xppOTn
1304080654469038081,2020-09-10 15:33:51,"Excited to see Jane Fraser named the next CEO of @Citi. She brings tremendous talent, skills and experience to the… https://t.co/5ldD87jhwi"
1303838976659386368,2020-09-09 23:33:30,"Aside from being the right thing, increasing board diversity leads to better decision-making and sets a powerful ex… https://t.co/CqMslkd49V"
1298768176101109763,2020-08-26 23:43:57,Big development in capital markets! The SEC has granted approval for @nyse to list companies interested in raising… https://t.co/wSVE2xkVov
1298759275486027777,2020-08-26 23:08:35,And thanks to CNBC’s @JBoorstin for leading the dynamic conversation.
1298759274789732352,2020-08-26 23:08:35,"Thanks to @chrisrbritt, @alighodsi and @danieldines for joining @NYSE and @CNBC for our Digital Leaders event today… https://t.co/QctDzmwKam"
1298759274093596672,2020-08-26 23:08:35,"Disruptors like @databricks, @UiPath and @Chime are built on the mission of democratizing access to this groundbrea… https://t.co/CuqtAd6arB"
1298759273397260289,2020-08-26 23:08:35,"The COVID-19 pandemic has accelerated digitalization globally, and we’re at an inflection point where the widesprea… https://t.co/odbtDuJRKH"
1298404175634739208,2020-08-25 23:37:33,"RT @bpatrick001: Must watch live Digital Leader interactive discussion with @UiPath CEO @DanielDines, @CNBC @JBoorstin and @NYSE President…"
1298244522095317000,2020-08-25 13:03:08,RT @bgurley: Going Public Circa 2020; Door #3: The SPAC | Above the Crowd | By Bill Gurley https://t.co/HwawTxaW9a
1296611570852810753,2020-08-21 00:54:23,@mblaugrund @NYSE Oops
1296171541735120900,2020-08-19 19:45:51,"Having started my career on the @NYSE Tading Floor at the same time as @MariaBartiromo, I particularly enjoyed this… https://t.co/DG9Kt6NYP6"
1295782513391042560,2020-08-18 18:00:00,RT @ICE_Markets: Recently @NYSE President @stacey_cunning sat down with @rbccm @CroftHelima to unpack everything that’s been going on in th…
1294712967221653509,2020-08-15 19:10:00,"Back after a fantastic getaway and need to send a huge thank you to the entire @Delta team, both on the ground and… https://t.co/megqj3yzIv"
1291521515243085824,2020-08-06 23:48:19,Huge welcome to @RocketMortgage @QuickenLoans and the entire 🚀 family of companies.
1291520982419734530,2020-08-06 23:46:12,@RocketCompanies brought the fire to @NYSE today. 🚀 🔥 https://t.co/q7bmrq8Hkd
1286468291310112768,2020-07-24 01:08:36,Proxy advisory reform has long been a focus of @NYSE advocacy as ensuring shareholders receive accurate information… https://t.co/ehU4rpQh05
1281179488685039616,2020-07-09 10:52:47,@tobi Love the video and love the leak. So good.
1280201510450860032,2020-07-06 18:06:39,Looking forward to breakfast with @newyorkbio tomorrow! https://t.co/ot6PBi6WWw
1274139339405119488,2020-06-20 00:37:45,I’ve had the privilege of joining Team Wilderness on a hike. After meeting some of the teens who have been through… https://t.co/ylml6Tabiq
1274128666503585792,2020-06-19 23:55:20,"RT @mblaugrund: Today's @NYSE closing auction was the largest on record, at 2.35 Billion shares.

Thank you to the investors, members, Floo…"
1274124398392479745,2020-06-19 23:38:23,"RT @JustinRBLT: So, @stacey_cunning's October 2018 offer of a 10-mil fee cap and moratorium on data-fee hikes appears to be aging quite wel…"
1273982296031399936,2020-06-19 14:13:43,"The NYSE is committed to promoting economic opportunity and access for those underrepresented 

https://t.co/yLSGFIX5zy"
1273299494445166600,2020-06-17 17:00:30,Great to talk this morning with @MorganLBrennan and @jonfortt and look forward to welcoming them and the @CNBC team… https://t.co/RFFxuOPFiD
