id,created_at,favorites,retweets,retweeted,source,text
1333875319338541056,2020-12-01 20:47:12,13,1,False,b'Twitter Web App',"b""I was honored to be a judge for @Forbes' #30Under30 in Manufacturing &amp; Industry 2021. It's inspiring to see young innovators in the manufacturing space developing parts and products that break the mold. Congrats to this year's 30! https://t.co/EbfVZ4bM6N"""
1289405513768165376,2020-08-01 03:40:05,0,20,False,b'Twitter for iPhone',"b'RT @BloombergLive: .@BloombergTV\xe2\x80\x99s @emilychangtv and @Carbon\'s @EllenKullman talk about female leadership during crises, ""There is a resili\xe2\x80\xa6'"
1285899939789168641,2020-07-22 11:30:11,0,6,False,b'Twitter for iPhone',"b'RT @Carbon: We\'re thrilled to share that our CEO, @EllenKullman, has been named to @Comparably\'s \xe2\x80\x9cBest CEOs for Women"" list based on employ\xe2\x80\xa6'"
1285899922605146113,2020-07-22 11:30:07,0,9,False,b'Twitter for iPhone',"b""RT @Carbon: We're so proud of our CEO, @EllenKullman, for being named as one of the \xe2\x80\x9cBest CEOs for Women\xe2\x80\x9d by @Comparably. Our team is inspi\xe2\x80\xa6"""
1285790514244022272,2020-07-22 04:15:22,4,0,False,b'Twitter for iPhone',"b'@Joseph_DeSimone @Carbon Thank you, Joe!'"
1280523354605117441,2020-07-07 15:25:33,26,12,False,b'Twitter Web App',b'The interview I did with the business podcast @mastersofscale went live today. Hear my discussion with @reidhoffman (@LinkedIn Co-founder &amp; #SiliconValley Investor) about our experiences &amp; learnings around navigating through different stages of a crisis. https://t.co/G3u8DmUqIH'
1273436439263342592,2020-06-18 02:04:41,0,7,False,b'Twitter for iPhone',b'RT @daratreseder: Thank you @businessinsider for recognizing the work we are doing @Carbon. I couldn\xe2\x80\x99t do what I do without my amazing team\xe2\x80\xa6'
1271916926399176704,2020-06-13 21:26:40,0,6,False,b'Twitter for iPhone',"b""RT @FastCompany: Here's how @Carbon CMO @daratreseder keeps in touch with her team while working from home. https://t.co/dP114qmI2X"""
1271503562397253632,2020-06-12 18:04:07,0,13,False,b'Twitter for iPhone',"b""RT @Forbes: Forbes' Communities Director @jenny_rooney will go Live on Instagram at 12 PM with @daratreseder, the CMO of @Carbon, to discus\xe2\x80\xa6"""
1267193267780714499,2020-05-31 20:36:33,25,10,False,b'Sprout Social',"b'I have been talking with Carbon employees about recent events. I\xe2\x80\x99m sharing a note that summarizes my thoughts because change happens when we all use our voices and take meaningful action. Together, we can and will make a difference. \xf0\x9f\x99\x8f https://t.co/ry9ZVcoZjN'"
1266781541566275585,2020-05-30 17:20:29,0,16,False,b'Twitter Web App',"b'RT @Carbon: We\xe2\x80\x99re thrilled that @EY_US nominated our Exec Chairman, @Joseph_DeSimone for the EY World Entrepreneur Of The Year! This award\xe2\x80\xa6'"
1266069913807904768,2020-05-28 18:12:44,2,1,False,b'Twitter for iPhone',b'@neweconforum Thank you @abrownepek for an engaging conversation!'
1266069808656744449,2020-05-28 18:12:19,0,8,False,b'Twitter for iPhone',"b""RT @neweconforum: Carbon is the world's leading digital manufacturing company, and has now pivoted to focus on printing face shields and ot\xe2\x80\xa6"""
1266069339385368577,2020-05-28 18:10:27,0,4,False,b'Twitter for iPhone',"b""RT @neweconforum: What is top of mind for CEO Ellen Kullman as she leads @Carbon, the world's largest digital manufacturing company? She jo\xe2\x80\xa6"""
1266069304375513088,2020-05-28 18:10:19,0,3,False,b'Twitter for iPhone',b'RT @neweconforum: What business trends does @EllenKullman predict will come from Covid-19 that will affect the world of 3-D printing? Watch\xe2\x80\xa6'
1266069264202526720,2020-05-28 18:10:09,0,12,False,b'Twitter for iPhone',"b""RT @Carbon: From midsoles to test swabs &amp; face shields, our partners have used our tech to innovate across industries. Watch @Bloomberg's @\xe2\x80\xa6"""
1261374779421933569,2020-05-15 19:15:57,0,8,False,b'Twitter for iPhone',b'RT @adage: Creative Under Quarantine: Dara Treseder juggles COVID-era marketing for a $2.5 billion startup and a full family life https://t\xe2\x80\xa6'
1260989841992540160,2020-05-14 17:46:21,37,11,False,b'Sprout Social',"b""Thank you to @svbizjournal for recognizing me as one of 2020's 100 Women of Influence in Silicon Valley. It is truly an honor to be chosen among so many extraordinary women leaders. Read more about this year's Women of Influence honorees: https://t.co/lqaVtaA16a #SiliconValley"""
1260826117276962816,2020-05-14 06:55:46,0,0,False,b'Twitter for iPhone',b'@HannahKain @Carbon @svbizjournal @committeeof200 Thank you \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1260826046602989570,2020-05-14 06:55:29,0,2,False,b'Twitter for iPhone',b'RT @HannahKain: Congrats to @EllenKullman of @Carbon for being recognized as a Women of Influence 2020 by @svbizjournal.\n@committeeof200\xe2\x80\xa6'
1260818586962063363,2020-05-14 06:25:50,0,5,False,b'Twitter Web App',"b""RT @Carbon: Read @GamePlan_A's recent interview with our CEO, @EllenKullman, to find out how @adidas\xe2\x80\x99 support has allowed Carbon to rapidly\xe2\x80\xa6"""
1260818503889608705,2020-05-14 06:25:30,2,0,False,b'Twitter Web App',b'@Joseph_DeSimone @Carbon @svbizjournal Thanks Joe!'
1260818443617484801,2020-05-14 06:25:16,0,4,False,b'Twitter Web App',b'RT @Joseph_DeSimone: Congratulations and well deserved recognition of our very own @EllenKullman at @Carbon being named one of the 2020 Wom\xe2\x80\xa6'
1256071271382573058,2020-05-01 04:01:42,0,6,False,b'Twitter Web App',b'RT @Carbon: Meet #AdditiveMVP Marco Kormann from @adidas who is Mastering Versatile Production using #DLS &amp; the same material from adidas F\xe2\x80\xa6'
1256071146878889984,2020-05-01 04:01:12,0,16,False,b'Twitter Web App',b'RT @Carbon: We\xe2\x80\x99re excited to announce the Carbon Additive MVP Awards! #AdditiveMVPs are individuals who leverage #DigitalLightSynthesis tec\xe2\x80\xa6'
1253677002134962176,2020-04-24 13:27:44,0,0,False,b'Twitter for iPhone',b'@MarquardtGlobal \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1253571080851079171,2020-04-24 06:26:50,0,167,False,b'Twitter for iPhone',b'RT @adidas: Check out the face shields we made in partnership with @Carbon and sent out below. \n\nWe\xe2\x80\x99re honored to help our healthcare heroe\xe2\x80\xa6'
1253571040820596737,2020-04-24 06:26:41,0,6,False,b'Twitter for iPhone',"b'RT @Carbon: \xe2\x80\x9cPeople are a company\xe2\x80\x99s most important asset, and it\xe2\x80\x99s critical to make sure that leadership pays the right kind of attention t\xe2\x80\xa6'"
1253571027394629632,2020-04-24 06:26:37,0,5,False,b'Twitter for iPhone',b'RT @Carbon: Carbon CEO @EllenKullman is joining @FastCompany editor-in-chief @stephaniemehta in a live webinar tomorrow at 12PM ET to discu\xe2\x80\xa6'
1252693265670737920,2020-04-21 20:18:43,0,4,False,b'Twitter for iPhone',b'RT @Carbon: #COVID19 is changing the way businesses are thinking about supply chains. Hear from @Carbon CEO @EllenKullman who wrote about h\xe2\x80\xa6'
1252610918518648832,2020-04-21 14:51:30,0,5,False,b'Twitter for iPhone',b'RT @Carbon: Thank you @nyphospital @WeillCornell! We\xe2\x80\x99re thankful to be able to #ProtectHealthcareWorkers on the frontlines. Huge thanks to\xe2\x80\xa6'
1252407013759258634,2020-04-21 01:21:15,0,36,False,b'Twitter for iPhone',b'RT @Carbon: Congrats to our partner @RiddellSports \xe2\x80\x93 the #CraftedbyCarbon SpeedFlex Precision Diamond helmet ranked as the top performing h\xe2\x80\xa6'
1250531012032921600,2020-04-15 21:06:41,0,1,False,b'Twitter for iPhone',"b'RT @rsafian: STOP WHAT YOU\xe2\x80\x99RE DOING! You must listen to @EllenKullman\xe2\x80\x99s 4 principles for a crisis. Now. The fmr DuPont CEO, now @Carbon3D,\xe2\x80\xa6'"
1250484354016370688,2020-04-15 18:01:17,7,0,False,b'Twitter for iPhone',b'@jchatterleyCNN @Carbon Thank you for having me @jchatterleyCNN \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1250484143240044544,2020-04-15 18:00:27,0,37,False,b'Twitter for iPhone',"b'RT @jchatterleyCNN: \xe2\x80\x9cThe power of 3D printing is its ability to pivot very quickly,\xe2\x80\x9d says @EllenKullman\xc2\xa0CEO @Carbon\xc2\xa0discussing their shift\xe2\x80\xa6'"
1250437894721785861,2020-04-15 14:56:40,37,12,False,b'Twitter for iPhone',"b'Thank you @reidhoffman for inviting me to share my story on  @mastersofscale about leading @DuPont_News as CEO during the financial crisis and how the lessons I learned are helping me lead @Carbon as we all battle #COVID19. Together, we will prevail! https://t.co/RhTl1iI2ah'"
1250422881961426945,2020-04-15 13:57:01,0,3,False,b'Twitter for iPhone',"b'RT @rsafian: STOP WHAT YOU\xe2\x80\x99RE DOING! You must listen to @EllenKullman\xe2\x80\x99s 4 principles for a crisis. Now. The fmr DuPont CEO, now @Carbon, wi\xe2\x80\xa6'"
1250417983425376256,2020-04-15 13:37:33,3,0,False,b'Twitter for iPhone',b'@mastersofscale @Carbon @ApplePodcasts @reidhoffman @rsafian Thanks @reidhoffman and @mastersofscale for having me! I am inspired by how we are coming together as a community to navigate this crisis \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb.'
1250414992211374085,2020-04-15 13:25:40,0,13,False,b'Twitter for iPhone',"b'RT @mastersofscale: ""In a crisis, focus on what you can control."" \n\nCEO @EllenKullman on how @Carbon pivoted fast to help make PPE \xe2\x80\x93 and he\xe2\x80\xa6'"
1247948700829151232,2020-04-08 18:05:30,15,3,False,b'Twitter for iPhone',"b'As a mission-based company, @Carbon works to enable the design and delivery of products the world truly needs.\xc2\xa0And our mission couldn\xe2\x80\x99t be more salient and germane than now. Learn more below. https://t.co/qREwBgic8d'"
1247918655800635393,2020-04-08 16:06:07,46,13,False,b'Twitter for iPhone',"b'Excited to announce @ResolutionMed has launched the Resolution Medical Lattice Swab, Crafted with Carbon\xe2\x84\xa2 Technology. Used for #COVID19 testing to help curb the pandemic\xe2\x80\x99s spread, and scaling to 1M swabs produced a week. More at https://t.co/gZKFDto1cw https://t.co/mWmBqkYWSu'"
1247209758982959105,2020-04-06 17:09:13,0,12,False,b'Twitter for iPhone',"b'RT @Carbon: Together with our customers &amp; partners, we\xe2\x80\x99re doing everything we can to #ProtectHealthCareWorkers and increase testing capacit\xe2\x80\xa6'"
1244766936124116992,2020-03-30 23:22:18,0,3,False,b'Twitter for iPhone',"b'RT @Carbon: Hear from CEO @EllenKullman on how Carbon is ""re-tooling"" to help meet the needs of medical workers treating #COVID19. #Silicon\xe2\x80\xa6'"
1242830134542921728,2020-03-25 15:06:09,0,50,False,b'Twitter for iPhone',b'RT @Forbes: Inside a Silicon Valley unicorn\xe2\x80\x99s urgent dash to 3D-print face shields and test swabs to battle COVID-19 https://t.co/ZDAl8NuDG\xe2\x80\xa6'
1242630147284463616,2020-03-25 01:51:28,12,1,False,b'Twitter for iPhone',b'.@Carbon has shared design files on our website so that partners around the world can produce these face shields and help meet the needs of hospitals facing critical #PPE shortages https://t.co/6RI55jA0iQ'
1242270555178332160,2020-03-24 02:02:35,72,18,False,b'Twitter for iPhone',b'Inspired by the progress the @Carbon team and network of production partners are making to address the shortage of Personal Protective Equipment for healthcare professionals and first responders on the #COVID19 frontlines. Physicians are already testing #3DPrinted #faceshields \xf0\x9f\x98\x8a https://t.co/K1Jn91QqB2'
1242263807658848258,2020-03-24 01:35:46,0,29,False,b'Twitter for iPhone',b'RT @stshank: 3D printers from @Carbon can make medical face shields and maybe swabs to test for #COVID19. The startup will send shield desi\xe2\x80\xa6'
1242263783868784640,2020-03-24 01:35:40,0,30,False,b'Twitter for iPhone',"b'RT @Joseph_DeSimone: The team @Carbon inspires me. On a Sunday in the middle of the #Coronavirus pandemic, they are hustling (while practic\xe2\x80\xa6'"
1241825158483992576,2020-03-22 20:32:44,0,8,False,b'Twitter Web App',"b'RT @Carbon: Tomorrow, March 23rd, join @Carbon Co-Founder &amp; Exec Chairman Dr. @Joseph_DeSimone + Chief Customer Officer @PhDeSimone for a d\xe2\x80\xa6'"
