id,created_at,favorites,retweets,retweeted,source,text
1280044988034879489,2020-07-06 07:44:41,97,15,False,b'Twitter for iPhone',"b'Humainement et \xc3\xa9conomiquement, le choc du #Covid19 est \xc3\xa9norme.\nDans un 1er temps, nous avons d\xc3\xbb \xc3\xa9teindre l\xe2\x80\x99incendie. Aujourd\xe2\x80\x99hui nous devons faire de ce moment une opportunit\xc3\xa9 pour changer nos comportements et construire une soci\xc3\xa9t\xc3\xa9 diff\xc3\xa9rente.\nhttps://t.co/ry4Vy176MT'"
1278677863982653441,2020-07-02 13:12:14,227,48,False,b'Twitter for iPhone',"b""Il faut nous emparer de l\xe2\x80\x99#UrgenceClimatique ! \nAvec un collectif d'entrepreneurs et d'entreprises, nous avons tenu \xc3\xa0 soutenir la d\xc3\xa9marche et les ambitions de la @Conv_Citoyenne pour le #climat.\n#changementclimatique \nhttps://t.co/RT49V1UmaE"""
1270764463013138432,2020-06-10 17:07:12,0,6,False,b'Twitter for iPhone',"b""RT @simplonco: #GardonsLeLien : on n'a pas de mots assez forts pour remercier tous les partenaires de cette belle op\xc3\xa9ration, alors on vous\xe2\x80\xa6"""
1250479771282296832,2020-04-15 17:43:04,0,17,False,b'Twitter for iPhone',"b""RT @fbardeau: Soutenir #GardonsLeLien, c'est permettre \xc3\xa0 des patients ou r\xc3\xa9sidents COVID19+ de communiquer avec leurs proches alors que les\xe2\x80\xa6"""
1247880161267073025,2020-04-08 13:33:09,0,21,False,b'Twitter for iPhone',"b'RT @purassan: #COVID19 Nous avons besoin de la contribution de toutes les entreprises, qu\xe2\x80\x99il s\xe2\x80\x99agisse d\xe2\x80\x99offrir du mat\xc3\xa9riel, de faire des do\xe2\x80\xa6'"
1247552137787314176,2020-04-07 15:49:42,301,79,False,b'Twitter for iPhone',"b'Pour rompre l\xe2\x80\x99isolement de celles et ceux touch\xc3\xa9s par le #COVID\xe3\x83\xbc19, le Collectif d\xe2\x80\x99Entreprises pour une \xc3\x89conomie plus Inclusive s\xe2\x80\x99engage avec l\xe2\x80\x99initiative #GardonsLeLien.\nFace \xc3\xa0 la crise sanitaire, le collectif mettra tout en \xc5\x93uvre pour apporter son aide\nhttps://t.co/10hD1xSLUe'"
1232677997460762625,2020-02-26 14:45:11,774,114,False,b'Twitter Web App',b'Merci \xc3\xa0 toutes et tous pour ces 18 ann\xc3\xa9es partag\xc3\xa9es avec vous. \nThank you all for these 18 years shared with you. https://t.co/zqtWesjhDN'
1231947889921941504,2020-02-24 14:24:00,110,8,False,b'Twitter Web App',b'I leave @ENGIEgroup  with absolute serenity and immense emotion. I am proud of the commitment and the courage of the 170.000 employees of the Group. I want to thank them personally for each and every moment I spent with them. https://t.co/YvcNq1Nyiw https://t.co/mvxMiw8Sj5'
1231947441911541760,2020-02-24 14:22:13,611,112,False,b'Twitter Web App',b'Je quitte @ENGIEgroup  avec une profonde s\xc3\xa9r\xc3\xa9nit\xc3\xa9 et une immense \xc3\xa9motion. Je salue l\xe2\x80\x99engagement et le courage des 170 000 collaboratrices et collaborateurs du Groupe. Je tiens \xc3\xa0 les remercier \xc3\xa0 titre personnel pour tous les instants que j\xe2\x80\x99ai pass\xc3\xa9s avec eux. https://t.co/waP4OdSwEO https://t.co/CO42GzqzaW'
1223911797129981953,2020-02-02 10:11:26,370,93,False,b'Twitter for iPhone',"b'Interview\xc3\xa9e par le @leJDD, j\xe2\x80\x99ai r\xc3\xa9affirm\xc3\xa9 ma motivation pour poursuivre ma mission en tant que directrice g\xc3\xa9n\xc3\xa9rale d\xe2\x80\x99@ENGIEgroup.\nCollaborateurs &amp; clients nous encouragent \xc3\xa0 acc\xc3\xa9l\xc3\xa9rer la transformation et je suis pr\xc3\xaate \xc3\xa0 la mener. \n\xf0\x9f\x93\xb0Interview compl\xc3\xa8te\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\nhttps://t.co/gacC74A0fX'"
1222790857591533568,2020-01-30 07:57:13,118,21,False,b'Twitter for iPhone',"b""In 2\xe2\x83\xa30\xe2\x83\xa31\xe2\x83\xa39\xe2\x83\xa3 we announced @ENGIEgroup's ambition to lead the #ZeroCarbonTransition.\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc Let's look back at what we achieved last year with our 170,000 employees https://t.co/CGTeodtqtw"""
1220732900234203137,2020-01-24 15:39:38,52,21,False,b'Twitter for iPhone',"b'\xf0\x9f\x93\x96 #FridayReads\nOn the occasion of the @wef in #Davos2020, @PaulPolman &amp; I are co-signing an opinion piece inviting business leaders to take climate leadership and transform their companies to meet it.\n#ZeroCarbonTransition #CEO\nhttps://t.co/Te1cPOzjjl'"
1220731963654447104,2020-01-24 15:35:54,52,13,False,b'Twitter for iPhone',"b'\xf0\x9f\x93\x96#VendrediLecture\nA l\xe2\x80\x99occasion du @wef_fr de #Davos2020, @PaulPolman &amp; moi cosignons une tribune invitant les chefs d\xe2\x80\x99entreprises \xc3\xa0 assumer le leadership climatique et \xc3\xa0 transformer leurs entreprises pour y r\xc3\xa9pondre.\n#TransitionZeroCarbone #CEO \nhttps://t.co/wYcxaLZfXK'"
