id,created_at,favorites,retweets,retweeted,source,text
1303648140784996353,2020-09-09 10:55:12,2,0,False,b'Twitter Web App',"b'@nhannahjones, brilliant journalist, is justifiably outraged, as we all should be. Twitter has broken something in people: their human decency. https://t.co/fR9Apd8NJI'"
1293355818599972869,2020-08-12 01:17:11,0,127,False,b'Twitter Web App',"b'RT @elizaorlins: Congratulations to @JoeBiden &amp; @KamalaHarris, who will be our next president and VP!'"
1269287000802308103,2020-06-06 15:16:17,0,13,False,b'Twitter Web App',"b'RT @ShawnMcCreesh: 8 months ago Obama mocked millennials for their ""purity"" and ""hashtags."" This week, taking measure of the protests, he h\xe2\x80\xa6'"
1269286861492666368,2020-06-06 15:15:44,6,0,False,b'Twitter Web App',"b'great question, Tanzina https://t.co/w9IhK9WjNy'"
1269286222125555715,2020-06-06 15:13:12,0,7036,False,b'Twitter Web App',"b""RT @Fahrenthold: We're trying to answer a simple question: how much has the U.S. government  paid to @realdonaldtrump's private company sin\xe2\x80\xa6"""
1269285191685636096,2020-06-06 15:09:06,0,394,False,b'Twitter Web App',"b'RT @elizaorlins: Finally, Manhattan DA Cy Vance says he\xe2\x80\x99ll decline to prosecute the peaceful protesters who are arrested. As usual, he only\xe2\x80\xa6'"
1163497077839736832,2019-08-19 17:04:54,0,24,False,b'Twitter Web App',b'RT @Sulliview: https://t.co/EYtC8qWXmB'
1163496828274454530,2019-08-19 17:03:55,0,1244,False,b'Twitter Web App',"b'RT @maggieNYT: Via @playbookplus: TRUMP ""has railed today on ANTHONY SCARAMUCCI and JAY POWELL. Trump said Scaramucci is a ""a highly unstab\xe2\x80\xa6'"
1153396728764272640,2019-07-22 20:09:43,25,5,False,b'Twitter Web Client',"b""The fabulous @JaneMayerNYer digs and, as usual, gets to the truth in her fabulous, nuanced, meticulously reported story on Franken's forced resignation. https://t.co/gtPl8AzwT2"""
1093711364353413120,2019-02-08 03:21:24,117,55,False,b'Twitter Web Client',b'https://t.co/0s8oHeBrPl'
1093352108018012160,2019-02-07 03:33:50,422,121,False,b'Twitter for iPhone',b'I take seriously the issues raised  and will review the passages in question'
1093351878920994816,2019-02-07 03:32:56,62,17,False,b'Twitter for iPhone',b'I endeavored to accurately and properly give attribution to the hundreds of sources that were part of my research'
1093351612649750529,2019-02-07 03:31:52,128,28,False,b'Twitter for iPhone',b'The attacks on my book from some @vicenews reflect their unhappiness with what I consider a balanced portrayal.'
