id,created_at,favorites,retweets,retweeted,source,text
1335031713186029568,2020-12-05 01:22:18,807,53,False,b'Twitter for iPhone',"b'Dreamers have hope today, but they deserve a lot more. They need a certainty that they can continue to call America their home. https://t.co/09T8YCIdC5'"
1331322481714417666,2020-11-24 19:43:09,200,38,False,b'Twitter for iPhone',"b'A remarkable, emotional, and personal story of the promise of America - what it was, is, and can still be. https://t.co/EDQQrg8jHz'"
1330980959647240192,2020-11-23 21:06:03,503,62,False,b'Twitter for iPhone',"b'We will have a DHS that builds bridges, not walls. Ali Mayorkas\xe2\x80\x99s historic nomination - 1st Latino and 1st immigrant to head the department - is the leadership America needs. https://t.co/jOX6wbMDoG'"
1328823608370597888,2020-11-17 22:13:31,159,17,False,b'Twitter for iPhone',"b'Leadership, hope and innovation. Honored to welcome these Emerson Collective Fellows. https://t.co/5OSbdg5MsR'"
1328422750738735104,2020-11-16 19:40:39,375,67,False,b'Twitter for iPhone',"b'\xe2\x80\x9dWhat I\xe2\x80\x99ve always believed is that humanity has the capacity to be kinder, more just, more fair, more rational, more reasonable, more tolerant.\xe2\x80\x9d  President Obama speaks with nuance, hope, and\xc2\xa0caution. https://t.co/ECKR0yJDL4'"
1325124457262850052,2020-11-07 17:14:24,1730,204,False,b'Twitter for iPhone',"b'We celebrate our democracy, our common humanity, and a glass ceiling shattered once and for all. https://t.co/IhvGLBcALd'"
1324526439673196544,2020-11-06 01:38:06,1494,192,False,b'Twitter for iPhone',"b'\xe2\x80\x9cI believe that unarmed truth and unconditional love will have the final word in reality. This is why right, temporarily defeated, is stronger than evil triumphant.\xe2\x80\x9d\n\nMartin Luther King, Jr.'"
1323746645884891136,2020-11-03 21:59:29,226,19,False,b'Twitter for iPhone',b'It\xe2\x80\x99s great to see @ChicagoCred getting out the vote. We can build a better America together. https://t.co/zphtlWwv8p'
1323389806483701760,2020-11-02 22:21:31,120,14,False,b'Twitter for iPhone',b'Welcome Dawn to the Anonymous family! We are fortunate to have your vision and leadership. https://t.co/h3HnQzm8ld'
1323081716789989378,2020-11-02 01:57:17,502,54,False,b'Twitter for iPhone',b'Is this really in dispute? All votes should be counted. https://t.co/lECbxdnjMc'
1321543783691866114,2020-10-28 20:06:05,396,73,False,b'Twitter for iPhone',b'Protection of our national forests is on the ballot. This is a travesty. https://t.co/leGo5TfDvY'
1321211413344538632,2020-10-27 22:05:22,640,83,False,b'Twitter for iPhone',b'The environment is on the ballot.'
1320787258883088384,2020-10-26 17:59:56,124,32,False,b'Twitter for iPhone',b'Truly important work https://t.co/JPFZ0GwkRG'
1319070305265111041,2020-10-22 00:17:22,957,94,False,b'Twitter for iPhone',b'Hope is back on the ballot. https://t.co/TOlQ52RMo6'
1318789817174429696,2020-10-21 05:42:49,0,653,False,b'Twitter for iPhone',b'RT @karaswisher: This is the one of the most truly appalling acts of the Trump administration \xe2\x80\x94 this cannot be forgotten.'
1318649836372168707,2020-10-20 20:26:34,985,284,False,b'Twitter for iPhone',"b'Thank you @iamwill, @bep and @IAMJHUD for making this haunting, yet beautiful song. Let this be the anthem that leads us to polls. https://t.co/cPmKOWMZGL'"
1317276227409911813,2020-10-17 01:28:21,668,149,False,b'Twitter for iPhone',b'The young women of America are watching... and listening. https://t.co/WGgtluhlHS'
1315873982957023232,2020-10-13 04:36:19,0,14020,False,b'Twitter for iPhone',"b'RT @natemook: Night has fallen, but voting lines continue in Marietta, Georgia. The @WCKitchen team just finished serving dinner. They met\xe2\x80\xa6'"
1315765276911124480,2020-10-12 21:24:22,783,121,False,b'Twitter for iPhone',b'He\xe2\x80\x99s right. This is about trusting women. https://t.co/HyEFBEqrcf'
1314628517141774336,2020-10-09 18:07:17,0,3713,False,b'Twitter for iPhone',"b'RT @BarackObama: A couple years ago, I met some promising young men working to prevent gun violence with @ChicagoCred. Talking with them re\xe2\x80\xa6'"
1314029587270049792,2020-10-08 02:27:21,2050,175,False,b'Twitter for iPhone',b'The biggest takeaway from this entire debate is: VOTE! https://t.co/ts751TOGvi'
1313972700881199104,2020-10-07 22:41:18,586,63,False,b'Twitter for iPhone',b'Congratulations to two brilliant pioneers! https://t.co/NDJ9Qy1fFw'
1313548727269769217,2020-10-06 18:36:35,0,1306,False,b'Twitter for iPhone',b'RT @CoryBooker: Calling all lawyers! Our voting rights are being challenged all across this country. We need your help in this critical ele\xe2\x80\xa6'
1311770020137984000,2020-10-01 20:48:38,3223,242,False,b'Twitter for iPhone',"b'From eliminating a deadly parasite, to brokering peace deals, to building homes and hope, the world needs more leaders like Jimmy Carter. Happy birthday. You continue to inspire us with your empathy, selflessness and service to others.'"
1311729053456498688,2020-10-01 18:05:51,0,8370,False,b'Twitter for iPhone',b'RT @marceelias: This is an outrageous act of voter suppression by the Republicans who know they are losing at the ballot box.\n\nWe will expl\xe2\x80\xa6'
1309547782995206144,2020-09-25 17:38:16,1433,101,False,b'Twitter for iPhone',b'We find strength in our commitment to each other. https://t.co/obdEXpNm71'
1308508113872580608,2020-09-22 20:46:59,2953,765,False,b'Twitter for iPhone',"b'A memorial on the National Mall wrenching in its elegant simplicity. Each flag represents a life lost, a sea of pain and mourning rippling across America. https://t.co/QYZfvdWYAE'"
1308490198603517959,2020-09-22 19:35:48,424,130,False,b'Twitter for iPhone',"b'Our vote is our voice. If you want to be heard, make sure you and those you know are registered. #NationalVoterRegistrationDay https://t.co/DyRQhpsesK'"
1308424363197300743,2020-09-22 15:14:12,601,65,False,b'Twitter for iPhone',b'I love this. https://t.co/ehXTjI5H5w'
1308365926539112449,2020-09-22 11:21:59,0,1202,False,b'Twitter for iPhone',b'RT @_HannahRitchie: Sector-by-sector: where do global greenhouse emissions come from?\n\nTo reduce emissions we need to know where to direct\xe2\x80\xa6'
1307464541018624000,2020-09-19 23:40:12,0,12271,False,b'Twitter for iPhone',"b'RT @nprpolitics: Just days before her death, as her strength waned, Ginsburg dictated this statement to her granddaughter Clara Spera: ""My\xe2\x80\xa6'"
1307314540938326016,2020-09-19 13:44:09,0,1812,False,b'Twitter for iPhone',b'RT @kenolin1: Harvard Law. RBG. A foot shorter. A mile above. https://t.co/wRzVMs1Oen'
1307106141936275458,2020-09-18 23:56:03,3807,565,False,b'Twitter for iPhone',"b'The passing of Justice Ruth Bader Ginsburg is a tragedy for our nation. She was a pioneer, a fighter, and an inspiration. Her name and legacy will be celebrated for as long as America endures. May she Rest In Peace and may our thoughts be with her family and many friends.'"
1303389050380918785,2020-09-08 17:45:40,959,184,False,b'Twitter for iPhone',b'Nothing lifts our spirits like beauty and kindness. https://t.co/9wa97SXUVk'
1301598390174662656,2020-09-03 19:10:13,1346,265,False,b'Twitter for iPhone',b'A super-majority of Americans support common sense gun laws. https://t.co/WhV7mabBQJ'
1301260155380625409,2020-09-02 20:46:11,803,94,False,b'Twitter for iPhone',b'Legend. https://t.co/FG7k92aCir'
1301207287323750400,2020-09-02 17:16:07,1113,187,False,b'Twitter for iPhone',b'The power of community. https://t.co/6Vh7G8Tu5j'
1300925599502839808,2020-09-01 22:36:47,0,11463,False,b'Twitter for iPhone',"b'RT @BarackObama: If you can volunteer as a poll worker for early voting and Election Day, I hope you\xe2\x80\x99ll do it. You can help make sure this\xe2\x80\xa6'"
1299575474167791616,2020-08-29 05:11:52,880,163,False,b'Twitter for iPhone',b'Let\xe2\x80\x99s decide to live in harmony with our planet. https://t.co/kdoJ0ox8AP'
1299439896487051264,2020-08-28 20:13:08,1059,157,False,b'Twitter for iPhone',b'Voting in NBA arenas is a win for democracy. https://t.co/p0tM7Y0p5G'
1299148712292171776,2020-08-28 00:56:04,543,98,False,b'Twitter for iPhone',"b'A movement, not a moment. https://t.co/etSdWZkoY3'"
1299147941811113990,2020-08-28 00:53:00,869,96,False,b'Twitter for iPhone',b'So this happened. https://t.co/StlwylDqVD'
1298491140702789634,2020-08-26 05:23:07,0,24784,False,b'Twitter for iPhone',b'RT @RexChapman: My guy Doc Rivers - for the win... https://t.co/cNyefukcVD'
1298396542953349120,2020-08-25 23:07:13,345,45,False,b'Twitter for iPhone',"b'A classic, then and now. https://t.co/xlrRkREVpb'"
1298332371305902080,2020-08-25 18:52:13,214,73,False,b'Twitter for iPhone',b'Voting begins long before November 3. Here\xe2\x80\x99s a useful resource to know how to get your vote in early. https://t.co/Z7R06yJnYH'
1296283446600273920,2020-08-20 03:10:32,1614,197,False,b'Twitter for iPhone',"b'Tonight was historic. Kamala, your\xc2\xa0powerful voice echoes the best of America. It is a vision of hope, realistic in the challenges we face, but recognizing the inherent power of this nation in all its brilliant diversity.'"
1295897497148125184,2020-08-19 01:36:54,284,73,False,b'Twitter for iPhone',b'For heaven\xe2\x80\x99s sake. https://t.co/X6SobHKOgC'
1295558712900214790,2020-08-18 03:10:42,0,18774,False,b'Twitter for iPhone',b'RT @DanRather: Michelle Obama gives one of the most stirring convention speeches I have heard. Tough. Fair. But full of hope. The format ma\xe2\x80\xa6'
1293989714693947395,2020-08-13 19:16:03,1105,318,False,b'Twitter for iPhone',"b'The US Postal Service doesn\xe2\x80\x99t just deliver the mail, it delivers on our democracy. The attacks on it are a direct threat to the will of the people. https://t.co/5XOfWu1D76'"
1293970694410309636,2020-08-13 18:00:29,951,444,False,b'Twitter for iPhone',"b'Millions of Americans will choose to vote in person in November. If we\xe2\x80\x99re prepared, we can make that a whole lot safer. This is a good place to start. https://t.co/lh9q2SFkaY'"
1293921682588082183,2020-08-13 14:45:43,0,9979,False,b'Twitter for iPhone',b'RT @PreetBharara: God bless America'
1293283957971259395,2020-08-11 20:31:38,2533,174,False,b'Twitter for iPhone',b'Joe Biden you made a great choice!'
1292730359646486529,2020-08-10 07:51:50,155,33,False,b'Twitter for iPhone',b'The census sets the terms for how money and political power are allocated for a decade. https://t.co/DkZV4bhp0L'
1288880445506162690,2020-07-30 16:53:39,335,68,False,b'Twitter for iPhone',"b""John Lewis' final words to us are an exhortation to continue the necessary work to heal our country, remembering always that \xe2\x80\x9cthe way of peace, the way of love and nonviolence is the more excellent way.\xe2\x80\x9dhttps://t.co/veFtGgbCTf"""
1286514250031099907,2020-07-24 04:11:14,0,13090,False,b'Twitter for iPhone',b'RT @Sifill_LDF: STOP AND LISTEN NOW: Just a minute and a half of today\xe2\x80\x99s powerful presentation: \xe2\x80\x9cAnd I am here b/c I have to show my parent\xe2\x80\xa6'
1286033676355031040,2020-07-22 20:21:36,70,13,False,b'Twitter for iPhone',b'Congratulations to\xc2\xa0@jmpalmieri on her new book SHE PROCLAIMS. Her voice and advice are invaluable. A must read. https://t.co/N2G6bzn6Gd'
