id,created_at,favorites,retweets,retweeted,source,text
1334842628236513285,2020-12-04 12:50:57,127,25,False,b'Twitter Web App',b'Great conversation I had with @Freakonomics on how our all-electric future is underway right now. Take a listen below. https://t.co/vileM4ypff'
1330901438298525698,2020-11-23 15:50:04,883,178,False,b'Twitter Web App',"b'We have reached an important inflection point at @GM. We are transitioning to an all-electric portfolio, and doing so from a position of unprecedented strength. This is how we will win. https://t.co/9HeJlntI9v'"
1328814867705450498,2020-11-17 21:38:47,100,7,False,b'Twitter Web App',b'@KamalaHarris @JoeBiden Thank you for hosting this important conversation on the pandemic and its impact on our workforce and the economy.'
1325918427861676033,2020-11-09 21:49:22,108,13,False,b'Twitter Web App',"b'Congratulations, @chaseelliott! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f #TeamChevy https://t.co/QsYUgHgqb2'"
1325910961715339264,2020-11-09 21:19:42,94,7,False,b'Twitter Web App',b'Congratulations to @JimmieJohnson as he retires with the honorable legacy of 7-time NASCAR Cup series champion. Thank you for making our teams at @GM and @Chevrolet so proud. https://t.co/jaShzaO2qS'
1324384351069626371,2020-11-05 16:13:29,261,29,False,b'Twitter Web App',"b""Our strong results in Q3 were driven by the hard work and commitment of our employees. The innovation and speed of our team, suppliers and dealers is inspiring and I'm proud of everyone for coming together with health and safety as top priority. https://t.co/aBE2HvAMHn"""
1322272268781846529,2020-10-30 20:20:50,350,39,False,b'Twitter Web App',"b'One of the best CFOs in the world is joining @GM.  Welcome to the team, Paul Jacobson.'"
1320001660169736197,2020-10-24 13:58:14,11,1,False,b'Twitter Web App',"b'@fatma_samoura @GM Thank you, @Fatma_Samoura. It\xe2\x80\x99s an honor to be inducted alongside both you and @GinniRometty. Congratulations on the well-deserved recognition for your leadership.'"
1320001127262441472,2020-10-24 13:56:07,100,7,False,b'Twitter Web App',"b'Thank you \xe2\x80\x93 I\xe2\x80\x99m honored to be included! Very grateful for the work @IWFglobal does for women leadership, and congratulations to @Fatma_Samoura and @GinniRometty on their achievements. https://t.co/35zgVEpSpt'"
1318723212231036931,2020-10-21 01:18:09,431,78,False,b'Twitter Web App',"b'What an exciting night! The design, engineering and production of the #GMCHummerEV has created a new benchmark in @GM\xe2\x80\x99s ability to quickly bring #EV products to market for our customers \xe2\x80\x93 it truly is like nothing else on the road today. Congratulations to the entire team! https://t.co/2AxsqWaSxp'"
1318238703865810945,2020-10-19 17:12:53,278,35,False,b'Twitter Web App',b'Humbled to be included among this list of leading women who are working to make the world a better place. A reminder for young girls: you can be and do anything you set your mind to! https://t.co/aH8BioFkhb'
1311347671312072705,2020-09-30 16:50:23,80,12,False,b'Twitter Web App',"b'Thanks to @ellmcgirt and #FortuneMPW Summit for having me; it was an inspiring event. We are committed to the journey to ensure true accountability around DE&amp;I efforts, and will do our part to make our company and our world a better place. https://t.co/XXp0R3WWmr'"
