id,created_at,favorites,retweets,retweeted,source,text
1288165805088153600,2020-07-28 17:33:55,53,10,False,b'Twitter Web App',"b""I'm thrilled to share that @Quibi shows and talent received 10 #Emmy2020 nominations. Congratulations to all the incredible nominees! https://t.co/j9nFvJJHN9"""
1259713757845917697,2020-05-11 05:15:38,0,10,False,b'Twitter Web App',"b""RT @TeachForAmerica: Hey, moms: this tweet is your cue to \xf0\x9f\x9b\x91 and take a few deep breaths. Maybe you've been homeschooling for months, maybe\xe2\x80\xa6"""
1259537731148898304,2020-05-10 17:36:10,0,39,False,b'Twitter Web App',b'RT @LJFamFoundation: \xe2\x80\x9cThere is no @IPROMISESchool without Gloria James.\xe2\x80\x9d ~ @KingJames https://t.co/vLQsEN82uY'
1258133820215189504,2020-05-06 20:37:32,22,4,False,b'Twitter Web App',b'I support this kind of competition https://t.co/XlIkSmTNjV'
1257385237765554193,2020-05-04 19:02:56,44,8,False,b'Twitter Web App',b'Excited that Reno 911! is back only on @Quibi #Reno911Quibi #Reno911 #Quibi https://t.co/guj0ldKkDN'
1253089296191352832,2020-04-22 22:32:24,0,6,False,b'Twitter Web App',"b'RT @ReutersBiz: Quibi downloads reach 2.7 million, TV feature to start in May https://t.co/qUjnuDLDKN https://t.co/HUcsqtR4ed'"
1249736531637489665,2020-04-13 16:29:42,0,14,False,b'Twitter Web App',b'RT @CNBC: Meg Whitman says Quibi reached 1.7 million downloads in first week https://t.co/WJwluUBhBA'
1247333668428767232,2020-04-07 01:21:35,22,3,False,b'Twitter Web App',"b'""I Promise"" is one of my favorites! https://t.co/MqNxRFaIPw'"
1247309930253570049,2020-04-06 23:47:15,0,59,False,b'Twitter Web App',b'RT @MikeSievert: First came radio\xc2\xa0\xf0\x9f\x93\xbb\n..then cable\xc2\xa0\xf0\x9f\x93\xba\n....then rentals\xf0\x9f\x93\xbc\n...... then streaming\xc2\xa0\xf0\x9f\x96\xa5\n.......... NOW\xc2\xa0@Quibi\xc2\xa0\xf0\x9f\x93\xb1\n\nGet familiar with the\xe2\x80\xa6'
1247288661248315392,2020-04-06 22:22:45,0,12,False,b'Twitter Web App',"b'RT @AppStore: All rise\xe2\x80\xa6Chrissy\xe2\x80\x99s Court is now in session \xf0\x9f\x91\xa9\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f\n\nGet brand-new, bite-size shows from your favorite stars, like @chrissyteigen\xe2\x80\xa6'"
