id,created_at,favorites,retweets,retweeted,source,text
1335055444528738310,2020-12-05 02:56:36,6441,424,False,b'Twitter for iPhone',"b'PJs + apple cider + @MariahCarey\xe2\x80\x99s Christmas special on @AppleTV+ = the perfect girl\xe2\x80\x99s night IN with @thandotalks, @andronica_klaas, and of course, Sadie! Stay inside and safe, y\xe2\x80\x99all \xf0\x9f\x8e\x84\xf0\x9f\x8e\x84\xf0\x9f\x8e\x84 #MariahsMagicalChristmas https://t.co/fmLJ44UAnC'"
1331434804953288711,2020-11-25 03:09:29,217,14,False,b'Twitter for iPhone',b'@midwestjames90 Thanks for this long awaited theme song.\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe @ava sent  to me.'
1329245722814930944,2020-11-19 02:10:51,0,292,False,b'Twitter for iPhone',"b'RT @oprahmagazine: .@Oprah says her new interview with @BarackObama was a ""miracle of technology"" because they were sitting in the same roo\xe2\x80\xa6'"
1329245548495433728,2020-11-19 02:10:09,2402,313,False,b'Twitter for iPhone',b'Watch the #TheOprahConversation with @BarackObama for free on @appletv+ here: https://t.co/kjx7Q0yIlF'
1329245292152188929,2020-11-19 02:09:08,51457,8771,False,b'Twitter for iPhone',"b'Did y\xe2\x80\x99all know that me and former President @BarackObama weren\xe2\x80\x99t even in the same room for this interview? He was in D.C. and I was in California. But thanks to the power of technology (and @DrewBarrymore), now I may never leave my house \xf0\x9f\x98\x82 https://t.co/ysNBpo7IEv'"
1328760815814578176,2020-11-17 18:04:00,691,96,False,b'Twitter Web App',b'Click here to watch the #TheOprahConversation with \n@BarackObama for free this month on @AppleTV+: https://t.co/kjx7Q0yIlF'
1328759229927350276,2020-11-17 17:57:42,3507,382,False,b'Twitter for iPhone',"b'The @BarackObama Conversation is now available on @appletv+. In his masterful new memoir #APromisedLand, former President Obama lets us ALL the way in. In 701 pages, he takes us inside the Oval Office, the Situation Room, the Cabinet Room, and sometimes even the bedroom. https://t.co/CEbADwT1Hv'"
1328413530501111809,2020-11-16 19:04:01,1624,214,False,b'Twitter for iPhone',"b'Watch my entire #TheOprahConversation with @BarackObama for FREE this month, starting tomorrow 11/17 on @appletv+. https://t.co/Kh3pc08MO2'"
1328412817972719616,2020-11-16 19:01:11,7401,614,False,b'Twitter for iPhone',"b'Sixteen years and six interviews later, former President @BarackObama and I are sitting back down to talk about #APromisedLand, his highly anticipated memoir based on the first part of his historic presidency. And let me tell you something, this book is worth the wait! https://t.co/PqDQmUevmc'"
1327120747257606144,2020-11-13 05:26:57,502,30,False,b'Twitter for iPhone',b'Watch it now on @appletv+ #TheOprahConversation: https://t.co/PJjEDrH7VM'
1327120546665013249,2020-11-13 05:26:09,1009,78,False,b'Twitter for iPhone',"b'On this episode of #TheOprahConversation, Dolly joins me as we look back at her personal music that\xe2\x80\x99s beloved by generations and helps us look forward to her hopeful view of what life after the pandemic will look like. https://t.co/vGoqY10PHX'"
1327119379553726466,2020-11-13 05:21:31,5470,368,False,b'Twitter for iPhone',"b'To her millions of fans, @DollyParton is a national treasure. She\xe2\x80\x99s sang, acted, and even had ME singing on national television. She\xe2\x80\x99s written over three thousand songs that make you cry, challenge your cheating man, or inspire faith in you. #TheOprahConversation https://t.co/lhHtUnAGyS'"
1326176907109543938,2020-11-10 14:56:28,0,66,False,b'Twitter for iPhone',"b'RT @EmmanuelAcho: Oprah and I want to talk to YOU! This Wednesday, get off the bench and get in the game. Come join our conversation. Get y\xe2\x80\xa6'"
1326172878895771653,2020-11-10 14:40:28,0,137,False,b'Twitter for iPhone',"b""RT @oprahmagazine: The Oprah's Favorite Things 2020 List Is Here! 72 gifts @Oprah hopes will bring you and your loved ones surprise and del\xe2\x80\xa6"""
1326172826307530754,2020-11-10 14:40:15,618,41,False,b'Twitter for iPhone',"b""It is my hope that this year's list will inspire you to express your gratitude for the people that matter most. Head to https://t.co/7BMv5pBUjc for the full list! \xf0\x9f\x8e\x84\xf0\x9f\x8e\x81\xf0\x9f\xa4\xb6\xf0\x9f\x8f\xbd"""
