id,created_at,favorites,retweets,retweeted,source,text
1335275371403628546,2020-12-05 17:30:31,11,2,False,b'Twitter Web App',b'Hoy se celebra el D\xc3\xada Internacional de Voluntariado y deseo felicitar a todos y a cada una de las personas que llevan apoyos y sonrisas alrededor del mundo. \nHemos demostrado que podemos seguir ayudando a otros a pesar de la distancia. \n#IVD2020 #TogetherWeCan https://t.co/f2tNnUyYOC'
1334696549448814593,2020-12-04 03:10:29,9,1,False,b'Twitter Web App',"b'Today I participated in the @concordiasummit and spoke about how we need \xe2\x80\x9cbe a magnet\xe2\x80\x9d to attract women, so that they can become change agents. Thank you @CharityNWallace for the conversation. It was great to share what we\xe2\x80\x99re doing at @PepsiCo in our women agenda. #Concordia20 https://t.co/Ffy0fNgdGy'"
1333887165835730946,2020-12-01 21:34:17,26,4,False,b'Twitter Web App',"b'Ser estrat\xc3\xa9gico, anticiparte a los cambios y ser un alumn@ incansable: son todos ingredientes b\xc3\xa1sicos para aumentar tu valor en la organizaci\xc3\xb3n y as\xc3\xad acelerar tu desarrollo profesional. Te comparto m\xc3\xa1s sobre esta regla de #ElPoderdePoder en el siguiente video \xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/bmkIivkUwd'"
1332389410848067585,2020-11-27 18:22:44,19,1,False,b'Twitter Web App',"b'Esta semana, firmamos junto com outras companhias de bens de consumo o compromisso p\xc3\xbablico pela equidade racial. Sempre estive e seguirei estando a favor de um crescimento equitativo e inclusivo no Brasil e em toda a Am\xc3\xa9rica Latina. #PepsiCoProud #Inclus\xc3\xa3o #Diversidade https://t.co/ti1BC8woHp'"
1329818738389094402,2020-11-20 16:07:48,35,3,False,b'Twitter Web App',"b'I am pleased to have met with @the_IDB  President Mauricio Claver-Carone to discuss our long term partnership with the IDB. We look forward to strengthening our collaboration to contribute to development, growth and economic reactivation in Latin America! https://t.co/Ub2tCb3X5a'"
1328898631462686721,2020-11-18 03:11:38,35,6,False,b'Twitter Web App',"b'\xc2\xbfAlguna vez te has auto-promocionado? En la mayor\xc3\xada de los casos, la respuesta es un \xe2\x80\x9cno\xe2\x80\x9d rotundo. Reconoce el valor que tienen tus aportaciones y aprende a comunicar tus logros y aspiraciones de forma correcta. \xc2\xbfQuieres saber c\xc3\xb3mo? Conoce la regla #7 de #ElPoderdePoder https://t.co/hgy6v4G4lk'"
1326930121845039104,2020-11-12 16:49:28,23,1,False,b'Twitter Web App',"b'Today is World Quality Day, a global movement which raises the voice of quality worldwide. At PepsiCo Latin America our commitment to quality is embedded throughout our value chain. I am convinced that quality creates growth. #worldqualityday #PepsiCoProud https://t.co/M39lOcCqFO'"
1326691492057001985,2020-11-12 01:01:15,61,5,False,b'Twitter Web App',b'Hoy disfrut\xc3\xa9 much\xc3\xadsimo la salida al mercado con el equipo de ventas de PepsiCo Alimentos M\xc3\xa9xico. Nunca dejan de sorprenderme por su pasi\xc3\xb3n por los peque\xc3\xb1os tenderos. \xc2\xa1Con su dedicaci\xc3\xb3n generan m\xc3\xa1s y m\xc3\xa1s crecimiento! \n#PepsiCoproud https://t.co/vzrUiiF00s'
1324754220403347456,2020-11-06 16:43:13,23,3,False,b'Twitter Web App',"b'Agradecida con @Forbes_CA por invitarme a participar en el foro #MujeresPoderosas, las Protagonistas del Cambio. Te invito a que veas la transmisi\xc3\xb3n en el siguiente link: https://t.co/OH1xJ65KsW @mfespinosaEC  @CarmenMayela @yvettemarichal @gabramosp Barbara Silva Troncoso https://t.co/XYzx7r6Tu8'"
1320411506132066305,2020-10-25 17:06:49,29,3,False,b'Twitter Web App',"b'Essa semana visitei nosso Mix Center em Cumbica e me sinto muito orgulhosa de ver como estamos atendendo aos nossos clientes. No Brasil, hoje somos mais \xc3\xa1geis gra\xc3\xa7as ao uso de tecnologias eficientes. Obrigada \xc3\xa0 equipe de Cumbica pelo foco no servi\xc3\xa7o ao cliente! https://t.co/B7nltse0T9'"
