id,created_at,favorites,retweets,retweeted,source,text
311134257814843392,2013-03-11 15:19:22,1581,662,False,b'Instagram',b'With @KatieCouric katieshow talking about how to ask for a raise and negotiating #leaningin http://t.co/hRdulvYF6w'
295726630826016768,2013-01-28 02:54:57,2069,1607,False,b'Twitter Web Client',b'one of the central messages of @LeanInOrg is that we have to get beyond gender stereotypes --   http://t.co/5VdKAQ9r'
295271027716550656,2013-01-26 20:44:33,641,421,False,b'Twitter Web Client',b'First review of my book @LeanInOrg by @NickKristof -- http://t.co/vetD5ive. #leaningin'
295270517940822016,2013-01-26 20:42:31,0,876,False,b'Twitter Web Client',b'RT @NickKristof: Why are there so few women bosses? Is it discrimination? Or that women hold back? Both? My column: http://t.co/usSzR6Oe'
294218275343187968,2013-01-23 23:01:17,0,67,False,b'Twitter Web Client',b'RT @Farrell_Diana: Excellent #Davos dinner tonight w/ @sherylsandberg &amp; @NickKristof on importance of women in leadership roles. She ...'
294218263825637376,2013-01-23 23:01:15,0,394,False,b'Twitter Web Client',b'RT @zahidi: Women need to take a seat at the table and speak - and figure out later how they feel about it @LeanInOrg @sherylsandberg #w ...'
294218140370468864,2013-01-23 23:00:45,318,105,False,b'Twitter Web Client',b'Talking to @nickkristof about @leaninorg and @half. #halfthesky #leaningin http://t.co/55vLmni5'
293807965935386624,2013-01-22 19:50:52,122,27,False,b'Instagram',"b""My niece's weekend project http://t.co/rvFDbt80"""
293802404544126976,2013-01-22 19:28:46,0,35,False,b'Twitter for iPhone',"b""RT @NickKristof: I'm interviewing FB's Sheryl Sandberg tomorrow in #Davos. Any suggestions for questions that I should ask her?"""
293801878146392064,2013-01-22 19:26:40,105,31,False,b'Twitter Web Client',b'I am interviewing @NickKristof tomorrow; joint interview where we ask each other questions.  What should I ask him?'
197301224431812608,2012-05-01 12:27:32,262,248,False,b'Twitter Web Client',b'Today Facebook is announcing that you can add your Organ Donor status to your Timeline.  Join us in saving lives.\n\nhttp://t.co/VCr0Hpij'
111813454729457666,2011-09-08 14:49:39,174,57,False,b'Twitter Web Client',b'http://t.co/lAZB16v -- Oprah Winfrey Live at Facebook at 1:30 PM PT.  Wish me luck as I attempt to interview the best interviewer ever!'
101672468036591616,2011-08-11 15:13:00,98,56,False,b'Twitter Web Client',b'http://t.co/92TCk2P'
89798158376382464,2011-07-09 20:48:43,162,64,False,b'Twitter Web Client',b'@Oprah Oprah is even warmer and more authentic in person than on tv - and that is a high bar.  What an amazing woman.  A gift to the world.'
18026109819944960,2010-12-23 19:32:14,365,361,False,b'Twitter Web Client',b'This is a talk that means a lot to me.  Advice for women on how to stay in the workforce http://on.ted.com/8n4R'
2215067972,2009-06-18 00:37:46,131,43,False,b'Twitter Web Client',b'what is a Frosty and why is it so delicious?'
1372372691,2009-03-22 22:16:08,156,42,False,b'Twitter Web Client',b'enjoying a house where everyone else is sleeping'
