id,created_at,favorites,retweets,retweeted,source,text
1325271518729949186,2020-11-08 02:58:47,11,1,False,b'Twitter for iPhone',b'I\xe2\x80\x99m catching up on the @ICEHousePodcast and love this conversation with @karagoldin https://t.co/gvzTqi0e7z'
1325270704456085504,2020-11-08 02:55:32,0,2,False,b'Twitter for iPhone',"b'RT @thefriley: What a year, but every now and then the light shines through. Thank you @NYSE @stacey_cunning for supporting womxn and @LWLG\xe2\x80\xa6'"
1325270626135896065,2020-11-08 02:55:14,0,1,False,b'Twitter for iPhone',b'RT @LWLGlobal: Thank you @stacey_cunning  \xf0\x9f\x9a\x80 - the LWL logo looks even better with you cheering next to it!'
1325270215651962880,2020-11-08 02:53:36,0,7,False,b'Twitter for iPhone',b'RT @karagoldin: Thank you @NYSE for the amazing opportunity to chat on @ICE_Markets about my journey and my new book Undaunted: Overcoming\xe2\x80\xa6'
1325268804058963969,2020-11-08 02:47:59,0,2,False,b'Twitter for iPhone',"b""RT @Polioptics: Fascinating chat between @stacey_cunning &amp; @chamath recorded @NYSE Institutional Equity Forum, which we've posted as an @IC\xe2\x80\xa6"""
1325268720470646784,2020-11-08 02:47:39,0,2,False,b'Twitter for iPhone',"b'RT @Polioptics: ""If you take something very complicated, like \'how would you launch a rocket into space,\' you can break that problem down b\xe2\x80\xa6'"
1324532903037050882,2020-11-06 02:03:47,0,2,False,b'Twitter for iPhone',"b'RT @SquawkAlley: NYSE President @stacey_cunning joins us to discuss the recent market volatility, the IPO environment and a lot more.\n\n@CNB\xe2\x80\xa6'"
1324438417451716608,2020-11-05 19:48:20,7,4,False,b'Twitter for iPhone',"b'In a year of firsts, the first #LWLVirtualSummit is one I can get behind. https://t.co/5ub6rNMB0J'"
1324398169933885441,2020-11-05 17:08:24,54,1,False,b'Twitter Web App',b'Celebrating women entrepreneurs at the @NYSE today by ringing the bell for @LWLGlobal. https://t.co/p9rgfyEk3i'
1318673143431680001,2020-10-20 21:59:11,20,0,False,b'Twitter Web App',b'Congratulations to @JulieSweet for topping the list and all of the other incredible leaders selected as @FortuneMagazine\xe2\x80\x99s Most Powerful Women. They continue to distinguish themselves as they lead through this challenging year.https://t.co/5cKtgKnZ8J'
1311140061392625665,2020-09-30 03:05:25,23,1,False,b'Twitter for iPhone',b'Great to join @karaswisher and @profgalloway on @PivotSchooled to talk about the trends and disruptions in the public markets and how 2020 is moving the pendulum https://t.co/HDQvfguHq3'
1307297567714181124,2020-09-19 12:36:43,82,11,False,b'Twitter for iPhone',"b'A great American, Ruth Bader Ginsburg challenged us to treat people equally and with respect - we are forever in her debt.\xc2\xa0\n\n\xe2\x80\x9cSo often in life, things that you regard as an impediment turn out to be great, good fortune.\xe2\x80\x9d - RBG #RIPRBG https://t.co/n4nJCGMfJB'"
1307040694679281666,2020-09-18 19:35:59,17,5,False,b'Twitter Web App',b'Congratulations to the entire @Unity3d team that made history when they rang the @NYSE Opening Bell together this morning. Welcome to the New York Stock Exchange! #UPO https://t.co/Jn44c68D7m'
1306346073741553668,2020-09-16 21:35:49,0,91,False,b'Twitter for iPhone',"b""RT @NYSE: We're excited for @SnowflakeDB to ring this morning's Opening Bell... https://t.co/qFRvQfow3B"""
1306296841739345921,2020-09-16 18:20:11,63,18,False,b'Twitter Web App',"b'Congratulations to Frank, Mike, and the entire @SnowflakeDB team on the largest software IPO ever! Welcome to the NYSE. #SnowDay https://t.co/M863YkrxnM'"
1304224670162575361,2020-09-11 01:06:07,25,4,False,b'Twitter for iPhone',b'I am definitely #AllinNYC https://t.co/lhN4xppOTn'
1304080654469038081,2020-09-10 15:33:51,54,13,False,b'Twitter Web App',"b'Excited to see Jane Fraser named the next CEO of @Citi. She brings tremendous talent, skills and experience to the job. https://t.co/au5dwHOTq9'"
1303838976659386368,2020-09-09 23:33:30,29,2,False,b'Twitter Web App',"b'Aside from being the right thing, increasing board diversity leads to better decision-making and sets a powerful example for the organization. As a Charter Pledge Partner of #TheBoardChallenge, @NYSE is committed to using our resources to help others rise to the challenge. https://t.co/NaDLpNgymY'"
1298768176101109763,2020-08-26 23:43:57,418,79,False,b'Twitter for iPhone',b'Big development in capital markets! The SEC has granted approval for @nyse to list companies interested in raising primary capital priced by the market via an NYSE Direct Listing. https://t.co/evS1KdXArL'
1298759275486027777,2020-08-26 23:08:35,7,0,False,b'Twitter Web App',b'And thanks to CNBC\xe2\x80\x99s @JBoorstin for leading the dynamic conversation.'
1298759274789732352,2020-08-26 23:08:35,9,0,False,b'Twitter Web App',"b'Thanks to @chrisrbritt, @alighodsi and @danieldines for joining @NYSE and @CNBC for our Digital Leaders event today to discuss this exciting future.'"
1298759274093596672,2020-08-26 23:08:35,9,1,False,b'Twitter Web App',"b'Disruptors like @databricks, @UiPath and @Chime are built on the mission of democratizing access to this groundbreaking tech so that business and individuals everywhere are a part of the transformation.'"
1298759273397260289,2020-08-26 23:08:35,31,5,False,b'Twitter Web App',"b'The COVID-19 pandemic has accelerated digitalization globally, and we\xe2\x80\x99re at an inflection point where the widespread adoption of technologies like robotics and AI are poised to transform business forever.'"
1298404175634739208,2020-08-25 23:37:33,0,10,False,b'Twitter for iPhone',"b'RT @bpatrick001: Must watch live Digital Leader interactive discussion with @UiPath CEO @DanielDines, @CNBC @JBoorstin and @NYSE President\xe2\x80\xa6'"
1298244522095317000,2020-08-25 13:03:08,0,35,False,b'Twitter Web App',b'RT @bgurley: Going Public Circa 2020; Door #3: The SPAC | Above the Crowd | By Bill Gurley https://t.co/HwawTxaW9a'
1296611570852810753,2020-08-21 00:54:23,5,1,False,b'Twitter for iPhone',b'@mblaugrund @NYSE Oops'
1296171541735120900,2020-08-19 19:45:51,180,29,False,b'Twitter for iPhone',"b'Having started my career on the @NYSE Tading Floor at the same time as @MariaBartiromo, I particularly enjoyed this conversation about her journey to shed some light into the world of finance for all to see. https://t.co/Xgpb8XBMln'"
1295782513391042560,2020-08-18 18:00:00,0,6,False,b'Twitter for iPhone',b'RT @ICE_Markets: Recently @NYSE President @stacey_cunning sat down with @rbccm @CroftHelima to unpack everything that\xe2\x80\x99s been going on in th\xe2\x80\xa6'
1294712967221653509,2020-08-15 19:10:00,30,0,False,b'Twitter for iPhone',"b'Back after a fantastic getaway and need to send a huge thank you to the entire @Delta team, both on the ground and in the air, for putting our collective safety first.'"
1291521515243085824,2020-08-06 23:48:19,10,2,False,b'Twitter for iPhone',b'Huge welcome to @RocketMortgage @QuickenLoans and the entire \xf0\x9f\x9a\x80 family of companies.'
1291520982419734530,2020-08-06 23:46:12,15,0,False,b'Twitter for iPhone',b'@RocketCompanies brought the fire to @NYSE today. \xf0\x9f\x9a\x80 \xf0\x9f\x94\xa5 https://t.co/q7bmrq8Hkd'
1286468291310112768,2020-07-24 01:08:36,9,2,False,b'Twitter for iPhone',b'Proxy advisory reform has long been a focus of @NYSE advocacy as ensuring shareholders receive accurate information prior to voting has been a top concern of public companies. Thank you Chairman Clayton for your leadership on this issue. https://t.co/F71lLO7CaR'
1281179488685039616,2020-07-09 10:52:47,2,0,False,b'Twitter for iPhone',b'@tobi Love the video and love the leak. So good.'
1280201510450860032,2020-07-06 18:06:39,8,1,False,b'Twitter for iPhone',b'Looking forward to breakfast with @newyorkbio tomorrow! https://t.co/ot6PBi6WWw'
1274139339405119488,2020-06-20 00:37:45,20,1,False,b'Twitter for iPhone',"b'I\xe2\x80\x99ve had the privilege of joining Team Wilderness on a hike. After meeting some of the teens who have been through their programs and hearing them describe TW\xe2\x80\x99s impact, I am even more proud to be a supporter. https://t.co/Fw5s6vKAds'"
1274128666503585792,2020-06-19 23:55:20,0,18,False,b'Twitter for iPhone',"b""RT @mblaugrund: Today's @NYSE closing auction was the largest on record, at 2.35 Billion shares.\n\nThank you to the investors, members, Floo\xe2\x80\xa6"""
1274124398392479745,2020-06-19 23:38:23,0,1,False,b'Twitter for iPhone',"b""RT @JustinRBLT: So, @stacey_cunning's October 2018 offer of a 10-mil fee cap and moratorium on data-fee hikes appears to be aging quite wel\xe2\x80\xa6"""
1273982296031399936,2020-06-19 14:13:43,43,13,False,b'Twitter Web App',b'The NYSE is committed to promoting economic opportunity and access for those underrepresented \n\nhttps://t.co/yLSGFIX5zy'
1273299494445166600,2020-06-17 17:00:30,56,16,False,b'Twitter Web App',b'Great to talk this morning with @MorganLBrennan and @jonfortt and look forward to welcoming them and the @CNBC team back to the @nyse trading floor. https://t.co/Jl140K7pi0'
1272942059347992576,2020-06-16 17:20:11,21,12,False,b'Twitter Web App',"b""I'm pleased to see the Court remind the SEC they too need to follow the law. As the Court wrote, \xe2\x80\x9cthe Commission acted with no obvious regard for the limits on its regulatory authority under the Exchange Act.\xe2\x80\x9d This is a resounding victory for free markets. https://t.co/sTcl5K82Jp"""
1272942058093916161,2020-06-16 17:20:11,30,9,False,b'Twitter Web App',"b'Last year I wrote in an op-ed, \xe2\x80\x9cThe Transaction Fee Pilot imposes government control on the incentives that public markets can offer.\xe2\x80\x9d Today, the DC Circuit Court agreed. As the op-ed concluded: \xe2\x80\x9cFree markets should reign.\xe2\x80\x9d https://t.co/pB0S7lrKhN'"
1271041356597772297,2020-06-11 11:27:28,1,0,False,b'Twitter for iPhone',b'@gomez3_elena @BettyWLiu Thanks for joining Elena. Great conversation on how the last few months are accelerating digital transformation.'
1270390454203318273,2020-06-09 16:21:01,0,96,False,b'Twitter for iPhone',b'RT @NYSE: The NYSE observes an 8 minute and 46 second moment of silence to honor the life of George Floyd https://t.co/i0xZ25A3wS'
1270104910827266049,2020-06-08 21:26:22,56,16,False,b'Twitter Web App',"b""I'll be kicking off our free webinar about the future of work with special guests: \n\n\xe2\x80\xa2 @levie (@Box CEO)\n\xe2\x80\xa2 @stewart (@SlackHQ CEO) \n\xe2\x80\xa2 @jenntejada (@pagerduty CEO)\n\nIt's going to be a great conversation, hope to see you there: https://t.co/xEpKI5iXg2"""
1268654835026595840,2020-06-04 21:24:17,51,8,False,b'Twitter for iPhone',b'Thank you Twitter. Thank you @jack.  https://t.co/GOSnLWAReI'
1265598046529884162,2020-05-27 10:57:42,4,0,False,b'Twitter for iPhone',b'Hard to believe it has been 2 years since @danajacobson and I first talked! https://t.co/wAVLLrxjey'
1265476514134593536,2020-05-27 02:54:47,0,38,False,b'Twitter for iPhone',b'RT @Mkennedycuomo: Great to see @NYGovCuomo ring in the reopening of the New York Stock Exchange trading floor today alongside @stacey_cunn\xe2\x80\xa6'
1265443645240553477,2020-05-27 00:44:10,65,13,False,b'Twitter for iPhone',b'It was an honor to have @NYGovCuomo join the @NYSE community for the first phase of the reopening of the trading floor. #NewYorkTough #56 https://t.co/whBybHgagK'
1265282335072825344,2020-05-26 14:03:11,334,33,False,b'Twitter for iPhone',"b'It feels great to reopen The Trading Floor, but this is only the beginning. \n\nI look forward to the day when it is safe to welcome back the entire floor community.'"
1261862880024104960,2020-05-17 03:35:29,0,10,False,b'Twitter for iPhone',"b'RT @NYSE: As outlined in today\xe2\x80\x99s WSJ opinion piece, NYSE will require trading floor personnel to avoid public transportation to reserve soc\xe2\x80\xa6'"
1261862834079535106,2020-05-17 03:35:18,0,50,False,b'Twitter for iPhone',"b'RT @NYSE: To all the heroes around the world,\n\nWe want to thank you for stepping up, taking care of us, and keeping us safe. Your commitmen\xe2\x80\xa6'"
1261325836713672704,2020-05-15 16:01:28,11,1,False,b'Twitter Web App',"b'And for our economy, reopening our trading floors offers a path to reopening that other businesses in densely populated areas may choose to follow. \n\nI look forward to welcoming members of our community back to the Trading Floor.'"
1261325835467984899,2020-05-15 16:01:28,11,1,False,b'Twitter Web App',"b'For the trading floor community it supports their small businesses, which have been challenged by the temporary floor closure.'"
1261325834192711680,2020-05-15 16:01:27,4,0,False,b'Twitter Web App',b'Bringing back our trading floors serves several purposes: \n\nFor issuers and investors it begins the process of returning our markets to providing the highest level of service possible.'
1261325832687140864,2020-05-15 16:01:27,128,36,False,b'Twitter Web App',"b'We have made the decision to reopen the NYSE and NYSE American Options floors on May 26, the day after Memorial Day. \n\nReopening will include limited staffing and new safety protocols developed in consultation with government officials and public-health experts.'"
1261050913843798022,2020-05-14 21:49:01,6,1,False,b'Twitter Web App',"b'@SerenThomasTS @davidgura @WSJ Yes, to the tune of $15 million/day: https://t.co/q8c7jPxYLh'"
1261042876416491524,2020-05-14 21:17:05,240,79,False,b'Twitter Web App',"b'The NYSE trading floor will begin a phased reopening on May 26. I explain further in this recent @WSJ piece, and look forward to welcoming home members of our Trading Floor community. https://t.co/EDbfTPUbpp'"
1260758592107483139,2020-05-14 02:27:26,4,0,False,b'Twitter for iPhone',b'@stewart @HDAHealing @FrontlineFoods Love this. Great idea @davechen76. Hope others will be inspired to think of creative ways to help.'
1259994456440426496,2020-05-11 23:51:02,0,259,False,b'Twitter for iPhone',b'RT @RobinHoodNYC: Are you ready to rise up for New York City? \n\nWe\xe2\x80\x99re coming together w/special guests to raise funds for New Yorkers impac\xe2\x80\xa6'
1259991700933693441,2020-05-11 23:40:05,17,1,False,b'Twitter for iPhone',b'I literally have chills listening to @aliciakeys sing #GoodJob during the @RobinHoodNYC Relief Benefit. #RiseUpNewYork'
1258593386757525509,2020-05-08 03:03:41,19,7,False,b'Twitter for iPhone',b'Public companies are a critical part of our recovery as they find solutions to support those most impacted by COVID-19\n\n@serwer and I discussed why the NYSE is focused on helping companies and investors navigate markets through the good times and bad: https://t.co/NbclYuG5mA'
1256001623576449031,2020-04-30 23:24:57,0,6,False,b'Twitter for iPhone',b'RT @NYSE: Thank you to @Delta team members for distributing medical face shields to health professionals fighting COVID-19\n\n#Gratitude http\xe2\x80\xa6'
1256001567062458368,2020-04-30 23:24:43,0,7,False,b'Twitter for iPhone',"b'RT @NYSE: The NYSE thanks Samantha Ranshte, RN, Memorial Sloan Kettering Cancer Center, West Harrison, NY. #Gratitude https://t.co/ZwEC601l\xe2\x80\xa6'"
1256000139216457729,2020-04-30 23:19:03,0,6,False,b'Twitter for iPhone',"b""RT @VHC_Hospital: Thank you to the @NYSE for officially honoring those on the front lines of #COVID-19 during today's opening bell. We were\xe2\x80\xa6"""
1254007423930699776,2020-04-25 11:20:42,3,0,False,b'Twitter for iPhone',b'@JenniferBMorgan @SAP @ChrstnKlein @AdaireFoxMartin @thsaueressig @JuerMueller Thanks for sharing your leadership. I\xe2\x80\x99m better for knowing you @JenniferBMorgan. Looking forward to what comes next for you.'
1252804649121394689,2020-04-22 03:41:18,21,7,False,b'Twitter for iPhone',"b'We will get through this by working together. Cooperation across the government, business and communities is key. Thank you @SteveGrigorian for having me join @deteconomicclub today. https://t.co/3s4SuozkJ2'"
1252370697441046528,2020-04-20 22:56:56,25,9,False,b'Twitter Web App',"b'Another example of inspirational leadership by @dhmeyer and @randygarutti. After raising additional capital in the public markets, NYSE-listed @shakeshack is returning its $10 million PPP loan so the funds can be used to aid others. https://t.co/AgwvBMKSQ6'"
1251253184351305729,2020-04-17 20:56:20,40,10,False,b'Twitter Web App',b'My plans tomorrow night are set\xe2\x80\xa6. I\xe2\x80\x99ll be with @LadyGaga and @glblctzn\n\nAre you in? #TogetherAtHome \n\nhttps://t.co/BF42kN3KgU'
1250898506300227590,2020-04-16 21:26:59,0,4,False,b'Twitter for iPhone',b'RT @dpaschel: We are proud to join this list of @NYSE listed companies to help with Covid-19 business leadership and response $YEXT @howard\xe2\x80\xa6'
1250092165826523139,2020-04-14 16:02:52,22,10,False,b'Twitter Web App',b'Cooperation is key to our recovery - Worth reading:  @stevenmnuchin1 and Fed Chairman Powell are speaking multiple times a day as world leaders work to address unprecedented challenges. https://t.co/H3uIf8BArv'
1249791365577428992,2020-04-13 20:07:36,9,2,False,b'Twitter Web App',"b'Let\xe2\x80\x99s hope that all the efforts taken together will get us through this period, back to life as we know it, and on to a brighter future.\n \nI thank you.\nAnd The NYSE and ICE thanks you.\n#Gratitude \n\nhttps://t.co/T9sxcv51bB'"
1249791364277112836,2020-04-13 20:07:35,8,1,False,b'Twitter Web App',"b'These organizations (along with so many others it would be impossible to list them all) are offering up their skills, resources, and capital for the greater good.'"
1249791362914037760,2020-04-13 20:07:35,5,2,False,b'Twitter Web App',b'And @Twitter and @Square CEO @Jack is personally donating $1 billion of his Square shares in support of the fight against COVID-19.'
1249791361571831811,2020-04-13 20:07:35,5,2,False,b'Twitter Web App',"b'@Uber announced it will provide 10 million free rides and food deliveries for frontline health care workers, seniors, and people in need.'"
1249791360166756353,2020-04-13 20:07:34,4,3,False,b'Twitter Web App',"b'@Walmart, together with the Walmart Foundation, is offering support to local communities, which includes donations to food banks and school meal programs.'"
1249791358631641088,2020-04-13 20:07:34,4,4,False,b'Twitter Web App',"b'@SlackHQ has offered non-profit organizations three months of its paid plans for free, helping them adapt to the new norm of collaborating remotely.'"
1249791357218103296,2020-04-13 20:07:34,8,3,False,b'Twitter Web App',b'The @IBM Summit supercomputer is being used by researchers at the Oak Ridge National Laboratory to study 77 compounds that might stop the coronavirus from infecting host cells.'
1249791355771117568,2020-04-13 20:07:33,4,2,False,b'Twitter Web App',"b'@abinbev, the maker of @Budweiser, is now manufacturing more than one million bottles of hand sanitizer and donating them to hospitals and frontline workers worldwide.'"
1249791354282139649,2020-04-13 20:07:33,5,2,False,b'Twitter Web App',"b'@3M, which since the COVID-19 outbreak has doubled production of N95 respirators to more than one billion per year, announced it plans to nearly double that number again to two billion.'"
1249791352805691394,2020-04-13 20:07:33,5,2,False,b'Twitter Web App',"b'@GM and @Ford announced they will begin building ventilators, which are in short supply as the number of patients with severe symptoms continues to grow.'"
1249791351354544131,2020-04-13 20:07:32,3,2,False,b'Twitter Web App',b'@AbbottNews has received emergency use authorization from the FDA for a test that the company says could provide positive COVID-19 results in as little as five minutes.'
1249791349857103873,2020-04-13 20:07:32,4,1,False,b'Twitter Web App',"b'@Novartis has pledged to donate nearly 130 million doses of generic hydroxychloroquine, which is currently in clinical trials as a potential treatment for COVID-19.'"
1249791348401717263,2020-04-13 20:07:32,1,1,False,b'Twitter Web App',b'@JNJNews announced the selection of \xe2\x80\x9ca lead vaccine candidate\xe2\x80\x9d and expects to initiate human clinical studies by September. They are also ramping up manufacturing capacity to be able to supply one billion doses of an eventual vaccine.'
1249791347126603776,2020-04-13 20:07:31,1,1,False,b'Twitter Web App',"b'These efforts are truly remarkable, and I would like to take a moment to highlight just a small fraction of them.'"
1249791345654484992,2020-04-13 20:07:31,4,1,False,b'Twitter Web App',"b'Companies have pivoted to making vaccines, developing therapies, and manufacturing protective equipment and ventilators. \n\nOthers are supporting individuals, families, and communities, including millions who are now unemployed as large segments of the economy have been shut down.'"
1249791344287023105,2020-04-13 20:07:31,55,15,False,b'Twitter Web App',"b'The way corporations have responded to the COVID-19 pandemic reminds me of how industries came together during World War II to fight a common enemy. \n\nBelow are my thoughts on the topic, first published by @FortuneMagazine'"
