id,created_at,favorites,retweets,retweeted,source,text
1333466453274660864,2020-11-30 17:42:31,258,22,False,b'Twitter for iPhone',b'Good discussion with @VeraJourova today. Taking the #MFF and #NextGenerationEU hostage puts Europe\xe2\x80\x99s economic recovery at risk. I support a solution that protects our shared values. #RuleOfLaw. https://t.co/g6FTw1po3r'
1331547068184334339,2020-11-25 10:35:34,1290,157,False,b'Twitter for iPhone',"b'Today I\xc2\xa0stand with women experiencing violence. I see you. I hear &amp; trust you. Please speak up and reach out for help. You are not alone. As a society, let\xe2\x80\x99s step up efforts to #orangetheworld &amp; ensure that home is a safe place for each girl &amp; woman. Stop the shadow pandemic. https://t.co/fUGBRAJh6H'"
1331222889048248323,2020-11-24 13:07:24,321,18,False,b'Twitter for iPhone',"b""Ambitious #ClimateAction is a recipe for modern, prosperous and resilient economy &amp; society. #NextGeneneration Funds a great opportunity to support digital and green transition. Slovakia's future must be greener and sustainable."""
1329348743284527106,2020-11-19 09:00:13,556,53,False,b'Twitter Web App',b'Be receptive to what is happening around you. Be alert when children are quiet. Trust their voice. I\xe2\x80\x99ve joined the drumming initiative so children\xe2\x80\x99s voices are heard. Because silence will not protect them from violence. #preventionofchildabuse https://t.co/PycvzKuQ7J'
1328685847605092353,2020-11-17 13:06:06,1184,80,False,b'Twitter for iPhone',"b'There is no #Slovakia for or against face masks, for or against strict measures. We are one nation, one country, one community. As back in November 1989, we will better cope with the challenges of today, if we are united.'"
1328448523768131585,2020-11-16 21:23:04,2191,286,False,b'Twitter for Android',b'The choices we make today will define us tomorrow. The #EU cannot defend the values we share - such as #RuleOfLaw - if we do not reach a shared understanding on what is really important. #Slovakia supports that benefits should come with responsibility. #MFF #NextGenerationEU'
1327359367075803136,2020-11-13 21:15:08,1185,97,False,b'Twitter for iPhone',"b'I strongly condemn the killing of an unarmed protester Raman Bandarenka. Peaceful transition of power, not violence, is the way forward for #Belarus.'"
1326545212085161987,2020-11-11 15:19:59,1116,75,False,b'Twitter for iPhone',"b'Remembering heroes, we pay respect to all those who sacrificed so much to protect our freedom. #lestweforget https://t.co/mBYSwTHB33'"
1325770885836500994,2020-11-09 12:03:05,1087,78,False,b'Twitter for iPhone',"b'31 years ago, a new chapter of European history began. The fall of the #BerlinWall had put away decades of divisions to give way to European unity. Today, it is up to us to carry on this task.'"
1325181186260471810,2020-11-07 20:59:50,5706,447,False,b'Twitter for iPhone',"b'Congratulations @JoeBiden.\xc2\xa0I wish you &amp; the American people strength to face challenges ahead of us.\xc2\xa0We share the same values of freedom, democracy and cooperation, which make our Transatlantic partnership unique and our unity strong.'"
1323553017531084801,2020-11-03 09:10:04,1504,108,False,b'Twitter for iPhone',"b'Deeply saddened by the shameful terrorist attack in #Vienna. My thoughts are with the families of the victims and the injured, and with the people of #Austria \xf0\x9f\x87\xa6\xf0\x9f\x87\xb9 We are united in standing up to hatred and terrorism.'"
1321835514547392518,2020-10-29 15:25:19,855,85,False,b'Twitter for iPhone',"b'Recent abhorrent terrorist attacks in #France negate all values we stand for as Europeans. In these difficult times, #Slovakia stands in solidarity with our friend, partner and ally. There must be zero tolerance for extremism in any form. @EmmanuelMacron #Nice #SamuelPaty'"
1321427063732084736,2020-10-28 12:22:17,3178,266,False,b'Twitter for iPhone',"b'102 years ago, independent #Czechoslovakia was founded on values of humanism, democracy &amp; progress. Today, Slovak\xf0\x9f\x87\xb8\xf0\x9f\x87\xb0 &amp; Czech\xf0\x9f\x87\xa8\xf0\x9f\x87\xbf Republic are as close to each other as two sovereign states can be. We draw from this legacy as democratic nations united once again in the #EU and #NATO.'"
