id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
118058,1569,35306,,,,1,https://littlesis.org/relationships/118058,true,,,Director,Director,Angela F Braly,America's Health Insurance Plans,Position
143734,1569,39173,2007-00-00,2008-00-00,,5,https://littlesis.org/relationships/143734,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Angela F Braly,Americas Health Insurance Plans PAC (Ahip PAC),Donation/Grant
475488,1569,39173,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/475488,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Angela F Braly,Americas Health Insurance Plans PAC (Ahip PAC),Donation/Grant
590976,1569,96092,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590976,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Angela F Braly,Ann L Wagner,Donation/Grant
742,1569,33,,,false,1,https://littlesis.org/relationships/742,true,false,,Director,Director,Angela F Braly,Anthem,Position
743,1569,33,,2012-08-00,false,1,https://littlesis.org/relationships/743,,true,,CEO,CEO,Angela F Braly,Anthem,Position
744,1569,33,,,false,1,https://littlesis.org/relationships/744,true,true,,President,President,Angela F Braly,Anthem,Position
375224,1569,33,,,true,10,https://littlesis.org/relationships/375224,,,,Shareholder,Shareholder,Angela F Braly,Anthem,Ownership
1396258,1569,78783,,,true,1,https://littlesis.org/relationships/1396258,true,,,Independent Director,Independent Director,Angela F Braly,Brookfield Asset Management Inc,Position
475493,1569,44657,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/475493,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Angela F Braly,Carly Fiorina,Donation/Grant
143735,1569,43098,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/143735,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Angela F Braly,Carolene Mays,Donation/Grant
475489,1569,13312,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/475489,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Angela F Braly,Chuck Grassley,Donation/Grant
811053,1569,33328,,,,3,https://littlesis.org/relationships/811053,,,,Member,Member,Angela F Braly,Clinton Global Initiative,Membership
475492,1569,13934,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/475492,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Angela F Braly,Dan Coats,Donation/Grant
1459400,1569,2,,,,1,https://littlesis.org/relationships/1459400,true,,,Board Member,Board Member,Angela F Braly,ExxonMobil,Position
1466367,1569,2,2016-00-00,,,1,https://littlesis.org/relationships/1466367,,,,Director,Director,Angela F Braly,ExxonMobil,Position
143728,1569,28776,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/143728,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Angela F Braly,George W Bush,Donation/Grant
143730,1569,13268,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/143730,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Angela F Braly,Jo Ann Emerson,Donation/Grant
143727,1569,13875,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/143727,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Angela F Braly,John Ashcroft,Donation/Grant
143737,1569,13443,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/143737,,,4600,"2 contributions · 4,600 USD","2 contributions · 4,600 USD",Angela F Braly,John S. McCain III,Donation/Grant
590971,1569,96357,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590971,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Angela F Braly,Josh Mandel,Donation/Grant
475490,1569,91555,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/475490,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Angela F Braly,Kelly Ayotte,Donation/Grant
143733,1569,13564,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/143733,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Angela F Braly,Ken Salazar,Donation/Grant
590977,1569,91562,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590977,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Angela F Braly,Larry Bucshon,Donation/Grant
122752,1569,39237,,,false,1,https://littlesis.org/relationships/122752,,true,,Partner,Partner,Angela F Braly,Lewis Rice & Fingersh,Position
