id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1373130,86530,13596,2016-04-11,2016-04-11,,5,https://littlesis.org/relationships/1373130,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Adam Smith,Donation/Grant
373861,86530,44998,,,true,1,https://littlesis.org/relationships/373861,true,,,Board Member,Board Member,Gwynne Shotwell,Aerospace Industries Association,Position
797912,86530,31411,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/797912,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Alamo PAC,Donation/Grant
797909,86530,13497,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/797909,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Bill Nelson,Donation/Grant
1373132,86530,32511,2015-10-29,2015-10-29,,5,https://littlesis.org/relationships/1373132,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Brian Babin,Donation/Grant
797915,86530,13280,2011-00-00,2012-08-17,,5,https://littlesis.org/relationships/797915,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Gwynne Shotwell,Chaka Fattah,Donation/Grant
797913,86530,13552,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/797913,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Gwynne Shotwell,Dana Rohrabacher,Donation/Grant
1373124,86530,13261,2014-09-11,2014-09-11,,5,https://littlesis.org/relationships/1373124,,,2600,"1 contribution · 2,600 USD","1 contribution · 2,600 USD",Gwynne Shotwell,Dick Durbin,Donation/Grant
1373121,86530,13262,2013-08-09,2013-08-09,,5,https://littlesis.org/relationships/1373121,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Gwynne Shotwell,Donna F Edwards,Donation/Grant
1373131,86530,13559,2013-07-09,2013-07-09,,5,https://littlesis.org/relationships/1373131,,,5200,"1 contribution · 5,200 USD","1 contribution · 5,200 USD",Gwynne Shotwell,Dutch Ruppersberger,Donation/Grant
797814,86530,40055,,,true,1,https://littlesis.org/relationships/797814,,,,advisory committee member,advisory committee member,Gwynne Shotwell,Export-Import Bank of the United States,Position
539071,86530,13300,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/539071,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Gwynne Shotwell,Gabby Giffords,Donation/Grant
539070,86530,13541,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/539070,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Gwynne Shotwell,Harry Reid,Donation/Grant
1373128,86530,13191,2015-07-08,2016-10-25,,5,https://littlesis.org/relationships/1373128,,,8100,"3 contributions · 8,100 USD","3 contributions · 8,100 USD",Gwynne Shotwell,Hillary Clinton,Donation/Grant
539068,86530,13594,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/539068,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Gwynne Shotwell,Isaac Newton Skelton IV,Donation/Grant
539067,86530,13325,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/539067,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Gwynne Shotwell,Jane L Harman,Donation/Grant
797914,86530,30958,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/797914,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Janice K Hahn,Donation/Grant
1373125,86530,13225,2014-10-30,2016-06-06,,5,https://littlesis.org/relationships/1373125,,,6700,"3 contributions · 6,700 USD","3 contributions · 6,700 USD",Gwynne Shotwell,John Culberson,Donation/Grant
1373129,86530,13443,2015-11-03,2015-11-03,,5,https://littlesis.org/relationships/1373129,,,5000,"3 contributions · 5,000 USD","3 contributions · 5,000 USD",Gwynne Shotwell,John S. McCain III,Donation/Grant
1373126,86530,91555,2015-08-10,2015-08-10,,5,https://littlesis.org/relationships/1373126,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Gwynne Shotwell,Kelly Ayotte,Donation/Grant
1373119,86530,13310,2013-02-21,2013-02-21,,5,https://littlesis.org/relationships/1373119,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Lindsey Graham,Donation/Grant
797916,86530,13567,2012-00-00,2015-08-24,,5,https://littlesis.org/relationships/797916,,,12800,"6 contributions · 12,800 USD","6 contributions · 12,800 USD",Gwynne Shotwell,Loretta Sanchez,Donation/Grant
797910,86530,13152,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/797910,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Gwynne Shotwell,Maria E Cantwell,Donation/Grant
1373123,86530,13639,2013-02-21,2013-02-21,,5,https://littlesis.org/relationships/1373123,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Mark Udall,Donation/Grant
1373122,86530,13450,2014-10-30,2014-10-30,,5,https://littlesis.org/relationships/1373122,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Gwynne Shotwell,Mitch McConnell,Donation/Grant
539064,86530,28803,2010-00-00,2012-03-23,,5,https://littlesis.org/relationships/539064,,,10000,"2 contributions · 10,000 USD","2 contributions · 10,000 USD",Gwynne Shotwell,National Republican Congressional Committee,Donation/Grant
859200,86530,15018,,1987-00-00,,2,https://littlesis.org/relationships/859200,,,,"BSE, Mechanical Engineering","BSE, Mechanical Engineering",Gwynne Shotwell,Northwestern University,Education
1373118,86530,236031,2010-10-12,2010-10-12,,5,https://littlesis.org/relationships/1373118,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Gwynne Shotwell,Reid Victory Fund,Donation/Grant
797911,86530,98718,2012-00-00,2016-11-18,,5,https://littlesis.org/relationships/797911,,,9244,"20 contributions · 9,244 USD","20 contributions · 9,244 USD",Gwynne Shotwell,Space Exploration Technologies Corporation PAC,Donation/Grant
859199,86530,87699,,,,1,https://littlesis.org/relationships/859199,,true,,"President   ","President   ",Gwynne Shotwell,Space Exploration Technologies Corporation,Position
1373127,86530,147734,2015-05-28,2015-05-28,,5,https://littlesis.org/relationships/1373127,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Gwynne Shotwell,Steve Knight,Donation/Grant
539069,86530,13263,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/539069,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Gwynne Shotwell,Thomas Chester Edwards,Donation/Grant
1373120,86530,13631,2014-10-30,2014-10-30,,5,https://littlesis.org/relationships/1373120,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Gwynne Shotwell,William McClellan Thornberry,Donation/Grant
