id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1650913,85815,367601,2019-00-00,,,1,https://littlesis.org/relationships/1650913,,,,Co-Chair,Co-Chair,Ivanka Trump,American Workforce Policy Advisory Board,Position
1240237,85815,36930,2006-10-20,2011-12-15,,5,https://littlesis.org/relationships/1240237,,,10000,"6 contributions · 10,000 USD","6 contributions · 10,000 USD",Ivanka Trump,Andrew Cuomo,Donation/Grant
1322123,85815,242411,2014-10-14,2014-10-14,,5,https://littlesis.org/relationships/1322123,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Ivanka Trump,Booker Senate Victory,Donation/Grant
456132,85815,44657,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/456132,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Ivanka Trump,Carly Fiorina,Donation/Grant
456130,85815,13536,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/456130,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Ivanka Trump,Charles Rangel,Donation/Grant
1623630,85815,260672,,,,8,https://littlesis.org/relationships/1623630,,,,Social,Social,Ivanka Trump,Christopher Steele,Social
456133,85815,13575,2010-00-00,2010-04-07,,5,https://littlesis.org/relationships/456133,,,4800,"2 contributions · 4,800 USD","2 contributions · 4,800 USD",Ivanka Trump,Chuck Schumer,Donation/Grant
1322122,85815,47994,2013-03-04,2013-06-21,,5,https://littlesis.org/relationships/1322122,,,10400,"6 contributions · 10,400 USD","6 contributions · 10,400 USD",Ivanka Trump,Cory Booker,Donation/Grant
1324411,84178,85815,,,,8,https://littlesis.org/relationships/1324411,,,,friend,friend,Dasha Zhukova,Ivanka Trump,Social
1294231,85815,34270,2008-11-06,2008-11-06,,5,https://littlesis.org/relationships/1294231,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Ivanka Trump,David A Paterson,Donation/Grant
456127,85815,28670,2006-00-00,2008-00-00,,5,https://littlesis.org/relationships/456127,,,24500,"7 contributions · 24,500 USD","7 contributions · 24,500 USD",Ivanka Trump,Democratic Congressional Campaign Committee,Donation/Grant
1322121,85815,28670,2006-06-19,2008-09-30,,5,https://littlesis.org/relationships/1322121,,,23500,"6 contributions · 23,500 USD","6 contributions · 23,500 USD",Ivanka Trump,Democratic Congressional Campaign Committee,Donation/Grant
456131,85815,28856,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/456131,,,7500,"1 contribution · 7,500 USD","1 contribution · 7,500 USD",Ivanka Trump,Democratic Senatorial Campaign Committee,Donation/Grant
