id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1472231,330012,40962,,,,4,https://littlesis.org/relationships/1472231,,,,mother,daughter,Barbara Bush,Laura Bush,Family
545982,40962,75979,2010-00-00,2012-00-00,,5,https://littlesis.org/relationships/545982,,,3500,"2 contributions · 3,500 USD","2 contributions · 3,500 USD",Laura Bush,Ben Quayle,Donation/Grant
229104,40962,33277,1991-00-00,1991-00-00,,5,https://littlesis.org/relationships/229104,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Laura Bush,George H W Bush,Donation/Grant
148482,28776,40962,1977-11-05,,true,4,https://littlesis.org/relationships/148482,,,,wife,husband,George W Bush,Laura Bush,Family
541394,115407,40962,,,,8,https://littlesis.org/relationships/541394,,,,friend,friend,Jan O’Neill,Laura Bush,Social
659084,40962,13450,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/659084,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Laura Bush,Mitch McConnell,Donation/Grant
1032713,40962,43857,,,true,1,https://littlesis.org/relationships/1032713,true,,,Board Member,Board Member,Laura Bush,National Museum of African-American History Council,Position
737773,40962,86740,,,true,1,https://littlesis.org/relationships/737773,true,,,Board Member,Board Member,Laura Bush,National Trust for Historic Preservation,Position
545983,40962,13082,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/545983,,,600,1 contribution · 600 USD,1 contribution · 600 USD,Laura Bush,Roy Blunt,Donation/Grant
228989,40962,48567,2010-01-00,,true,1,https://littlesis.org/relationships/228989,true,false,,"Member, National Advisory Board","Member, National Advisory Board",Laura Bush,Salvation Army,Position
545951,40962,116452,,,true,1,https://littlesis.org/relationships/545951,true,,,"Founder, Honorary Chair","Founder, Honorary Chair",Laura Bush,Texas Book Festival,Position
