id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1650918,2281,367601,2019-00-00,,,1,https://littlesis.org/relationships/1650918,,,,Member,Member,Marillyn A Hewson,American Workforce Policy Advisory Board,Position
518192,2281,111149,,,true,1,https://littlesis.org/relationships/518192,true,,,Trustee,Trustee,Marillyn A Hewson,Association of the United States Army,Position
618124,2281,33359,,,true,1,https://littlesis.org/relationships/618124,true,,,Director,Director,Marillyn A Hewson,Atlantic Council,Position
596271,2281,13497,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/596271,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Marillyn A Hewson,Bill Nelson,Donation/Grant
1333090,2281,13679,2012-08-04,2012-08-04,,5,https://littlesis.org/relationships/1333090,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Marillyn A Hewson,Charles William Young,Donation/Grant
1333084,2281,13575,2010-05-21,2016-02-29,,5,https://littlesis.org/relationships/1333084,,,3700,"2 contributions · 3,700 USD","2 contributions · 3,700 USD",Marillyn A Hewson,Chuck Schumer,Donation/Grant
296920,2281,13354,2008-00-00,2009-10-23,,5,https://littlesis.org/relationships/296920,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Marillyn A Hewson,Daniel Ken Inouye,Donation/Grant
1333088,2281,29891,2012-05-09,2012-05-09,,5,https://littlesis.org/relationships/1333088,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Marillyn A Hewson,Defend America PAC,Donation/Grant
736929,2281,144285,,,,1,https://littlesis.org/relationships/736929,,,,Steering Committee Chair,Steering Committee Chair,Marillyn A Hewson,Defense Industry Initiative,Position
1820,2281,82,2007-00-00,,true,1,https://littlesis.org/relationships/1820,true,false,,Director,Director,Marillyn A Hewson,DuPont,Position
