id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
553631,117850,28912,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/553631,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Mary Meeker,California Republican Party/V8,Donation/Grant
553629,117850,44657,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/553629,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Mary Meeker,Carly Fiorina,Donation/Grant
553609,117850,13248,2003-00-00,2006-12-29,,5,https://littlesis.org/relationships/553609,,,3000,"3 contributions · 3,000 USD","3 contributions · 3,000 USD",Mary Meeker,Chris Dodd,Donation/Grant
553614,117850,28856,1994-00-00,1994-00-00,,5,https://littlesis.org/relationships/553614,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Democratic Senatorial Campaign Committee,Donation/Grant
553627,117850,13151,2012-00-00,2012-09-21,,5,https://littlesis.org/relationships/553627,,,7500,"2 contributions · 7,500 USD","2 contributions · 7,500 USD",Mary Meeker,Eric Cantor,Donation/Grant
1474108,117850,38146,2010-01-11,2010-01-11,,5,https://littlesis.org/relationships/1474108,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Mary Meeker,Eric Dinallo,Donation/Grant
553622,117850,42231,2011-00-00,2012-09-21,,5,https://littlesis.org/relationships/553622,,,7500,"2 contributions · 7,500 USD","2 contributions · 7,500 USD",Mary Meeker,Every Republican is Crucial PAC,Donation/Grant
553442,117850,117843,,,true,1,https://littlesis.org/relationships/553442,,,,major contributor,major contributor,Mary Meeker,FWD.us,Position
1474109,117850,79325,2010-10-30,2010-10-30,,5,https://littlesis.org/relationships/1474109,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Harry Wilson,Donation/Grant
553616,117850,13191,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/553616,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Hillary Clinton,Donation/Grant
553612,117850,13618,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/553612,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,John E Sununu,Donation/Grant
553611,117850,13443,2007-00-00,2008-04-23,,5,https://littlesis.org/relationships/553611,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Mary Meeker,John S. McCain III,Donation/Grant
715751,117850,33580,2010-00-00,2018-00-00,false,1,https://littlesis.org/relationships/715751,,true,,General Partner,General Partner,Mary Meeker,Kleiner Perkins Caufield & Byers,Position
728447,117850,128929,,,true,1,https://littlesis.org/relationships/728447,true,,,Board Member,Board Member,Mary Meeker,Lending Club,Position
553621,117850,32936,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/553621,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Mary Meeker,Majority Committee PAC--MC PAC,Donation/Grant
1474106,117850,91622,2016-10-31,2016-10-31,,5,https://littlesis.org/relationships/1474106,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Marco Rubio,Donation/Grant
553613,117850,39051,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/553613,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Max Baucus,Donation/Grant
553608,117850,34136,2007-00-00,2012-09-20,,5,https://littlesis.org/relationships/553608,,,7300,"4 contributions · 7,300 USD","4 contributions · 7,300 USD",Mary Meeker,Mitt Romney,Donation/Grant
553626,117850,28803,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/553626,,,7100,"1 contribution · 7,100 USD","1 contribution · 7,100 USD",Mary Meeker,National Republican Congressional Committee,Donation/Grant
553617,117850,28799,2012-00-00,2014-10-31,,5,https://littlesis.org/relationships/553617,,,39500,"2 contributions · 39,500 USD","2 contributions · 39,500 USD",Mary Meeker,National Republican Senatorial Committee,Donation/Grant
553623,117850,28788,2012-00-00,2013-12-31,,5,https://littlesis.org/relationships/553623,,,1666,"2 contributions · 1,666 USD","2 contributions · 1,666 USD",Mary Meeker,National Venture Capital Association Venturepac,Donation/Grant
553625,117850,13561,2012-00-00,2013-04-29,,5,https://littlesis.org/relationships/553625,,,9859,"3 contributions · 9,859 USD","3 contributions · 9,859 USD",Mary Meeker,Paul Ryan,Donation/Grant
553624,117850,33043,2011-00-00,2013-04-26,,5,https://littlesis.org/relationships/553624,,,14991,"3 contributions · 14,991 USD","3 contributions · 14,991 USD",Mary Meeker,Prosperity PAC,Donation/Grant
553615,117850,28778,2004-00-00,2012-09-20,,5,https://littlesis.org/relationships/553615,,,31800,"3 contributions · 31,800 USD","3 contributions · 31,800 USD",Mary Meeker,Republican National Committee,Donation/Grant
553630,117850,96584,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/553630,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Mary Meeker,Reshma M Saujani,Donation/Grant
553619,117850,13428,2011-00-00,2012-05-23,,5,https://littlesis.org/relationships/553619,,,2500,"3 contributions · 2,500 USD","3 contributions · 2,500 USD",Mary Meeker,Richard Green Lugar,Donation/Grant
553620,117850,34415,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/553620,,,1500,"1 contribution · 1,500 USD","1 contribution · 1,500 USD",Mary Meeker,Rick Perry,Donation/Grant
1474105,117850,185148,2015-06-29,2015-06-30,,5,https://littlesis.org/relationships/1474105,,,50000,"2 contributions · 50,000 USD","2 contributions · 50,000 USD",Mary Meeker,Right to Rise USA,Donation/Grant
