id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1725727,34595,391067,2009-00-00,,,12,https://littlesis.org/relationships/1725727,,,,School Garden Visit,School Garden Visiti,Michelle Obama,Bancroft Elementary School,Generic
92816,13503,34595,1992-00-00,,true,4,https://littlesis.org/relationships/92816,,,,wife,husband,Barack Obama,Michelle Obama,Family
137865,34595,13503,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/137865,,,399,1 contribution · 399 USD,1 contribution · 399 USD,Michelle Obama,Barack Obama,Donation/Grant
1711302,387710,34595,2019-00-00,,,12,https://littlesis.org/relationships/1711302,,,,Effort,Effort,Better Make Room,Michelle Obama,Generic
995800,44688,34595,,,true,8,https://littlesis.org/relationships/995800,,,,friend,friend,Cindy S Moelis,Michelle Obama,Social
1167368,34595,246671,,,true,4,https://littlesis.org/relationships/1167368,,,,brother,sister,Michelle Obama,Craig Robinson,Family
1361563,279179,34595,2009-00-00,2009-00-00,false,1,https://littlesis.org/relationships/1361563,,,,Deputy Chief of Staff,Deputy Chief of Staff,David Medina,Michelle Obama,Position
555339,34595,118155,,,,4,https://littlesis.org/relationships/555339,,,,great-great grandfather,great-great granddaughter,Michelle Obama,Dolphus Shields,Family
137867,34595,14713,1985-00-00,1988-00-00,,2,https://littlesis.org/relationships/137867,,,,JD,JD,Michelle Obama,Harvard Law School,Education
137866,34595,13191,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/137866,,,2300,"1 contribution · 2,300 USD","1 contribution · 2,300 USD",Michelle Obama,Hillary Clinton,Donation/Grant
844043,164088,34595,,,,8,https://littlesis.org/relationships/844043,,,,friend,friend,Kelly King Dibble,Michelle Obama,Social
948866,197069,34595,,,,1,https://littlesis.org/relationships/948866,,,,communications director,communications director,Kristina Schake,Michelle Obama,Position
952680,197780,34595,,,,4,https://littlesis.org/relationships/952680,,,,mother,daughter,Malia Obama,Michelle Obama,Family
555338,34595,118154,,,,4,https://littlesis.org/relationships/555338,,,,great-great-great grandmother,great-great-great granddaughter,Michelle Obama,Melvinia Shields,Family
1725722,34595,391071,2009-00-00,,,1,https://littlesis.org/relationships/1725722,,,,Created,Created,Michelle Obama,Michelle Obama White House Kitchen Garden,Position
1636446,34595,364811,2013-00-00,,,1,https://littlesis.org/relationships/1636446,,,,Attended,Attended,Michelle Obama,"Obama / Bush 5,000th Point Of Light Awards Ceremony",Position
976930,203590,34595,,,false,1,https://littlesis.org/relationships/976930,,,,Spokesperson,Spokesperson,Olivia Alair Dalton,Michelle Obama,Position
709075,34595,138101,,,true,1,https://littlesis.org/relationships/709075,,true,,founder,founder,Michelle Obama,Partnership for a Healthier America,Position
116983,34595,14950,1981-00-00,1985-00-00,,2,https://littlesis.org/relationships/116983,,,,"BA, Sociology","BA, Sociology",Michelle Obama,Princeton University,Education
1711285,34595,387706,,,,1,https://littlesis.org/relationships/1711285,,,,Founder,Founder,Michelle Obama,Reach Higher,Position
952681,197779,34595,,,,4,https://littlesis.org/relationships/952681,,,,mother,daughter,Sasha Obama,Michelle Obama,Family
137868,34595,159289,1988-00-00,1991-00-00,,1,https://littlesis.org/relationships/137868,,,,Position,Position,Michelle Obama,Sidley Austin LLP,Position
217107,34506,34595,2008-06-00,2008-11-00,false,1,https://littlesis.org/relationships/217107,false,,,chief of staff,chief of staff,Stephanie Cutter,Michelle Obama,Position
479971,43316,34595,,,,8,https://littlesis.org/relationships/479971,,,,friend,friend,Susan Sher,Michelle Obama,Social
304063,34595,73668,,,false,1,https://littlesis.org/relationships/304063,true,,,Board Member,Board Member,Michelle Obama,TreeHouse Foods,Position
1629164,362751,34595,2009-00-00,2011-00-00,false,1,https://littlesis.org/relationships/1629164,,,,"Former Advisor, International Affairs","Former Advisor, International Affairs",Trooper Sanders,Michelle Obama,Position
137870,34595,33383,2002-00-00,2008-00-00,false,1,https://littlesis.org/relationships/137870,,true,,VP of community and external affairs,VP of community and external affairs,Michelle Obama,University of Chicago Medical Center,Position
137869,34595,15114,1996-00-00,2002-00-00,false,1,https://littlesis.org/relationships/137869,,,,Associate dean of student services,Associate dean of student services,Michelle Obama,University of Chicago,Position
500989,34595,109274,,,true,8,https://littlesis.org/relationships/500989,,,,close family friend,close family friend,Michelle Obama,Verna Williams,Social
94251,34595,28677,2009-01-20,,true,1,https://littlesis.org/relationships/94251,,,,First Lady,First Lady,Michelle Obama,White House Office,Position
