id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
381888,89683,13516,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/381888,,,4600,"2 contributions · 4,600 USD","2 contributions · 4,600 USD",Aaron Sorkin,Nancy Pelosi,Donation/Grant
1364378,280097,13516,2006-04-28,2006-04-28,,5,https://littlesis.org/relationships/1364378,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Abe Friedman,Nancy Pelosi,Donation/Grant
400672,93179,13516,2006-00-00,2013-06-20,,5,https://littlesis.org/relationships/400672,,,5000,"4 contributions · 5,000 USD","4 contributions · 5,000 USD",Ada Horwich,Nancy Pelosi,Donation/Grant
1377177,143717,13516,2014-09-28,2014-10-05,,5,https://littlesis.org/relationships/1377177,,,750,3 contributions · 750 USD,3 contributions · 750 USD,Adam Bronfman,Nancy Pelosi,Donation/Grant
1116650,227687,13516,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/1116650,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Adam McCarthy,Nancy Pelosi,Donation/Grant
224461,21121,13516,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/224461,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Adam S Olsen,Nancy Pelosi,Donation/Grant
365261,70721,13516,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/365261,,,4600,"2 contributions · 4,600 USD","2 contributions · 4,600 USD",Agnes Varis,Nancy Pelosi,Donation/Grant
1529153,340882,13516,2011-06-27,2016-05-11,,5,https://littlesis.org/relationships/1529153,,,20800,"7 contributions · 20,800 USD","7 contributions · 20,800 USD",Agustin Huneeus,Nancy Pelosi,Donation/Grant
358092,35608,13516,1997-00-00,1997-00-00,,5,https://littlesis.org/relationships/358092,,,300,1 contribution · 300 USD,1 contribution · 300 USD,Aileen C Hernandez,Nancy Pelosi,Donation/Grant
492844,97108,13516,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/492844,,,4600,"2 contributions · 4,600 USD","2 contributions · 4,600 USD",Akiko Yamazaki,Nancy Pelosi,Donation/Grant
448022,46143,13516,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/448022,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Alan F Horn,Nancy Pelosi,Donation/Grant
843027,73397,13516,1990-00-00,2004-00-00,,5,https://littlesis.org/relationships/843027,,,8500,"9 contributions · 8,500 USD","9 contributions · 8,500 USD",Alan L Stein,Nancy Pelosi,Donation/Grant
113727,27639,13516,2006-00-00,2006-00-00,true,5,https://littlesis.org/relationships/113727,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Alan Macleod,Nancy Pelosi,Donation/Grant
238420,15721,13516,2006-00-00,2007-00-00,,5,https://littlesis.org/relationships/238420,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Alan Roth,Nancy Pelosi,Donation/Grant
517755,111125,13516,2006-00-00,2007-00-00,,5,https://littlesis.org/relationships/517755,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Alan Roth,Nancy Pelosi,Donation/Grant
177476,35086,13516,2005-00-00,2005-00-00,,5,https://littlesis.org/relationships/177476,,,4200,"2 contributions · 4,200 USD","2 contributions · 4,200 USD",Alan Solomont,Nancy Pelosi,Donation/Grant
985898,138766,13516,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/985898,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Albert B Ratner,Nancy Pelosi,Donation/Grant
761001,148953,13516,1990-00-00,2011-00-00,,5,https://littlesis.org/relationships/761001,,,21300,"12 contributions · 21,300 USD","12 contributions · 21,300 USD",Alejandro Zaffaroni,Nancy Pelosi,Donation/Grant
162674,13516,30036,2002-00-00,2002-00-00,,5,https://littlesis.org/relationships/162674,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Nancy Pelosi,Alexander M Sanders Jr,Donation/Grant
1154917,216476,13516,2003-05-28,2003-05-28,,5,https://littlesis.org/relationships/1154917,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Alexandra Moses,Nancy Pelosi,Donation/Grant
357148,33639,13516,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/357148,,,2300,"1 contribution · 2,300 USD","1 contribution · 2,300 USD",Alfred B Engelberg,Nancy Pelosi,Donation/Grant
437632,15258,13516,2010-00-00,2010-06-07,,5,https://littlesis.org/relationships/437632,,,4800,"2 contributions · 4,800 USD","2 contributions · 4,800 USD",Alfred Mann,Nancy Pelosi,Donation/Grant
1199680,113327,13516,2013-02-06,2013-02-06,,5,https://littlesis.org/relationships/1199680,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Alfred Moses,Nancy Pelosi,Donation/Grant
863236,172529,13516,2004-00-00,2009-00-00,,5,https://littlesis.org/relationships/863236,,,3000,"3 contributions · 3,000 USD","3 contributions · 3,000 USD",Alice Chaiten Baker,Nancy Pelosi,Donation/Grant
825416,161597,13516,2004-00-00,2006-00-00,,5,https://littlesis.org/relationships/825416,,,2500,"2 contributions · 2,500 USD","2 contributions · 2,500 USD",Alice Lainer,Nancy Pelosi,Donation/Grant
522088,16996,13516,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/522088,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Alicia W Smith,Nancy Pelosi,Donation/Grant
463676,51779,13516,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/463676,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Alisa Ferguson,Nancy Pelosi,Donation/Grant
399338,93189,13516,2004-00-00,2011-00-00,,5,https://littlesis.org/relationships/399338,,,5000,"5 contributions · 5,000 USD","5 contributions · 5,000 USD",Amnon Rodan,Nancy Pelosi,Donation/Grant
399432,84107,13516,1994-00-00,2013-06-20,,5,https://littlesis.org/relationships/399432,,,24000,"13 contributions · 24,000 USD","13 contributions · 24,000 USD",Amy Friedkin,Nancy Pelosi,Donation/Grant
777553,154489,13516,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/777553,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Amy Harper Regan,Nancy Pelosi,Donation/Grant
440404,42182,13516,2002-00-00,2004-00-00,,5,https://littlesis.org/relationships/440404,,,4000,"3 contributions · 4,000 USD","3 contributions · 4,000 USD",Amy McCombs,Nancy Pelosi,Donation/Grant
1671480,373941,13516,2001-06-29,2017-04-04,false,5,https://littlesis.org/relationships/1671480,,,1250,"3 contributions · 1,250 USD","3 contributions · 1,250 USD",Andrew Manatos,Nancy Pelosi,Donation/Grant
363689,76720,13516,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/363689,,,4600,"2 contributions · 4,600 USD","2 contributions · 4,600 USD",Andrew Parmentier,Nancy Pelosi,Donation/Grant
1188183,78021,13516,2014-03-28,2014-03-28,,5,https://littlesis.org/relationships/1188183,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Andy Spahn,Nancy Pelosi,Donation/Grant
