id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
157663,15125,13503,2007-00-00,2012-00-00,,5,https://littlesis.org/relationships/157663,,,83100,"5 contributions · 83,100 USD","5 contributions · 83,100 USD",Oprah Winfrey,Barack Obama,Donation/Grant
1358647,15125,242411,2013-10-07,2013-10-07,,5,https://littlesis.org/relationships/1358647,,,20000,"2 contributions · 20,000 USD","2 contributions · 20,000 USD",Oprah Winfrey,Booker Senate Victory,Donation/Grant
157660,15125,28978,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/157660,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Oprah Winfrey,Carol Moseley Braun,Donation/Grant
556279,15125,30730,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556279,,,3181,"1 contribution · 3,181 USD","1 contribution · 3,181 USD",Oprah Winfrey,Colorado Democratic Party,Donation/Grant
1358646,15125,47994,2013-08-07,2013-08-07,,5,https://littlesis.org/relationships/1358646,,,10400,"5 contributions · 10,400 USD","5 contributions · 10,400 USD",Oprah Winfrey,Cory Booker,Donation/Grant
157662,15125,28862,1997-00-00,2012-00-00,,5,https://littlesis.org/relationships/157662,,,35800,"2 contributions · 35,800 USD","2 contributions · 35,800 USD",Oprah Winfrey,Democratic National Committee,Donation/Grant
556278,15125,29954,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556278,,,4090,"1 contribution · 4,090 USD","1 contribution · 4,090 USD",Oprah Winfrey,Democratic Party of Virginia,Donation/Grant
556281,15125,30501,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556281,,,5454,"1 contribution · 5,454 USD","1 contribution · 5,454 USD",Oprah Winfrey,Democratic Party of Wisconsin,Donation/Grant
157661,15125,29155,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/157661,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Oprah Winfrey,Dscc Non-Federal Individuals,Donation/Grant
121189,15125,38674,1986-00-00,,true,1,https://littlesis.org/relationships/121189,,true,,CEO,CEO,Oprah Winfrey,HARPO Entertainment Group,Position
556282,15125,28987,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556282,,,4545,"1 contribution · 4,545 USD","1 contribution · 4,545 USD",Oprah Winfrey,Iowa Democratic Party,Donation/Grant
1671868,15125,374012,,,,5,https://littlesis.org/relationships/1671868,,,500000,"Donation/Grant · 500,000 USD","Donation/Grant · 500,000 USD",Oprah Winfrey,March for Our Lives,Donation/Grant
189381,45639,15125,,,true,8,https://littlesis.org/relationships/189381,,,,friend,friend,Maya Angelou,Oprah Winfrey,Social
1032735,15125,43857,,,true,1,https://littlesis.org/relationships/1032735,true,,,Board Member,Board Member,Oprah Winfrey,National Museum of African-American History Council,Position
556283,15125,31157,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556283,,,4545,"1 contribution · 4,545 USD","1 contribution · 4,545 USD",Oprah Winfrey,Nevada State Democratic Party,Donation/Grant
556277,15125,29068,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556277,,,1363,"1 contribution · 1,363 USD","1 contribution · 1,363 USD",Oprah Winfrey,New Hampshire Democratic Party,Donation/Grant
1358648,15125,29360,2013-10-08,2013-10-08,,5,https://littlesis.org/relationships/1358648,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Oprah Winfrey,New Jersey Democratic State Committee,Donation/Grant
556280,15125,30000,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/556280,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Oprah Winfrey,Ohio Democratic Party,Donation/Grant
121190,15125,38675,,,,1,https://littlesis.org/relationships/121190,,true,,Position,Position,Oprah Winfrey,Oprah Book Club,Position
121191,15125,38676,,,true,1,https://littlesis.org/relationships/121191,,,,Partner,Partner,Oprah Winfrey,"Oxygen Media, LLC",Position
1046059,15125,38676,1998-00-00,2007-00-00,,10,https://littlesis.org/relationships/1046059,,,,Co-Founder,Co-Founder,Oprah Winfrey,"Oxygen Media, LLC",Ownership
1471718,90097,15125,,,,8,https://littlesis.org/relationships/1471718,,,,"friend ",friend,Princess Ameerah Al-Taweel,Oprah Winfrey,Social
29928,15125,15124,,,true,2,https://littlesis.org/relationships/29928,,,,Bachelor of Arts / Science,Bachelor of Arts / Science,Oprah Winfrey,Tennessee State University,Education
1651370,368337,15125,2009-00-00,,,12,https://littlesis.org/relationships/1651370,,,,Attended Launch,Attended Launch,The Good Club,Oprah Winfrey,Generic
210343,81491,15125,,,true,9,https://littlesis.org/relationships/210343,,,,busness partner,business partner,Thomas E Freston,Oprah Winfrey,Professional
598634,15125,128692,,,true,10,https://littlesis.org/relationships/598634,,,,Investor,Investor,Oprah Winfrey,Waywire,Ownership
1012657,15125,68136,2015-00-00,,,10,https://littlesis.org/relationships/1012657,,,,Owner,Owner,Oprah Winfrey,Weight Watchers International Inc,Ownership
1111676,15125,226529,1984-00-00,,,1,https://littlesis.org/relationships/1111676,,,,Morning talk show host,Morning talk show host,Oprah Winfrey,WLS-TV,Position
1167455,15125,44048,,,,6,https://littlesis.org/relationships/1167455,,,,Client,Representative,Oprah Winfrey,WME/IMG,Service/Transaction
