id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
93014,3865,42310,2006-12-01,2008-08-00,,1,https://littlesis.org/relationships/93014,,true,,CEO,CEO,Patricia F Russo,Alcatel-Lucent SA,Position
1030347,3865,164054,2002-00-00,2006-00-00,,1,https://littlesis.org/relationships/1030347,,true,,CEO,CEO,Patricia F Russo,Alcatel-Lucent USA Inc.,Position
269324,3865,81,2008-11-00,,true,1,https://littlesis.org/relationships/269324,true,false,,Board Member,Board Member,Patricia F Russo,Alcoa Inc.,Position
93041,3865,33791,,,true,3,https://littlesis.org/relationships/93041,,,,Member,Member,Patricia F Russo,Business Roundtable,Membership
267947,3865,4,,2015-00-00,true,1,https://littlesis.org/relationships/267947,true,,,Lead Director (Board of Directors),Lead Director (Board of Directors),Patricia F Russo,General Motors Company,Position
835542,3865,28776,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/835542,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Patricia F Russo,George W Bush,Donation/Grant
1030348,3865,15196,,1973-00-00,,2,https://littlesis.org/relationships/1030348,,,,"Bachelor's Degree, Political Science","Bachelor's Degree, Political Science",Patricia F Russo,Georgetown University,Education
1452307,3865,79959,2015-00-00,,,1,https://littlesis.org/relationships/1452307,,,,Chairman of the (Supervisory) Board,Chairman of the (Supervisory) Board,Patricia F Russo,Hewlett Packard Enterprise Company,Position
564131,3865,14,,2015-00-00,,1,https://littlesis.org/relationships/564131,,,,Lead Independent Director (Board of Directors),Lead Independent Director (Board of Directors),Patricia F Russo,Hewlett-Packard,Position
414426,3865,33577,2011-03-00,,true,1,https://littlesis.org/relationships/414426,true,false,,Board Member,Board Member,Patricia F Russo,KKR & Co. L.P.,Position
1421438,3865,39762,,2015-00-00,true,1,https://littlesis.org/relationships/1421438,true,,,Independent Director,Independent Director,Patricia F Russo,Merck & Co. Inc.,Position
835541,3865,13285,2004-00-00,2006-00-00,,5,https://littlesis.org/relationships/835541,,,4950,"5 contributions · 4,950 USD","5 contributions · 4,950 USD",Patricia F Russo,Michael Ferguson,Donation/Grant
835543,3865,34136,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/835543,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Patricia F Russo,Mitt Romney,Donation/Grant
835539,3865,28799,2009-00-00,2010-00-00,,5,https://littlesis.org/relationships/835539,,,2020,"3 contributions · 2,020 USD","3 contributions · 2,020 USD",Patricia F Russo,National Republican Senatorial Committee,Donation/Grant
968267,3865,201403,2013-12-06,2013-12-06,,5,https://littlesis.org/relationships/968267,,,200,Donation · 200 USD,Donation · 200 USD,Patricia F Russo,Rebecca Thompson,Donation/Grant
835538,3865,28778,2006-00-00,2012-00-00,,5,https://littlesis.org/relationships/835538,,,9350,"6 contributions · 9,350 USD","6 contributions · 9,350 USD",Patricia F Russo,Republican National Committee,Donation/Grant
4314,3865,213,1995-00-00,,true,1,https://littlesis.org/relationships/4314,true,false,,Director,Director,Patricia F Russo,Schering-Plough Corporation,Position
835540,3865,41933,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/835540,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Patricia F Russo,Sharron E Angle,Donation/Grant
