id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
157584,2919,13273,1999-00-00,2018-03-21,false,5,https://littlesis.org/relationships/157584,,,28300,"18 contributions · 28,300 USD","18 contributions · 28,300 USD",Safra A Catz,Anna Eshoo,Donation/Grant
1505642,2919,245347,2016-10-24,2016-10-24,,5,https://littlesis.org/relationships/1505642,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Safra A Catz,Ayotte Victory Committee,Donation/Grant
1505644,2919,13308,2014-03-31,2014-03-31,,5,https://littlesis.org/relationships/1505644,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Safra A Catz,Bob Goodlatte,Donation/Grant
1505622,2919,235330,2013-03-28,2014-11-04,,5,https://littlesis.org/relationships/1505622,,,20000,"2 contributions · 20,000 USD","2 contributions · 20,000 USD",Safra A Catz,Boehner for Speaker Cmte,Donation/Grant
1505615,2919,28912,2008-07-31,2008-07-31,,5,https://littlesis.org/relationships/1505615,,,4600,"1 contribution · 4,600 USD","1 contribution · 4,600 USD",Safra A Catz,California Republican Party/V8,Donation/Grant
638829,2919,13575,2010-00-00,2015-04-02,,5,https://littlesis.org/relationships/638829,,,7800,"3 contributions · 7,800 USD","3 contributions · 7,800 USD",Safra A Catz,Chuck Schumer,Donation/Grant
1505639,2919,241318,2014-09-10,2014-09-10,,5,https://littlesis.org/relationships/1505639,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Safra A Catz,Crowley Leadership Fund,Donation/Grant
157609,2919,13431,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157609,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Safra A Catz,Daniel Edward Lungren,Donation/Grant
157606,2919,13259,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157606,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Safra A Catz,David Timothy Dreier,Donation/Grant
638830,2919,28670,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/638830,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Safra A Catz,Democratic Congressional Campaign Committee,Donation/Grant
1505629,2919,28670,2010-10-18,2010-10-18,,5,https://littlesis.org/relationships/1505629,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Safra A Catz,Democratic Congressional Campaign Committee,Donation/Grant
157585,2919,28862,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/157585,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Safra A Catz,Democratic National Committee,Donation/Grant
1606052,2919,13502,2017-10-16,2017-11-29,false,5,https://littlesis.org/relationships/1606052,,,5200,"4 contributions · 5,200 USD","4 contributions · 5,200 USD",Safra A Catz,Devin Nunes,Donation/Grant
157583,2919,13284,2000-00-00,2006-04-27,,5,https://littlesis.org/relationships/157583,,,9400,"5 contributions · 9,400 USD","5 contributions · 9,400 USD",Safra A Catz,Dianne Feinstein,Donation/Grant
157608,2919,13623,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157608,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Safra A Catz,Ellen O'Kane Tauscher,Donation/Grant
157611,2919,13151,2006-00-00,2015-06-08,,5,https://littlesis.org/relationships/157611,,,7200,"6 contributions · 7,200 USD","6 contributions · 7,200 USD",Safra A Catz,Eric Cantor,Donation/Grant
1505625,2919,118493,2014-09-05,2014-09-05,,5,https://littlesis.org/relationships/1505625,,,2600,"1 contribution · 2,600 USD","1 contribution · 2,600 USD",Safra A Catz,Eric Swalwell,Donation/Grant
157605,2919,42231,2005-00-00,2005-00-00,,5,https://littlesis.org/relationships/157605,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Safra A Catz,Every Republican is Crucial PAC,Donation/Grant
1505624,2919,242977,2013-03-31,2013-03-31,,5,https://littlesis.org/relationships/1505624,,,4800,"1 contribution · 4,800 USD","1 contribution · 4,800 USD",Safra A Catz,Freedom Project,Donation/Grant
157601,2919,13681,2005-00-00,2005-06-22,,5,https://littlesis.org/relationships/157601,,,8400,"5 contributions · 8,400 USD","5 contributions · 8,400 USD",Safra A Catz,George Allen,Donation/Grant
1505634,2919,248475,2014-03-31,2014-03-31,,5,https://littlesis.org/relationships/1505634,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Safra A Catz,Goodlatte Victory Cmte,Donation/Grant
157595,2919,13600,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/157595,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Safra A Catz,Gordon Harold Smith,Donation/Grant
157594,2919,13466,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/157594,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Safra A Catz,Gregory W Meeks,Donation/Grant
