id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
157427,1156,30036,2002-00-00,2002-00-00,,5,https://littlesis.org/relationships/157427,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sallie L Krawcheck,Alexander M Sanders Jr,Donation/Grant
124135,1156,9,2009-08-03,,false,1,https://littlesis.org/relationships/124135,false,true,,"Head, global wealth and investment management unit","Head, global wealth and investment management unit",Sallie L Krawcheck,Bank of America Corporation,Position
456225,1156,13294,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/456225,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,Barney Frank,Donation/Grant
157425,1156,13986,1999-00-00,2000-00-00,,5,https://littlesis.org/relationships/157425,,,3000,"3 contributions · 3,000 USD","3 contributions · 3,000 USD",Sallie L Krawcheck,Bill Bradley,Donation/Grant
148853,1156,477,2009-10-00,,false,1,https://littlesis.org/relationships/148853,true,false,,Director,Director,Sallie L Krawcheck,"BlackRock, Inc.",Position
590137,1156,4115,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590137,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sallie L Krawcheck,Bob Kerrey,Donation/Grant
240318,1156,37232,,,true,1,https://littlesis.org/relationships/240318,true,,,Board of Trustees,Board of Trustees,Sallie L Krawcheck,Carnegie Hall,Position
157428,1156,37994,2003-00-00,2007-00-00,,5,https://littlesis.org/relationships/157428,,,21000,"5 contributions · 21,000 USD","5 contributions · 21,000 USD",Sallie L Krawcheck,Citigroup Inc. Political Action Committee - Federal/State,Donation/Grant
182,1156,8,,2008-00-00,false,1,https://littlesis.org/relationships/182,false,true,,Chairman (CEO Global Wealth Mgt),Chairman (CEO Global Wealth Mgt),Sallie L Krawcheck,Citigroup Inc.,Position
1021965,1156,8,2002-00-00,2007-03-00,,1,https://littlesis.org/relationships/1021965,,true,,CFO,CFO,Sallie L Krawcheck,Citigroup Inc.,Position
372627,1156,34985,,,true,1,https://littlesis.org/relationships/372627,true,,,"member, board of overseers","member, board of overseers",Sallie L Krawcheck,Columbia Business School,Position
157435,1156,29075,2007-00-00,2009-00-00,,5,https://littlesis.org/relationships/157435,,,15000,"3 contributions · 15,000 USD","3 contributions · 15,000 USD",Sallie L Krawcheck,Dell Inc. Employee Political Action Committee,Donation/Grant
794,1156,34,2006-00-00,2009-09-00,false,1,https://littlesis.org/relationships/794,true,false,,Director,Director,Sallie L Krawcheck,Dell Inc,Position
157438,1156,28856,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157438,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Sallie L Krawcheck,Democratic Senatorial Campaign Committee,Donation/Grant
157430,1156,13770,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/157430,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,Dick Gephardt,Donation/Grant
148852,1156,37806,,,true,1,https://littlesis.org/relationships/148852,true,false,,Trustee,Trustee,Sallie L Krawcheck,Economic Club of New York,Position
1694276,1156,379967,,,true,1,https://littlesis.org/relationships/1694276,,,,Co founder,Co founder,Sallie L Krawcheck,Ellevest,Position
157426,1156,28776,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/157426,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sallie L Krawcheck,George W Bush,Donation/Grant
157434,1156,13541,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157434,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sallie L Krawcheck,Harry Reid,Donation/Grant
157431,1156,13191,2003-00-00,2005-00-00,,5,https://littlesis.org/relationships/157431,,,5700,"3 contributions · 5,700 USD","3 contributions · 5,700 USD",Sallie L Krawcheck,Hillary Clinton,Donation/Grant
1048403,1156,224658,,,true,1,https://littlesis.org/relationships/1048403,true,,,Board Member,Board Member,Sallie L Krawcheck,International Advisory Committee of the Federal Reserve Bank of New York,Position
157437,1156,13453,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157437,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,James O McCrery III,Donation/Grant
753279,1156,146742,2002-00-00,,,3,https://littlesis.org/relationships/753279,,,,Member,Member,Sallie L Krawcheck,Kappa Beta Phi,Membership
590136,1156,13302,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590136,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Sallie L Krawcheck,Kirsten Gillibrand,Donation/Grant
157424,1156,13937,1998-00-00,1998-00-00,,5,https://littlesis.org/relationships/157424,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sallie L Krawcheck,Lauch Faircloth,Donation/Grant
157432,1156,13219,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157432,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,Mike Crapo,Donation/Grant
157439,1156,28799,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157439,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Sallie L Krawcheck,National Republican Senatorial Committee,Donation/Grant
157429,1156,13587,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/157429,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,Richard Shelby,Donation/Grant
157433,1156,13731,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157433,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Sallie L Krawcheck,Rob Portman,Donation/Grant
157436,1156,29076,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/157436,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Sallie L Krawcheck,Securities Industry and Financial Markets Association Political Action Committee,Donation/Grant
90607,1156,33340,,,true,1,https://littlesis.org/relationships/90607,,,,Director,Director,Sallie L Krawcheck,Securities Industry and Financial Markets Association,Position
590138,1156,13348,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590138,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Sallie L Krawcheck,Steny Hoyer,Donation/Grant
757087,1156,33907,,1987-00-00,,2,https://littlesis.org/relationships/757087,,,,Bachelor's Degree,Bachelor's Degree,Sallie L Krawcheck,University of North Carolina Chapel Hill,Education
