id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
91562,33411,33845,,,false,8,https://littlesis.org/relationships/91562,,,,tennis partner,tennis partner,Sandra Day O'Connor,Barbara Bush,Social
119035,37792,33411,,,false,1,https://littlesis.org/relationships/119035,,,,Clerk,Clerk,Gretchen Rubin,Sandra Day O'Connor,Position
90785,33411,33291,2006-00-00,,,3,https://littlesis.org/relationships/90785,,,,Member,Member,Sandra Day O'Connor,Iraq Study Group,Membership
320245,1323,33411,,,false,1,https://littlesis.org/relationships/320245,,,,Clerk,Clerk,Ivan K Fong,Sandra Day O'Connor,Position
898364,33411,37582,,,true,1,https://littlesis.org/relationships/898364,true,,,Board Member,Board Member,Sandra Day O'Connor,National Constitution Center,Position
214943,33411,47596,,,true,1,https://littlesis.org/relationships/214943,true,false,,Board Member,Board Member,Sandra Day O'Connor,National Museum of Natural History,Position
551965,33411,100947,,,,3,https://littlesis.org/relationships/551965,,,,Member,Member,Sandra Day O'Connor,Pilgrims of the United States,Membership
119146,33411,37815,,,,1,https://littlesis.org/relationships/119146,true,,,Trustee,Trustee,Sandra Day O'Connor,Rockefeller Foundation,Position
117177,33411,34428,,1952-00-00,false,2,https://littlesis.org/relationships/117177,,,,LLB,LLB,Sandra Day O'Connor,Stanford School of Law,Education
117176,33411,14938,,1950-00-00,false,2,https://littlesis.org/relationships/117176,,,,"BA, Economics","BA, Economics",Sandra Day O'Connor,Stanford University,Education
91563,33411,33846,1981-00-00,2006-00-00,false,1,https://littlesis.org/relationships/91563,,,,Associate Justice,Associate Justice,Sandra Day O'Connor,Supreme Court of the United States,Position
589511,127885,33411,,,false,1,https://littlesis.org/relationships/589511,,,,clerk,clerk,Traci L Lovitt,Sandra Day O'Connor,Position
320244,2317,33411,1994-00-00,1995-00-00,,1,https://littlesis.org/relationships/320244,,,,Clerk,Clerk,Viet D Dinh,Sandra Day O'Connor,Position
