id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
725272,3473,140238,2011-00-00,,true,1,https://littlesis.org/relationships/725272,,true,,Co-Founder and Managing Partner,Co-Founder and Managing Partner,Shari E Redstone,Advancit Capital LLC,Position
475199,3473,34141,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/475199,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Shari E Redstone,Bill Weld,Donation/Grant
1046442,3473,34243,,,,2,https://littlesis.org/relationships/1046442,,,,JD,JD,Shari E Redstone,Boston University School of Law,Education
1675986,3473,375265,,,true,4,https://littlesis.org/relationships/1675986,,,,son,mother,Shari E Redstone,Brandon Korff,Family
475194,3473,32827,2002-00-00,2002-00-00,,5,https://littlesis.org/relationships/475194,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Shari E Redstone,Chellie Pingree,Donation/Grant
644039,3473,133626,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/644039,,,15000,"1 contribution · 15,000 USD","1 contribution · 15,000 USD",Shari E Redstone,Committee to Elect AN Effective Congress,Donation/Grant
283595,3473,38098,,,,1,https://littlesis.org/relationships/283595,true,,,trustee,trustee,Shari E Redstone,Dana-Farber Cancer Institute,Position
475197,3473,91566,2010-00-00,2015-07-02,,5,https://littlesis.org/relationships/475197,,,20400,"8 contributions · 20,400 USD","8 contributions · 20,400 USD",Shari E Redstone,David Cicilline,Donation/Grant
475201,3473,28670,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/475201,,,15000,"1 contribution · 15,000 USD","1 contribution · 15,000 USD",Shari E Redstone,Democratic Congressional Campaign Committee,Donation/Grant
475190,3473,28862,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/475190,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Shari E Redstone,Democratic National Committee,Donation/Grant
475191,3473,13191,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/475191,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Shari E Redstone,Hillary Clinton,Donation/Grant
475195,3473,13399,2002-00-00,2004-10-27,,5,https://littlesis.org/relationships/475195,,,1000,"2 contributions · 1,000 USD","2 contributions · 1,000 USD",Shari E Redstone,James Langevin,Donation/Grant
282394,3473,42219,,,true,1,https://littlesis.org/relationships/282394,true,,,Board Member,Board Member,Shari E Redstone,John F. Kennedy Library Foundation,Position
475193,3473,13377,2001-00-00,2001-00-00,,5,https://littlesis.org/relationships/475193,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Shari E Redstone,John Forbes Kerry,Donation/Grant
1675985,375264,3473,,,true,4,https://littlesis.org/relationships/1675985,,,,mother,daughter,Kimberlee Ostheimer,Shari E Redstone,Family
475200,3473,95970,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/475200,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Shari E Redstone,Martha Coakley,Donation/Grant
1359932,3473,29943,2014-10-20,2014-10-20,,5,https://littlesis.org/relationships/1359932,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Shari E Redstone,Massachusetts Republican State Congressional Committee,Donation/Grant
1359934,3473,242285,2014-10-10,2014-10-10,,5,https://littlesis.org/relationships/1359934,,,25000,"1 contribution · 25,000 USD","1 contribution · 25,000 USD",Shari E Redstone,Massachusetts Victory Cmte,Donation/Grant
644036,3473,34136,2011-00-00,2012-04-27,,5,https://littlesis.org/relationships/644036,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Shari E Redstone,Mitt Romney,Donation/Grant
1675895,3473,104833,,,true,1,https://littlesis.org/relationships/1675895,true,,,Board Member,Board Member,Shari E Redstone,National Amusements Inc.,Position
644037,3473,28803,2012-00-00,2012-11-02,,5,https://littlesis.org/relationships/644037,,,18750,"2 contributions · 18,750 USD","2 contributions · 18,750 USD",Shari E Redstone,National Republican Congressional Committee,Donation/Grant
644035,3473,28799,2012-00-00,2012-11-02,,5,https://littlesis.org/relationships/644035,,,18750,"2 contributions · 18,750 USD","2 contributions · 18,750 USD",Shari E Redstone,National Republican Senatorial Committee,Donation/Grant
644038,3473,28778,2012-00-00,2014-10-10,,5,https://littlesis.org/relationships/644038,,,45800,"2 contributions · 45,800 USD","2 contributions · 45,800 USD",Shari E Redstone,Republican National Committee,Donation/Grant
