id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
559621,33691,13388,2011-00-00,2016-09-27,,5,https://littlesis.org/relationships/559621,,,5200,"2 contributions · 5,200 USD","2 contributions · 5,200 USD",Sheryl K Sandberg,Amy Klobuchar,Donation/Grant
1462825,33691,326444,2015-08-20,2015-08-20,true,5,https://littlesis.org/relationships/1462825,,,2000,"Donation · 2,000 USD","Donation · 2,000 USD",Sheryl K Sandberg,Ann Rowe,Donation/Grant
147461,33691,13273,2006-00-00,2016-04-21,,5,https://littlesis.org/relationships/147461,,,49900,"13 contributions · 49,900 USD","13 contributions · 49,900 USD",Sheryl K Sandberg,Anna Eshoo,Donation/Grant
147459,33691,13503,2008-00-00,2011-00-00,,5,https://littlesis.org/relationships/147459,,,78500,"7 contributions · 78,500 USD","7 contributions · 78,500 USD",Sheryl K Sandberg,Barack Obama,Donation/Grant
1430257,33691,13105,2013-04-26,2013-04-26,,5,https://littlesis.org/relationships/1430257,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Sheryl K Sandberg,Barbara Boxer,Donation/Grant
380087,33691,39340,,,true,1,https://littlesis.org/relationships/380087,true,,,trustee,trustee,Sheryl K Sandberg,Bay Area Council,Position
1430271,33691,245692,2016-06-23,2016-06-23,,5,https://littlesis.org/relationships/1430271,,,10800,"2 contributions · 10,800 USD","2 contributions · 10,800 USD",Sheryl K Sandberg,Bennet Colorado Victory,Donation/Grant
91352,33691,33171,,,true,1,https://littlesis.org/relationships/91352,true,,,Trustee,Trustee,Sheryl K Sandberg,Brookings Institution,Position
1430255,33691,13575,2015-04-02,2015-04-02,,5,https://littlesis.org/relationships/1430255,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Sheryl K Sandberg,Chuck Schumer,Donation/Grant
559617,33691,13446,2011-00-00,2011-06-20,,5,https://littlesis.org/relationships/559617,,,7500,"3 contributions · 7,500 USD","3 contributions · 7,500 USD",Sheryl K Sandberg,Claire McCaskill,Donation/Grant
1430290,33691,30730,2016-08-01,2016-08-01,,5,https://littlesis.org/relationships/1430290,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Sheryl K Sandberg,Colorado Democratic Party,Donation/Grant
1430258,33691,47994,2013-06-13,2013-06-13,,5,https://littlesis.org/relationships/1430258,,,2600,"1 contribution · 2,600 USD","1 contribution · 2,600 USD",Sheryl K Sandberg,Cory Booker,Donation/Grant
407637,93761,33691,,,,4,https://littlesis.org/relationships/407637,,,,wife,husband,Dave Goldberg,Sheryl K Sandberg,Family
