id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1619360,43467,30811,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619360,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Alaska Democratic Party,Donation/Grant
1464182,43467,93385,,,true,4,https://littlesis.org/relationships/1464182,,,,sister,sister,Susan Wojcicki,Anne E Wojcicki,Family
1619385,43467,90798,,,false,1,https://littlesis.org/relationships/1619385,,,,Position,Position,Susan Wojcicki,"Bain & Company, Inc.",Position
659533,43467,13503,2012-00-00,2012-05-12,false,5,https://littlesis.org/relationships/659533,,,40800,"3 contributions · 40,800 USD","3 contributions · 40,800 USD",Susan Wojcicki,Barack Obama,Donation/Grant
1619349,43467,13575,2015-05-07,2015-05-07,false,5,https://littlesis.org/relationships/1619349,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Susan Wojcicki,Chuck Schumer,Donation/Grant
1619371,43467,30730,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619371,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Colorado Democratic Party,Donation/Grant
659534,43467,28862,2012-00-00,2013-11-30,false,5,https://littlesis.org/relationships/659534,,,63200,"2 contributions · 63,200 USD","2 contributions · 63,200 USD",Susan Wojcicki,Democratic National Committee,Donation/Grant
1619376,43467,32278,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619376,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic Party of New Mexico,Donation/Grant
1619382,43467,30402,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619382,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic Party of Oregon,Donation/Grant
1619368,43467,29954,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619368,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic Party of Virginia,Donation/Grant
1619369,43467,30501,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619369,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic Party of Wisconsin,Donation/Grant
1619365,43467,29110,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619365,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic State Central Committee of LA,Donation/Grant
1619363,43467,30052,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619363,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Democratic State Committee Delaware,Donation/Grant
147567,43467,43468,,,,4,https://littlesis.org/relationships/147567,,,,Husband,Wife,Susan Wojcicki,Dennis Troper,Family
147573,43467,43469,,,,4,https://littlesis.org/relationships/147573,,,,Mother,Daughter,Susan Wojcicki,Esther Wojcicki,Family
1619356,43467,30571,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619356,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Georgia Federal Elections Committee,Donation/Grant
147577,43467,30709,2008-00-00,2018-07-27,false,5,https://littlesis.org/relationships/147577,,,32200,"48 contributions · 32,200 USD","48 contributions · 32,200 USD",Susan Wojcicki,Google Inc. Google Netpac,Donation/Grant
147569,43467,151,,2015-00-00,,1,https://littlesis.org/relationships/147569,,,,Senior Vice President YouTube,Senior Vice President YouTube,Susan Wojcicki,Google Inc.,Position
1619384,43467,151,,,false,1,https://littlesis.org/relationships/1619384,,,,Senior Vice President of Advertising & Commerce,Senior Vice President of Advertising & Commerce,Susan Wojcicki,Google Inc.,Position
147571,43467,14730,,,,2,https://littlesis.org/relationships/147571,,,,School,Student,Susan Wojcicki,Harvard University,Education
1619350,43467,13191,2015-06-26,2016-10-12,false,5,https://littlesis.org/relationships/1619350,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Susan Wojcicki,Hillary Clinton,Donation/Grant
1619366,43467,243422,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619366,,,50000,"1 contribution · 50,000 USD","1 contribution · 50,000 USD",Susan Wojcicki,Hillary Victory Fund,Donation/Grant
1619367,43467,29623,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619367,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Indiana Democratic Congressional Victory Committee,Donation/Grant
147570,43467,61,,,false,1,https://littlesis.org/relationships/147570,,,,Position,Position,Susan Wojcicki,Intel Corporation,Position
1619355,43467,28987,2016-11-03,2016-11-03,false,5,https://littlesis.org/relationships/1619355,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Iowa Democratic Party,Donation/Grant
1638987,43467,365610,2020-01-00,,,12,https://littlesis.org/relationships/1638987,,,,Affiliation,host,Susan Wojcicki,Israel Collaboration Network (ICON),Generic
1619351,43467,92446,2016-01-27,2016-01-27,false,5,https://littlesis.org/relationships/1619351,,,10800,"3 contributions · 10,800 USD","3 contributions · 10,800 USD",Susan Wojcicki,Kamala Harris,Donation/Grant
1619370,43467,30372,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619370,,,730,2 contributions · 730 USD,2 contributions · 730 USD,Susan Wojcicki,Kentucky State Democratic Central Executive Committee,Donation/Grant
1634220,43467,60317,1998-00-00,,false,6,https://littlesis.org/relationships/1634220,,,,Renter,Landlord,Susan Wojcicki,Lawrence Page,Service/Transaction
1619372,43467,30006,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619372,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Maine Democratic State Committee,Donation/Grant
1623653,75099,43467,,,true,12,https://littlesis.org/relationships/1623653,,,,Affiliation,"acquaintance ",Marc Benioff,Susan Wojcicki,Generic
1619353,43467,31980,2016-10-12,2016-10-12,false,5,https://littlesis.org/relationships/1619353,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Susan Wojcicki,Massachusetts Democratic State Committee - Fed Fund,Donation/Grant
