id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
626285,1373,15064,,,true,1,https://littlesis.org/relationships/626285,,,,investment committee member,investment committee member,Zoe Cruz,Bowdoin College,Position
324200,1373,13248,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/324200,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Zoe Cruz,Chris Dodd,Donation/Grant
324198,1373,28776,1999-00-00,2003-00-00,,5,https://littlesis.org/relationships/324198,,,3000,"2 contributions · 3,000 USD","2 contributions · 3,000 USD",Zoe Cruz,George W Bush,Donation/Grant
230575,1373,48938,,,,1,https://littlesis.org/relationships/230575,true,,,Board Member,Board Member,Zoe Cruz,Harlem Children's Zone,Position
352903,1373,33342,,1982-00-00,,2,https://littlesis.org/relationships/352903,,,,MBA,MBA,Zoe Cruz,Harvard Business School,Education
356326,1373,14730,,1977-00-00,,2,https://littlesis.org/relationships/356326,,,,BA,BA,Zoe Cruz,Harvard University,Education
324204,1373,13191,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/324204,,,4300,"2 contributions · 4,300 USD","2 contributions · 4,300 USD",Zoe Cruz,Hillary Clinton,Donation/Grant
324203,1373,13537,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/324203,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Zoe Cruz,Jack Reed,Donation/Grant
324199,1373,13443,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/324199,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Zoe Cruz,John S. McCain III,Donation/Grant
324206,1373,13937,1998-00-00,1998-00-00,,5,https://littlesis.org/relationships/324206,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Zoe Cruz,Lauch Faircloth,Donation/Grant
324207,1373,13219,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/324207,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Zoe Cruz,Mike Crapo,Donation/Grant
324197,1373,36744,1989-00-00,1996-00-00,,5,https://littlesis.org/relationships/324197,,,5500,"4 contributions · 5,500 USD","4 contributions · 5,500 USD",Zoe Cruz,Morgan Stanley & Co Incorporated Better Government Fund,Donation/Grant
324201,1373,29417,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/324201,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Zoe Cruz,Morgan Stanley Political Action Committee,Donation/Grant
468,1373,21,2005-00-00,2007-00-00,false,1,https://littlesis.org/relationships/468,false,true,,Co-President,Co-President,Zoe Cruz,Morgan Stanley,Position
324202,1373,28801,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/324202,,,2200,"1 contribution · 2,200 USD","1 contribution · 2,200 USD",Zoe Cruz,Rudy Giuliani,Donation/Grant
324205,1373,29092,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/324205,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Zoe Cruz,Securities Industry and Financial Markets Association Fund a,Donation/Grant
221970,1373,48553,2009-00-00,,true,1,https://littlesis.org/relationships/221970,,true,,Founder,Founder,Zoe Cruz,Voras Capital Management,Position
