id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
157444,14943,43859,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/157444,,,200,1 contribution · 200 USD,1 contribution · 200 USD,Abigail Johnson,Alexander T Tennant,Donation/Grant
157456,14943,32393,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157456,,,750,1 contribution · 750 USD,1 contribution · 750 USD,Abigail Johnson,Back America's Conservatives PAC (Bac PAC),Donation/Grant
157463,14943,13503,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157463,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,Barack Obama,Donation/Grant
157464,14943,13294,2006-00-00,2010-00-00,,5,https://littlesis.org/relationships/157464,,,6800,"3 contributions · 6,800 USD","3 contributions · 6,800 USD",Abigail Johnson,Barney Frank,Donation/Grant
511719,14943,34141,1996-00-00,1996-09-30,,5,https://littlesis.org/relationships/511719,,,1000,"2 contributions · 1,000 USD","2 contributions · 1,000 USD",Abigail Johnson,Bill Weld,Donation/Grant
157457,14943,120176,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/157457,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Abigail Johnson,Blanche L Lincoln,Donation/Grant
157451,14943,42582,2001-00-00,2001-00-00,,5,https://littlesis.org/relationships/157451,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,Bob Smith,Donation/Grant
1320796,14943,235330,2014-05-06,2014-05-06,,5,https://littlesis.org/relationships/1320796,,,2600,"1 contribution · 2,600 USD","1 contribution · 2,600 USD",Abigail Johnson,Boehner for Speaker Cmte,Donation/Grant
1661945,14943,75691,,,false,1,https://littlesis.org/relationships/1661945,,,,consultant,consultant,Abigail Johnson,Booz Allen Hamilton Holding Corporation,Position
1662259,14943,75691,,,false,1,https://littlesis.org/relationships/1662259,,,,consultant,consultant,Abigail Johnson,Booz Allen Hamilton Holding Corporation,Position
157470,14943,13248,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/157470,,,2300,"1 contribution · 2,300 USD","1 contribution · 2,300 USD",Abigail Johnson,Chris Dodd,Donation/Grant
867570,77545,14943,1988-06-00,,true,4,https://littlesis.org/relationships/867570,,,,wife,husband,Christopher J McKown,Abigail Johnson,Family
1387035,14943,77545,1988-00-00,,true,4,https://littlesis.org/relationships/1387035,,,,husband,wife,Abigail Johnson,Christopher J McKown,Family
1336510,14943,274162,2015-10-01,,true,1,https://littlesis.org/relationships/1336510,true,false,,Non-Executive Director,Non-Executive Director,Abigail Johnson,Colt Group S.A.,Position
250458,14943,45367,,,true,1,https://littlesis.org/relationships/250458,true,,,Committee Member,Committee Member,Abigail Johnson,Committee on Capital Markets Regulation,Position
1320791,14943,28862,2016-08-08,2016-10-21,false,5,https://littlesis.org/relationships/1320791,,,91079,"3 contributions · 91,079 USD","3 contributions · 91,079 USD",Abigail Johnson,Democratic National Committee,Donation/Grant
1387043,14943,284716,,,true,1,https://littlesis.org/relationships/1387043,,,,Board Member,Board Member,Abigail Johnson,Edward C. Johnson Fund,Position
117580,14943,14963,,,true,4,https://littlesis.org/relationships/117580,,,,Father,daughter,Abigail Johnson,Edward Johnson III,Family
327435,77248,14943,,,true,4,https://littlesis.org/relationships/327435,,,,sister,brother,Edward Johnson IV,Abigail Johnson,Family
1387063,152690,14943,,,true,4,https://littlesis.org/relationships/1387063,,,,daughter,mother,Elizabeth B Johnson,Abigail Johnson,Family
1387052,278912,14943,,,true,4,https://littlesis.org/relationships/1387052,,,,sister,sister,Elizabeth L Johnson,Abigail Johnson,Family
157466,14943,13020,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/157466,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,Evan Bayh,Donation/Grant
1526763,14943,284724,,,true,1,https://littlesis.org/relationships/1526763,true,,,Trustee,Trustee,Abigail Johnson,Fidelity Foundation,Position
1437622,14943,116271,,,true,1,https://littlesis.org/relationships/1437622,,,,Chairman,Chairman,Abigail Johnson,Fidelity Investments Limited,Position
117582,14943,90207,,,true,1,https://littlesis.org/relationships/117582,true,true,,"President, Fidelity Personal and Workplace Investing; Director, FMR LLC","President, Fidelity Personal and Workplace Investing; Director, FMR LLC",Abigail Johnson,Fidelity Investments,Position
374194,14943,90207,,,true,10,https://littlesis.org/relationships/374194,,,,largest single shareholder,largest single shareholder,Abigail Johnson,Fidelity Investments,Ownership
1353288,14943,90207,,,true,1,https://littlesis.org/relationships/1353288,,,,CEO,CEO,Abigail Johnson,Fidelity Investments,Position
1475532,14943,75980,2016-00-00,,,1,https://littlesis.org/relationships/1475532,,,,CEO,CEO,Abigail Johnson,Fidelity Management & Research Company,Position
157446,14943,32701,1996-00-00,2010-00-00,,5,https://littlesis.org/relationships/157446,,,15000,"5 contributions · 15,000 USD","5 contributions · 15,000 USD",Abigail Johnson,Fmr LLC Political Action Committee (Fidelity PAC),Donation/Grant
550828,14943,77247,2011-00-00,2013-12-27,,5,https://littlesis.org/relationships/550828,,,10000,"2 contributions · 10,000 USD","2 contributions · 10,000 USD",Abigail Johnson,Fmr LLC Political Action Committee - Federal (Fidelity PAC),Donation/Grant
157454,14943,28776,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/157454,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Abigail Johnson,George W Bush,Donation/Grant
1320798,14943,13541,2009-06-18,2009-06-18,,5,https://littlesis.org/relationships/1320798,,,2400,"1 contribution · 2,400 USD","1 contribution · 2,400 USD",Abigail Johnson,Harry Reid,Donation/Grant
1675322,14943,33342,,,,2,https://littlesis.org/relationships/1675322,,,,MBA,MBA,Abigail Johnson,Harvard Business School,Education
1387044,14943,36850,,,,5,https://littlesis.org/relationships/1387044,,,100000,"donation · 100,000 USD","donation · 100,000 USD",Abigail Johnson,Harvard Medical School,Donation/Grant
1659731,14943,117229,2017-07-17,2017-07-17,false,5,https://littlesis.org/relationships/1659731,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,Heidi Heitkamp,Donation/Grant
1320793,14943,252796,2016-10-20,2016-10-21,,5,https://littlesis.org/relationships/1320793,,,200079,"2 contributions · 200,079 USD","2 contributions · 200,079 USD",Abigail Johnson,Hillary Action Fund,Donation/Grant
1320794,14943,13191,2016-08-08,2016-08-08,,5,https://littlesis.org/relationships/1320794,,,2700,"1 contribution · 2,700 USD","1 contribution · 2,700 USD",Abigail Johnson,Hillary Clinton,Donation/Grant
1320792,14943,243422,2016-08-08,2016-08-08,,5,https://littlesis.org/relationships/1320792,,,15000,"1 contribution · 15,000 USD","1 contribution · 15,000 USD",Abigail Johnson,Hillary Victory Fund,Donation/Grant
29763,14943,14942,,,true,2,https://littlesis.org/relationships/29763,,,,Bachelor of Arts / Science,Bachelor of Arts / Science,Abigail Johnson,Hobart and William Smith Colleges,Education
1387037,14943,284711,,,true,10,https://littlesis.org/relationships/1387037,,,,Owner,Investor,Abigail Johnson,Iora Health,Ownership
157459,14943,13135,2003-00-00,2004-00-00,,5,https://littlesis.org/relationships/157459,,,4000,"2 contributions · 4,000 USD","2 contributions · 4,000 USD",Abigail Johnson,James Paul David Bunning,Donation/Grant
1320788,14943,34003,2015-09-30,2015-09-30,,5,https://littlesis.org/relationships/1320788,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Abigail Johnson,Jeb Bush,Donation/Grant
550829,14943,13083,2011-00-00,2014-05-06,,5,https://littlesis.org/relationships/550829,,,5100,"2 contributions · 5,100 USD","2 contributions · 5,100 USD",Abigail Johnson,John Boehner,Donation/Grant
157447,14943,13377,1997-00-00,2000-00-00,,5,https://littlesis.org/relationships/157447,,,3000,"5 contributions · 3,000 USD","5 contributions · 3,000 USD",Abigail Johnson,John Forbes Kerry,Donation/Grant
157449,14943,13443,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/157449,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,John S. McCain III,Donation/Grant
1659732,14943,78907,2017-05-08,2017-05-08,false,5,https://littlesis.org/relationships/1659732,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Abigail Johnson,Jon Tester,Donation/Grant
550825,14943,91555,2011-00-00,2015-06-02,,5,https://littlesis.org/relationships/550825,,,5400,"5 contributions · 5,400 USD","5 contributions · 5,400 USD",Abigail Johnson,Kelly Ayotte,Donation/Grant
157460,14943,13152,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/157460,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Abigail Johnson,Maria E Cantwell,Donation/Grant
