id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1366557,51181,30811,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366557,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Alaska Democratic Party,Donation/Grant
512764,51181,13660,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/512764,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Anne M Finucane,Anthony D Weiner,Donation/Grant
282338,51181,48891,,,true,1,https://littlesis.org/relationships/282338,,,,oversees,oversees,Anne M Finucane,Bank of America Charitable Gift Fund,Position
257386,51181,43526,1996-00-00,1998-00-00,,5,https://littlesis.org/relationships/257386,,,3500,"2 contributions · 3,500 USD","2 contributions · 3,500 USD",Anne M Finucane,Bank of America Corporation PAC (Fka Fleetboston Financial Corporation PAC),Donation/Grant
257375,51181,29133,2005-00-00,2008-03-28,,5,https://littlesis.org/relationships/257375,,,7500,"6 contributions · 7,500 USD","6 contributions · 7,500 USD",Anne M Finucane,Bank of America Corporation State and Federal PAC,Donation/Grant
282325,51181,9,,,true,1,https://littlesis.org/relationships/282325,false,true,,Member (Executive Management Team),Member (Executive Management Team),Anne M Finucane,Bank of America Corporation,Position
257383,51181,13503,2008-00-00,2012-00-00,,5,https://littlesis.org/relationships/257383,,,29000,"5 contributions · 29,000 USD","5 contributions · 29,000 USD",Anne M Finucane,Barack Obama,Donation/Grant
297505,13294,51181,,,,8,https://littlesis.org/relationships/297505,,,,said to be close to,said to be close to,Barney Frank,Anne M Finucane,Social
512763,51181,13294,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/512763,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Anne M Finucane,Barney Frank,Donation/Grant
661184,51181,13497,2011-00-00,2011-00-00,,5,https://littlesis.org/relationships/661184,,,2500,"1 contribution · 2,500 USD","1 contribution · 2,500 USD",Anne M Finucane,Bill Nelson,Donation/Grant
661185,51181,4115,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/661185,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Anne M Finucane,Bob Kerrey,Donation/Grant
240259,51181,37232,,,true,1,https://littlesis.org/relationships/240259,true,,,Board of Trustees,Board of Trustees,Anne M Finucane,Carnegie Hall,Position
257380,51181,13248,2007-00-00,2008-00-00,,5,https://littlesis.org/relationships/257380,,,4600,"4 contributions · 4,600 USD","4 contributions · 4,600 USD",Anne M Finucane,Chris Dodd,Donation/Grant
297507,51181,13248,,,,8,https://littlesis.org/relationships/297507,,,,said to be close to,said to be close to,Anne M Finucane,Chris Dodd,Social
512761,51181,13575,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/512761,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Anne M Finucane,Chuck Schumer,Donation/Grant
297501,51181,72603,,,,1,https://littlesis.org/relationships/297501,,,,"member, anniversary honorary committee","member, anniversary honorary committee",Anne M Finucane,Citizens for Affordable Housing in Newton Development Organization,Position
297413,51181,72568,2010-10-15,2010-10-15,,1,https://littlesis.org/relationships/297413,false,false,,co-chair of fundraiser,co-chair of fundraiser,Anne M Finucane,Citizens United for Research in Epilepsy,Position
1366542,51181,30730,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366542,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Colorado Democratic Party,Donation/Grant
1475123,51181,18116,,,true,1,https://littlesis.org/relationships/1475123,true,,,Board Member,Board Member,Anne M Finucane,CVS Health Corporation,Position
257392,51181,28670,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/257392,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Anne M Finucane,Democratic Congressional Campaign Committee,Donation/Grant
1366538,51181,29795,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366538,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Executive Committee of Florida,Donation/Grant
661187,51181,28862,2012-00-00,2016-08-23,,5,https://littlesis.org/relationships/661187,,,48400,"2 contributions · 48,400 USD","2 contributions · 48,400 USD",Anne M Finucane,Democratic National Committee,Donation/Grant
1366541,51181,31677,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366541,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of Arkansas,Donation/Grant
1366562,51181,32278,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366562,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of New Mexico,Donation/Grant
1366548,51181,30402,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366548,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of Oregon,Donation/Grant
1366533,51181,29193,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366533,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of South Carolina,Donation/Grant
1366559,51181,29954,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366559,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of Virginia,Donation/Grant
1366530,51181,30501,2016-08-23,2016-08-23,,5,https://littlesis.org/relationships/1366530,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne M Finucane,Democratic Party of Wisconsin,Donation/Grant
512762,51181,28856,2010-00-00,2013-05-31,,5,https://littlesis.org/relationships/512762,,,4400,"2 contributions · 4,400 USD","2 contributions · 4,400 USD",Anne M Finucane,Democratic Senatorial Campaign Committee,Donation/Grant
