id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
93004,1150,33791,,,true,1,https://littlesis.org/relationships/93004,,,,Corporate Leadership Initiative Chair,Corporate Leadership Initiative Chair,Anne M Mulcahy,Business Roundtable,Position
282756,1150,68556,,,true,1,https://littlesis.org/relationships/282756,true,,,director,director,Anne M Mulcahy,Catalyst,Position
322682,1150,13248,2000-00-00,2008-04-02,,5,https://littlesis.org/relationships/322682,,,300,3 contributions · 300 USD,3 contributions · 300 USD,Anne M Mulcahy,Chris Dodd,Donation/Grant
176,1150,8,2004-00-00,,false,1,https://littlesis.org/relationships/176,true,false,,Director,Director,Anne M Mulcahy,Citigroup Inc.,Position
1530649,1150,43846,2013-07-30,2013-07-30,,5,https://littlesis.org/relationships/1530649,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Anne M Mulcahy,Connecticut Democratic State Central Committee,Donation/Grant
322684,1150,28862,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/322684,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Anne M Mulcahy,Democratic National Committee,Donation/Grant
272623,1150,542,2008-01-00,,true,1,https://littlesis.org/relationships/272623,true,false,,Board Member,Board Member,Anne M Mulcahy,Graham Holdings Company,Position
322681,1150,13191,2006-00-00,2008-08-28,,5,https://littlesis.org/relationships/322681,,,4300,"5 contributions · 4,300 USD","5 contributions · 4,300 USD",Anne M Mulcahy,Hillary Clinton,Donation/Grant
268397,1150,35,,,true,1,https://littlesis.org/relationships/268397,true,,,Lead Director (Board of Directors),Lead Director (Board of Directors),Anne M Mulcahy,Johnson & Johnson,Position
1136493,1150,28419,,,true,1,https://littlesis.org/relationships/1136493,true,,,Board Member,Board Member,Anne M Mulcahy,LPL Financial Services,Position
1136497,1150,48614,,,true,1,https://littlesis.org/relationships/1136497,,,,Board of Trustees,Board of Trustees,Anne M Mulcahy,Save the Children,Position
1530648,1150,97517,2011-07-21,2011-07-21,,5,https://littlesis.org/relationships/1530648,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Anne M Mulcahy,Susan Bysiewicz,Donation/Grant
724,1150,31,,2015-00-00,,1,https://littlesis.org/relationships/724,,,,"Director (Board of Directors), Member (Audit Committee)","Director (Board of Directors), Member (Audit Committee)",Anne M Mulcahy,Target Corporation,Position
1136495,1150,106154,,,false,1,https://littlesis.org/relationships/1136495,true,,,2008,2008,Anne M Mulcahy,The Washington Post,Position
90347,1150,33220,2008-11-07,,true,1,https://littlesis.org/relationships/90347,true,false,,member,member,Anne M Mulcahy,Transition Economic Advisory Board,Position
955523,1150,15202,,,,12,https://littlesis.org/relationships/955523,,,,Affiliation,Affiliation,Anne M Mulcahy,University of Rochester,Generic
1530647,1150,558,,,true,1,https://littlesis.org/relationships/1530647,true,,,2019,2019,Anne M Mulcahy,Williams-Sonoma,Position
322683,1150,38050,2004-00-00,2008-00-00,,5,https://littlesis.org/relationships/322683,,,11000,"3 contributions · 11,000 USD","3 contributions · 11,000 USD",Anne M Mulcahy,Xerox Corporation Political Action Committee (Xpac),Donation/Grant
2960,1150,145,,2010-00-00,false,1,https://littlesis.org/relationships/2960,true,,,Chairman,Chairman,Anne M Mulcahy,Xerox,Position
2961,1150,145,,2009-00-00,false,1,https://littlesis.org/relationships/2961,false,true,,CEO,CEO,Anne M Mulcahy,Xerox,Position
