id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1464181,93385,326753,2006-00-00,,true,1,https://littlesis.org/relationships/1464181,true,true,,CEO - Co-Founder,CEO - Co-Founder,Anne E Wojcicki,23andMe,Position
1457987,93385,30811,2016-11-07,2016-11-07,,5,https://littlesis.org/relationships/1457987,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne E Wojcicki,Alaska Democratic Party,Donation/Grant
1457952,93385,74435,,,,8,https://littlesis.org/relationships/1457952,,,,"friend ","friend ",Anne E Wojcicki,Alex Rodriguez,Social
433015,93385,13607,2010-00-00,2010-07-17,,5,https://littlesis.org/relationships/433015,,,2400,"3 contributions · 2,400 USD","3 contributions · 2,400 USD",Anne E Wojcicki,Arlen Specter,Donation/Grant
750738,93385,13503,2011-00-00,2012-00-00,,5,https://littlesis.org/relationships/750738,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Anne E Wojcicki,Barack Obama,Donation/Grant
403104,93385,13292,2008-00-00,2010-05-13,,5,https://littlesis.org/relationships/403104,,,7000,"3 contributions · 7,000 USD","3 contributions · 7,000 USD",Anne E Wojcicki,Bill Foster,Donation/Grant
1457957,93385,13575,2015-03-17,2015-03-17,,5,https://littlesis.org/relationships/1457957,,,2700,"1 contribution · 2,700 USD","1 contribution · 2,700 USD",Anne E Wojcicki,Chuck Schumer,Donation/Grant
750736,93385,30730,2012-00-00,2016-11-07,,5,https://littlesis.org/relationships/750736,,,715,2 contributions · 715 USD,2 contributions · 715 USD,Anne E Wojcicki,Colorado Democratic Party,Donation/Grant
1457956,93385,28670,2014-07-18,2015-05-27,,5,https://littlesis.org/relationships/1457956,,,40000,"2 contributions · 40,000 USD","2 contributions · 40,000 USD",Anne E Wojcicki,Democratic Congressional Campaign Committee,Donation/Grant
750732,93385,29795,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/750732,,,750,1 contribution · 750 USD,1 contribution · 750 USD,Anne E Wojcicki,Democratic Executive Committee of Florida,Donation/Grant
750737,93385,28862,2011-00-00,2014-05-12,,5,https://littlesis.org/relationships/750737,,,94000,"4 contributions · 94,000 USD","4 contributions · 94,000 USD",Anne E Wojcicki,Democratic National Committee,Donation/Grant
1457976,93385,32278,2016-11-07,2016-11-07,,5,https://littlesis.org/relationships/1457976,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne E Wojcicki,Democratic Party of New Mexico,Donation/Grant
1457972,93385,30402,2016-11-07,2016-11-07,,5,https://littlesis.org/relationships/1457972,,,365,1 contribution · 365 USD,1 contribution · 365 USD,Anne E Wojcicki,Democratic Party of Oregon,Donation/Grant
750734,93385,29954,2012-00-00,2016-11-07,,5,https://littlesis.org/relationships/750734,,,815,2 contributions · 815 USD,2 contributions · 815 USD,Anne E Wojcicki,Democratic Party of Virginia,Donation/Grant
