id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1397505,91712,52327,,2015-00-00,,1,https://littlesis.org/relationships/1397505,,,,Independent Non,Independent Non,Cynthia Carroll,Amoco Corporation,Position
478450,91712,105583,2010-00-00,,true,1,https://littlesis.org/relationships/478450,true,,,Chairman,Chairman,Cynthia Carroll,Anglo American Platinum Limited,Position
478445,91712,89803,2007-03-01,,true,1,https://littlesis.org/relationships/478445,,true,,CEO,CEO,Cynthia Carroll,Anglo American Plc,Position
478446,91712,79107,,,false,1,https://littlesis.org/relationships/478446,true,,,Director,Director,Cynthia Carroll,AngloGold Ashanti Limited,Position
743502,91712,13503,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/743502,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Cynthia Carroll,Barack Obama,Donation/Grant
478448,91712,45975,,,,1,https://littlesis.org/relationships/478448,,,,Director,Director,Cynthia Carroll,BP plc,Position
1397504,91712,283492,,,,1,https://littlesis.org/relationships/1397504,,,,Independent Non,Independent Non,Cynthia Carroll,Bp Singapore Pte. Limited,Position
743501,91712,28670,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/743501,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Cynthia Carroll,Democratic Congressional Campaign Committee,Donation/Grant
1397503,91712,68341,,,,1,https://littlesis.org/relationships/1397503,,,,Non-Executive Director (Board of Directors),Non-Executive Director (Board of Directors),Cynthia Carroll,Hitachi Ltd,Position
390365,91712,49195,,,true,1,https://littlesis.org/relationships/390365,true,,,Board Member,Board Member,Cynthia Carroll,Institute for Advanced Study,Position
478449,91712,76770,,,true,1,https://littlesis.org/relationships/478449,true,,,Non-executive director,Non-executive director,Cynthia Carroll,The De Beers Group,Position
478447,91712,204,,,false,1,https://littlesis.org/relationships/478447,true,,,Director,Director,Cynthia Carroll,The Hillshire Brands Company,Position
