id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
137247,2041,29069,2001-00-00,2004-02-24,,5,https://littlesis.org/relationships/137247,,,10130,"27 contributions · 10,130 USD","27 contributions · 10,130 USD",Irene B Rosenfeld,"Altria Group, Inc. Political Action Committee (Altriapac)",Donation/Grant
2846,2041,139,,,false,1,https://littlesis.org/relationships/2846,true,false,,Director,Director,Irene B Rosenfeld,"AutoNation, Inc.",Position
136114,2041,42343,,,true,3,https://littlesis.org/relationships/136114,,,,Member,Member,Irene B Rosenfeld,Chicago 2016 Committee,Membership
811058,2041,33328,,,,3,https://littlesis.org/relationships/811058,,,,Member,Member,Irene B Rosenfeld,Clinton Global Initiative,Membership
214676,2041,15057,,,true,1,https://littlesis.org/relationships/214676,true,false,,Trustee,Trustee,Irene B Rosenfeld,Cornell University,Position
481153,2041,147179,2004-09-00,2006-06-00,,1,https://littlesis.org/relationships/481153,true,,,Chairman,Chairman,Irene B Rosenfeld,"Frito-Lay North America, Inc.",Position
1168289,2041,33858,,,false,1,https://littlesis.org/relationships/1168289,,,,Position,Position,Irene B Rosenfeld,General Foods Corp.,Position
137250,2041,29614,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/137250,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Irene B Rosenfeld,Grocery Manufacturers Association Political Action Committee ('Gma PAC'),Donation/Grant
137249,2041,29978,2007-00-00,2012-00-00,,5,https://littlesis.org/relationships/137249,,,27880,"110 contributions · 27,880 USD","110 contributions · 27,880 USD",Irene B Rosenfeld,Kraft Foods Global Inc. Political Action Committee (Kraft PAC),Donation/Grant
572429,2041,118968,2012-08-00,,false,1,https://littlesis.org/relationships/572429,true,false,,Board Member,Board Member,Irene B Rosenfeld,"Kraft Foods Group, Inc.",Position
572430,2041,118968,1981-00-00,2003-00-00,false,1,https://littlesis.org/relationships/572430,false,true,,President,President,Irene B Rosenfeld,"Kraft Foods Group, Inc.",Position
572431,2041,118968,2012-08-00,2007-03-00,true,1,https://littlesis.org/relationships/572431,false,true,,CEO,CEO,Irene B Rosenfeld,"Kraft Foods Group, Inc.",Position
609972,2041,130118,2012-00-00,2016-06-30,,5,https://littlesis.org/relationships/609972,,,16644,"34 contributions · 16,644 USD","34 contributions · 16,644 USD",Irene B Rosenfeld,Kraft Foods Inc PAC,Donation/Grant
1449442,2041,283579,2007-00-00,2017-11-19,false,1,https://littlesis.org/relationships/1449442,,,,CEO,CEO,Irene B Rosenfeld,"Mondelez International, Inc.",Position
1424,2041,64,2006-00-00,2017-11-19,false,1,https://littlesis.org/relationships/1424,true,false,,Director,Director,Irene B Rosenfeld,"Mondelēz International, Inc.",Position
1425,2041,64,,2017-11-19,false,1,https://littlesis.org/relationships/1425,true,true,,Chief Executive Officer,Chief Executive Officer,Irene B Rosenfeld,"Mondelēz International, Inc.",Position
481152,2041,64,2007-03-00,2017-11-19,false,1,https://littlesis.org/relationships/481152,true,,,Chairman,Chairman,Irene B Rosenfeld,"Mondelēz International, Inc.",Position
137248,2041,29946,2005-00-00,2005-00-00,,5,https://littlesis.org/relationships/137248,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Irene B Rosenfeld,Pepsico Inc. Concerned Citizens Fund,Donation/Grant
1514723,2041,298,2018-10-09,,true,1,https://littlesis.org/relationships/1514723,true,,,Director,Director,Irene B Rosenfeld,QUALCOMM Incorporated,Position
