id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
195584,33924,46029,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195584,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Janet Napolitano,Alan J Stephens,Donation/Grant
195580,33924,30079,1990-00-00,1993-00-00,,5,https://littlesis.org/relationships/195580,,,3973,"7 contributions · 3,973 USD","7 contributions · 3,973 USD",Janet Napolitano,Arizona State Democratic Central Executive Committee,Donation/Grant
195581,33924,4115,1992-00-00,1993-00-00,,5,https://littlesis.org/relationships/195581,,,1500,"3 contributions · 1,500 USD","3 contributions · 1,500 USD",Janet Napolitano,Bob Kerrey,Donation/Grant
195586,33924,44300,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195586,,,500,2 contributions · 500 USD,2 contributions · 500 USD,Janet Napolitano,Claire Sargent,Donation/Grant
117622,33924,14617,2009-01-28,,,1,https://littlesis.org/relationships/117622,,,,Secretary of Homeland Security,Secretary of Homeland Security,Janet Napolitano,Department of Homeland Security,Position
195588,33924,14260,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195588,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Janet Napolitano,Douglas Wayne Owens,Donation/Grant
195579,33924,13512,1991-00-00,1991-00-00,,5,https://littlesis.org/relationships/195579,,,350,1 contribution · 350 USD,1 contribution · 350 USD,Janet Napolitano,Edward López Pastor,Donation/Grant
195577,33924,29249,1994-00-00,2011-00-00,,5,https://littlesis.org/relationships/195577,,,3600,"13 contributions · 3,600 USD","13 contributions · 3,600 USD",Janet Napolitano,Emily's List,Donation/Grant
1239821,33924,29249,2013-03-18,2016-06-06,,5,https://littlesis.org/relationships/1239821,,,11100,"11 contributions · 11,100 USD","11 contributions · 11,100 USD",Janet Napolitano,Emily's List,Donation/Grant
195582,33924,46028,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195582,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Janet Napolitano,Faye S Baggiano,Donation/Grant
195585,33924,14467,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195585,,,750,2 contributions · 750 USD,2 contributions · 750 USD,Janet Napolitano,Geraldine Anne Ferraro,Donation/Grant
1239820,33924,13191,2016-01-11,2016-01-11,,5,https://littlesis.org/relationships/1239820,,,2700,"1 contribution · 2,700 USD","1 contribution · 2,700 USD",Janet Napolitano,Hillary Clinton,Donation/Grant
782813,155115,33924,1957-00-00,,,4,https://littlesis.org/relationships/782813,,,,daughter,mother,Jane Marie Napolitano,Janet Napolitano,Family
1512997,337842,33924,2009-04-00,2011-10-00,,1,https://littlesis.org/relationships/1512997,,,,senior aide,senior aide,Jarrod Bernstein,Janet Napolitano,Position
195590,33924,31238,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/195590,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Janet Napolitano,John J Kelly,Donation/Grant
195587,33924,14096,1992-00-00,1992-00-00,,5,https://littlesis.org/relationships/195587,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Janet Napolitano,Karan English,Donation/Grant
1239819,33924,117188,2014-03-31,2014-03-31,,5,https://littlesis.org/relationships/1239819,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Janet Napolitano,Kyrsten Sinema,Donation/Grant
1022479,216202,33924,,,,4,https://littlesis.org/relationships/1022479,,,,sister,brother,Leonard M Napolitano Jr,Janet Napolitano,Family
782808,33924,155114,1957-00-00,,,4,https://littlesis.org/relationships/782808,,,,father,daughter,Janet Napolitano,Leonard Michael Napolitano,Family
479096,33924,105751,1984-00-00,1998-00-00,,1,https://littlesis.org/relationships/479096,,,,Partner,Partner,Janet Napolitano,Lewis & Roca LLP,Position
117618,33924,37204,,,,1,https://littlesis.org/relationships/117618,,,,Position,Position,Janet Napolitano,Obama Cabinet,Position
91726,33924,33925,2003-01-00,2009-01-00,,1,https://littlesis.org/relationships/91726,,true,,Governor,Governor,Janet Napolitano,Office of the Arizona Governor,Position
195589,33924,41807,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/195589,,,250,1 contribution · 250 USD,1 contribution · 250 USD,Janet Napolitano,Randy Rathburn,Donation/Grant
195583,33924,14087,1992-00-00,1993-00-00,,5,https://littlesis.org/relationships/195583,,,2000,"3 contributions · 2,000 USD","3 contributions · 2,000 USD",Janet Napolitano,Samuel G Coppersmith,Donation/Grant
91724,33924,15078,,,false,2,https://littlesis.org/relationships/91724,,,,School,Student,Janet Napolitano,Santa Clara University,Education
754654,33924,33365,,,,2,https://littlesis.org/relationships/754654,,,,JD,JD,Janet Napolitano,The University of Virginia School of Law,Education
588068,33924,33958,,,,1,https://littlesis.org/relationships/588068,,,,President,President,Janet Napolitano,University of California,Position
91725,33924,15083,,,false,2,https://littlesis.org/relationships/91725,,,,School,Student,Janet Napolitano,University of Virginia,Education
195578,33924,29020,1991-00-00,1992-00-00,,5,https://littlesis.org/relationships/195578,,,500,2 contributions · 500 USD,2 contributions · 500 USD,Janet Napolitano,Women's Campaign Fund,Donation/Grant
