id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
303392,73315,30510,2007-00-00,2008-00-00,,5,https://littlesis.org/relationships/303392,,,6000,"3 contributions · 6,000 USD","3 contributions · 6,000 USD",Kathleen Kennedy,Al Franken,Donation/Grant
303345,73315,14210,1998-00-00,1999-03-31,,5,https://littlesis.org/relationships/303345,,,8000,"6 contributions · 8,000 USD","6 contributions · 8,000 USD",Kathleen Kennedy,Al Gore,Donation/Grant
1504426,73315,30811,2016-10-17,2016-10-17,,5,https://littlesis.org/relationships/1504426,,,2560,"1 contribution · 2,560 USD","1 contribution · 2,560 USD",Kathleen Kennedy,Alaska Democratic Party,Donation/Grant
1504400,73315,127327,2013-09-30,2013-09-30,,5,https://littlesis.org/relationships/1504400,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Kathleen Kennedy,Alison Lundergan Grimes,Donation/Grant
302486,73315,40358,,,true,1,https://littlesis.org/relationships/302486,true,false,,"Trustee ","Trustee ",Kathleen Kennedy,American Film Institute,Position
1504399,73315,242890,2016-02-17,2016-02-17,,5,https://littlesis.org/relationships/1504399,,,25000,"1 contribution · 25,000 USD","1 contribution · 25,000 USD",Kathleen Kennedy,Americans for Responsible Solutions,Donation/Grant
303349,73315,31520,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/303349,,,500,2 contributions · 500 USD,2 contributions · 500 USD,Kathleen Kennedy,"Ascap Legislative Fund for the Arts, the",Donation/Grant
303383,73315,13503,2004-00-00,2012-00-00,,5,https://littlesis.org/relationships/303383,,,92600,"8 contributions · 92,600 USD","8 contributions · 92,600 USD",Kathleen Kennedy,Barack Obama,Donation/Grant
303359,73315,13105,1991-00-00,2004-00-00,,5,https://littlesis.org/relationships/303359,,,9650,"10 contributions · 9,650 USD","10 contributions · 9,650 USD",Kathleen Kennedy,Barbara Boxer,Donation/Grant
303355,73315,41136,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/303355,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Kathleen Kennedy,Barry Gordon,Donation/Grant
303396,73315,40658,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/303396,,,2300,"1 contribution · 2,300 USD","1 contribution · 2,300 USD",Kathleen Kennedy,Ben R Lujan,Donation/Grant
303386,73315,13986,1989-00-00,1989-11-16,,5,https://littlesis.org/relationships/303386,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Kathleen Kennedy,Bill Bradley,Donation/Grant
303353,73315,28668,1991-00-00,1995-00-00,,5,https://littlesis.org/relationships/303353,,,2000,"3 contributions · 2,000 USD","3 contributions · 2,000 USD",Kathleen Kennedy,Bill Clinton,Donation/Grant
