id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1730242,361857,135790,2010-00-00,2016-00-00,,1,https://littlesis.org/relationships/1730242,,,,Former VP Budget an HR,Former VP Budget an HR,Kristalina Georgieva,European Commission,Position
1730237,361857,33342,,1997-00-00,,2,https://littlesis.org/relationships/1730237,,,,"Certificate, Corporate Finance","Certificate, Corporate Finance",Kristalina Georgieva,Harvard Business School,Education
1729572,361857,392937,2020-10-15,,,1,https://littlesis.org/relationships/1729572,,,,Presenter,Presenter,Kristalina Georgieva,IMF - A New Bretton Woods Moment,Position
1730244,361857,34929,2019-00-00,,,1,https://littlesis.org/relationships/1730244,,,,Managing Director,Managing Director,Kristalina Georgieva,International Monetary Fund,Position
1729592,392948,361857,2020-10-06,,,12,https://littlesis.org/relationships/1729592,,,,Advocates For,Advocated By,Long Ascent For the Global Economy,Kristalina Georgieva,Generic
1730236,361857,14933,1991-00-00,,,1,https://littlesis.org/relationships/1730236,,,,Former Visiting Scholar Urban Studies,Former Visiting Scholar Urban Studies,Kristalina Georgieva,Massachusetts Institute of Technology,Position
1730239,361857,72631,1992-00-00,1992-00-00,,1,https://littlesis.org/relationships/1730239,,,,Former Consultant Environomics,Former Consultant Environomics,Kristalina Georgieva,Mercer LLC,Position
1730240,361857,14598,1983-00-00,2010-00-00,,1,https://littlesis.org/relationships/1730240,,,,Former Vice President,Former Vice President,Kristalina Georgieva,The World Bank Group,Position
1730243,361857,14598,2010-00-00,2019-00-00,,1,https://littlesis.org/relationships/1730243,,,,Former CEO,Former CEO,Kristalina Georgieva,The World Bank Group,Position
1730241,361857,346648,2007-00-00,2008-00-00,,12,https://littlesis.org/relationships/1730241,,,,Focus,Focus,Kristalina Georgieva,United Nations Sustainable Development Goals (UN SDGs),Generic
1730234,361857,393066,,1976-00-00,,2,https://littlesis.org/relationships/1730234,,,,"Graduate, Political Economy","Graduate, Political Economy",Kristalina Georgieva,University of National and  World Economy,Education
1730235,361857,393066,,1986-00-00,,2,https://littlesis.org/relationships/1730235,,,,"PhD, Economic Science","PhD, Economic Science",Kristalina Georgieva,University of National and  World Economy,Education
1730238,361857,393067,1991-00-00,,,1,https://littlesis.org/relationships/1730238,,,,Former Visiting Professor,Former Visiting Professor,Kristalina Georgieva,University of the South Pacific,Position
