id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
381051,35626,36179,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/381051,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Laurene Powell Jobs,21st Century Democrats,Donation/Grant
422775,35626,42527,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/422775,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Laurene Powell Jobs,ActBlue,Donation/Grant
381027,35626,13573,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/381027,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Laurene Powell Jobs,Adam Schiff,Donation/Grant
422771,35626,96381,2009-00-00,2011-09-30,,5,https://littlesis.org/relationships/422771,,,-1400,"7 contributions · -1,400 USD","7 contributions · -1,400 USD",Laurene Powell Jobs,Alan Khazei,Donation/Grant
422776,35626,42793,2010-00-00,2010-00-00,,5,https://littlesis.org/relationships/422776,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Laurene Powell Jobs,Alexander Giannoulias,Donation/Grant
1493170,35626,127327,2014-03-10,2014-03-10,,5,https://littlesis.org/relationships/1493170,,,3000,"2 contributions · 3,000 USD","2 contributions · 3,000 USD",Laurene Powell Jobs,Alison Lundergan Grimes,Donation/Grant
381018,35626,13388,2006-00-00,2012-00-00,,5,https://littlesis.org/relationships/381018,,,6233,"3 contributions · 6,233 USD","3 contributions · 6,233 USD",Laurene Powell Jobs,Amy Klobuchar,Donation/Grant
1493225,35626,36930,2015-10-08,2015-10-13,,5,https://littlesis.org/relationships/1493225,,,40000,"3 contributions · 40,000 USD","3 contributions · 40,000 USD",Laurene Powell Jobs,Andrew Cuomo,Donation/Grant
1493195,35626,30853,2006-11-06,2006-11-06,,5,https://littlesis.org/relationships/1493195,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Laurene Powell Jobs,Angela Paccione V,Donation/Grant
1493185,35626,31643,2016-07-22,2016-07-22,,5,https://littlesis.org/relationships/1493185,,,5400,"2 contributions · 5,400 USD","2 contributions · 5,400 USD",Laurene Powell Jobs,Ann Kirkpatrick,Donation/Grant
381029,35626,13273,1999-00-00,2009-00-00,,5,https://littlesis.org/relationships/381029,,,6000,"6 contributions · 6,000 USD","6 contributions · 6,000 USD",Laurene Powell Jobs,Anna Eshoo,Donation/Grant
1385659,35509,35626,,,true,9,https://littlesis.org/relationships/1385659,,,,Professional,Professional,Arne Duncan,Laurene Powell Jobs,Professional
559560,35626,13503,2004-09-28,2011-09-23,,5,https://littlesis.org/relationships/559560,,,13900,"12 contributions · 13,900 USD","12 contributions · 13,900 USD",Laurene Powell Jobs,Barack Obama,Donation/Grant
381040,35626,13105,2002-00-00,2009-00-00,,5,https://littlesis.org/relationships/381040,,,5400,"6 contributions · 5,400 USD","6 contributions · 5,400 USD",Laurene Powell Jobs,Barbara Boxer,Donation/Grant
381023,35626,32783,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/381023,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Laurene Powell Jobs,Big Sky Senate Victory,Donation/Grant
381024,35626,13986,1999-00-00,1999-00-00,,5,https://littlesis.org/relationships/381024,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Laurene Powell Jobs,Bill Bradley,Donation/Grant
1493194,35626,13497,2005-12-15,2005-12-15,,5,https://littlesis.org/relationships/1493194,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Laurene Powell Jobs,Bill Nelson,Donation/Grant
1493171,35626,242411,2014-02-28,2014-02-28,,5,https://littlesis.org/relationships/1493171,,,5200,"2 contributions · 5,200 USD","2 contributions · 5,200 USD",Laurene Powell Jobs,Booker Senate Victory,Donation/Grant
381050,35626,13758,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/381050,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Laurene Powell Jobs,Brad Carson,Donation/Grant
