id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
142702,1414,30993,2000-00-00,2000-00-00,,5,https://littlesis.org/relationships/142702,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Meg Whitman,2000 Republican House-Senate Dinner Committee; the,Donation/Grant
142707,1414,28956,2001-00-00,2001-00-00,,5,https://littlesis.org/relationships/142707,,,25000,"1 contribution · 25,000 USD","1 contribution · 25,000 USD",Meg Whitman,2001 President's Dinner - Non-Federal Individual,Donation/Grant
142716,1414,30621,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/142716,,,10000,"1 contribution · 10,000 USD","1 contribution · 10,000 USD",Meg Whitman,2004 Joint State Victory Committee,Donation/Grant
142722,1414,33147,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/142722,,,1428,"1 contribution · 1,428 USD","1 contribution · 1,428 USD",Meg Whitman,Alaska Republican Party,Donation/Grant
142753,1414,28904,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/142753,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Meg Whitman,American Success Political Action Committee,Donation/Grant
142709,1414,29415,2002-00-00,2002-00-00,,5,https://littlesis.org/relationships/142709,,,5000,"1 contribution · 5,000 USD","1 contribution · 5,000 USD",Meg Whitman,Americans for a Republican Majority Political Action Committee,Donation/Grant
142728,1414,28806,2004-00-00,2004-00-00,,5,https://littlesis.org/relationships/142728,,,357,1 contribution · 357 USD,1 contribution · 357 USD,Meg Whitman,Arkansas Leadership Committee 2004 Fcrc,Donation/Grant
360242,1414,90798,,,false,1,https://littlesis.org/relationships/360242,,true,,"VP ","VP ",Meg Whitman,"Bain & Company, Inc.",Position
142714,1414,13105,2003-00-00,2003-00-00,,5,https://littlesis.org/relationships/142714,,,8000,"3 contributions · 8,000 USD","3 contributions · 8,000 USD",Meg Whitman,Barbara Boxer,Donation/Grant
142710,1414,29424,2002-00-00,2002-00-00,,5,https://littlesis.org/relationships/142710,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Meg Whitman,Bayou Leader Political Action Committee,Donation/Grant
