id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1528190,1412,32235,,,true,1,https://littlesis.org/relationships/1528190,true,,,"Independent Director, Board Member","Independent Director, Board Member",Patricia A Woertz,3M Company,Position
130435,1412,40360,,,,1,https://littlesis.org/relationships/130435,true,,,Director,Director,Patricia A Woertz,American Petroleum Institute,Position
121142,1412,29880,,,true,1,https://littlesis.org/relationships/121142,true,true,,"Chairman of the Board of Directors, Chief Executive Officer and President","Chairman of the Board of Directors, Chief Executive Officer and President",Patricia A Woertz,Archer Daniels Midland Company-Adm PAC,Position
137873,1412,29880,2008-00-00,2012-00-00,,5,https://littlesis.org/relationships/137873,,,11024,"27 contributions · 11,024 USD","27 contributions · 11,024 USD",Patricia A Woertz,Archer Daniels Midland Company-Adm PAC,Donation/Grant
1180,1412,53,2006-00-00,,true,1,https://littlesis.org/relationships/1180,true,false,,Director,Director,Patricia A Woertz,Archer Daniels Midland Company,Position
1181,1412,53,2006-05-00,,true,1,https://littlesis.org/relationships/1181,true,true,,President,President,Patricia A Woertz,Archer Daniels Midland Company,Position
1182,1412,53,2006-05-00,,true,1,https://littlesis.org/relationships/1182,true,true,,CEO,CEO,Patricia A Woertz,Archer Daniels Midland Company,Position
368500,1412,53,2007-02-00,,true,1,https://littlesis.org/relationships/368500,true,,,Chairman,Chairman,Patricia A Woertz,Archer Daniels Midland Company,Position
590419,1412,13503,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590419,,,42500,"2 contributions · 42,500 USD","2 contributions · 42,500 USD",Patricia A Woertz,Barack Obama,Donation/Grant
93052,1412,33791,,,true,3,https://littlesis.org/relationships/93052,,,,Member,Member,Patricia A Woertz,Business Roundtable,Membership
137872,1412,28944,1997-00-00,2002-00-00,,5,https://littlesis.org/relationships/137872,,,5500,"2 contributions · 5,500 USD","2 contributions · 5,500 USD",Patricia A Woertz,Chevron Employees Political Action Committee - Chevron Corporation,Donation/Grant
470629,1412,103705,,,false,1,https://littlesis.org/relationships/470629,,true,,President,President,Patricia A Woertz,Chevron International Oil Company,Position
121146,1412,3,1987-00-00,,false,1,https://littlesis.org/relationships/121146,,,,President Chevron Canada,President Chevron Canada,Patricia A Woertz,Chevron,Position
121147,1412,3,,,false,1,https://littlesis.org/relationships/121147,,,,President Chevron International Oil Company,President Chevron International Oil Company,Patricia A Woertz,Chevron,Position
136209,1412,42343,,,true,3,https://littlesis.org/relationships/136209,,,,Member,Member,Patricia A Woertz,Chicago 2016 Committee,Membership
590425,1412,30730,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590425,,,469,1 contribution · 469 USD,1 contribution · 469 USD,Patricia A Woertz,Colorado Democratic Party,Donation/Grant
121148,1412,14924,,,,2,https://littlesis.org/relationships/121148,,,,Graduate,Graduate,Patricia A Woertz,Columbia University,Education
590418,1412,29795,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590418,,,1005,"1 contribution · 1,005 USD","1 contribution · 1,005 USD",Patricia A Woertz,Democratic Executive Committee of Florida,Donation/Grant
590426,1412,28862,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590426,,,30800,"1 contribution · 30,800 USD","1 contribution · 30,800 USD",Patricia A Woertz,Democratic National Committee,Donation/Grant
590423,1412,29954,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590423,,,603,1 contribution · 603 USD,1 contribution · 603 USD,Patricia A Woertz,Democratic Party of Virginia,Donation/Grant
590416,1412,30501,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590416,,,804,1 contribution · 804 USD,1 contribution · 804 USD,Patricia A Woertz,Democratic Party of Wisconsin,Donation/Grant
137871,1412,13623,1998-00-00,1998-00-00,,5,https://littlesis.org/relationships/137871,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Patricia A Woertz,Ellen O'Kane Tauscher,Donation/Grant
121144,1412,16909,,,false,1,https://littlesis.org/relationships/121144,false,false,,"Certified public accountant ","Certified public accountant ",Patricia A Woertz,Ernst & Young LLP,Position
121145,1412,38636,,,,1,https://littlesis.org/relationships/121145,,,,Position,Position,Patricia A Woertz,Gulf Oil Corporation,Position
590417,1412,28987,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590417,,,670,1 contribution · 670 USD,1 contribution · 670 USD,Patricia A Woertz,Iowa Democratic Party,Donation/Grant
443782,1412,40336,,,true,3,https://littlesis.org/relationships/443782,,,,Member,Member,Patricia A Woertz,National Petroleum Council,Membership
590422,1412,31157,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590422,,,1340,"2 contributions · 1,340 USD","2 contributions · 1,340 USD",Patricia A Woertz,Nevada State Democratic Party,Donation/Grant
590420,1412,29068,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590420,,,201,1 contribution · 201 USD,1 contribution · 201 USD,Patricia A Woertz,New Hampshire Democratic Party,Donation/Grant
590424,1412,29192,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/590424,,,469,1 contribution · 469 USD,1 contribution · 469 USD,Patricia A Woertz,North Carolina Democratic Party - Federal,Donation/Grant
