id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
268783,2353,97,2010-06-00,,true,1,https://littlesis.org/relationships/268783,true,false,,Board Member,Board Member,Phebe N Novakovic,Abbott Laboratories,Position
1441598,2353,13221,2014-09-30,2014-09-30,,5,https://littlesis.org/relationships/1441598,,,1500,"1 contribution · 1,500 USD","1 contribution · 1,500 USD",Phebe N Novakovic,Ander Crenshaw,Donation/Grant
296901,2353,13503,2008-00-00,2008-00-00,,5,https://littlesis.org/relationships/296901,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Phebe N Novakovic,Barack Obama,Donation/Grant
296888,2353,13497,2005-00-00,2005-00-00,,5,https://littlesis.org/relationships/296888,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Phebe N Novakovic,Bill Nelson,Donation/Grant
296892,2353,13410,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/296892,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Phebe N Novakovic,Carl Levin,Donation/Grant
736879,2353,17682,1983-00-00,1986-00-00,false,1,https://littlesis.org/relationships/736879,,,,Operations Officer,Operations Officer,Phebe N Novakovic,Central Intelligence Agency,Position
526067,2353,13354,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/526067,,,2000,"1 contribution · 2,000 USD","1 contribution · 2,000 USD",Phebe N Novakovic,Daniel Ken Inouye,Donation/Grant
296889,2353,13610,2006-00-00,2006-00-00,,5,https://littlesis.org/relationships/296889,,,750,1 contribution · 750 USD,1 contribution · 750 USD,Phebe N Novakovic,Debbie Stabenow,Donation/Grant
296893,2353,28670,2007-00-00,2007-00-00,,5,https://littlesis.org/relationships/296893,,,1500,"1 contribution · 1,500 USD","1 contribution · 1,500 USD",Phebe N Novakovic,Democratic Congressional Campaign Committee,Donation/Grant
526068,2353,28856,2009-00-00,2009-00-00,,5,https://littlesis.org/relationships/526068,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Phebe N Novakovic,Democratic Senatorial Campaign Committee,Donation/Grant
