id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
1177654,163559,13503,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177654,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Reese Witherspoon,Barack Obama,Donation/Grant
1624774,163559,353805,2018-06-29,2018-06-29,false,5,https://littlesis.org/relationships/1624774,,,277,1 contribution · 277 USD,1 contribution · 277 USD,Reese Witherspoon,Blue Momentum PAC,Donation/Grant
1624776,163559,353804,2018-06-18,2018-06-18,false,5,https://littlesis.org/relationships/1624776,,,5000,"2 contributions · 5,000 USD","2 contributions · 5,000 USD",Reese Witherspoon,California Candidates Victory Fund,Donation/Grant
1177649,163559,30730,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177649,,,462,1 contribution · 462 USD,1 contribution · 462 USD,Reese Witherspoon,Colorado Democratic Party,Donation/Grant
1177653,163559,29795,2012-09-30,2012-09-30,,5,https://littlesis.org/relationships/1177653,,,714,1 contribution · 714 USD,1 contribution · 714 USD,Reese Witherspoon,Democratic Executive Committee of Florida,Donation/Grant
1177645,163559,28862,2012-05-31,2012-05-31,,5,https://littlesis.org/relationships/1177645,,,30800,"1 contribution · 30,800 USD","1 contribution · 30,800 USD",Reese Witherspoon,Democratic National Committee,Donation/Grant
1177652,163559,29954,2012-09-30,2012-09-30,,5,https://littlesis.org/relationships/1177652,,,462,1 contribution · 462 USD,1 contribution · 462 USD,Reese Witherspoon,Democratic Party of Virginia,Donation/Grant
1177646,163559,30501,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177646,,,252,1 contribution · 252 USD,1 contribution · 252 USD,Reese Witherspoon,Democratic Party of Wisconsin,Donation/Grant
835563,163559,39820,2012-00-00,2012-00-00,,5,https://littlesis.org/relationships/835563,,,1500,"1 contribution · 1,500 USD","1 contribution · 1,500 USD",Reese Witherspoon,Elizabeth Warren,Donation/Grant
835561,163559,13191,2003-00-00,2016-09-08,,5,https://littlesis.org/relationships/835561,,,6900,"4 contributions · 6,900 USD","4 contributions · 6,900 USD",Reese Witherspoon,Hillary Clinton,Donation/Grant
1351566,163559,243422,2016-09-08,2016-09-08,,5,https://littlesis.org/relationships/1351566,,,16700,"1 contribution · 16,700 USD","1 contribution · 16,700 USD",Reese Witherspoon,Hillary Victory Fund,Donation/Grant
1177650,163559,28987,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177650,,,210,1 contribution · 210 USD,1 contribution · 210 USD,Reese Witherspoon,Iowa Democratic Party,Donation/Grant
1624782,163559,278698,,,,4,https://littlesis.org/relationships/1624782,,,,husband,wife,Reese Witherspoon,James J Toth,Family
1624773,163559,337031,2018-06-29,2018-06-29,false,5,https://littlesis.org/relationships/1624773,,,277,1 contribution · 277 USD,1 contribution · 277 USD,Reese Witherspoon,Katie Hill,Donation/Grant
1624775,163559,337033,2018-06-29,2018-06-29,false,5,https://littlesis.org/relationships/1624775,,,277,1 contribution · 277 USD,1 contribution · 277 USD,Reese Witherspoon,Katie Porter,Donation/Grant
835562,163559,13302,2011-00-00,2013-11-06,,5,https://littlesis.org/relationships/835562,,,7500,"5 contributions · 7,500 USD","5 contributions · 7,500 USD",Reese Witherspoon,Kirsten Gillibrand,Donation/Grant
1624777,163559,337047,2018-05-17,2018-05-17,false,5,https://littlesis.org/relationships/1624777,,,2537,"1 contribution · 2,537 USD","1 contribution · 2,537 USD",Reese Witherspoon,Lauren Underwood,Donation/Grant
1177656,163559,31157,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177656,,,252,1 contribution · 252 USD,1 contribution · 252 USD,Reese Witherspoon,Nevada State Democratic Party,Donation/Grant
1177651,163559,29192,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177651,,,462,1 contribution · 462 USD,1 contribution · 462 USD,Reese Witherspoon,North Carolina Democratic Party - Federal,Donation/Grant
1177647,163559,235229,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177647,,,40000,"1 contribution · 40,000 USD","1 contribution · 40,000 USD",Reese Witherspoon,Obama Victory Fund 2012,Donation/Grant
835564,163559,128085,2012-00-00,2014-10-17,,5,https://littlesis.org/relationships/835564,,,6000,"3 contributions · 6,000 USD","3 contributions · 6,000 USD",Reese Witherspoon,Off the Sidelines PAC,Donation/Grant
1177655,163559,30000,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177655,,,672,1 contribution · 672 USD,1 contribution · 672 USD,Reese Witherspoon,Ohio Democratic Party,Donation/Grant
1177648,163559,29764,2012-05-21,2012-05-21,,5,https://littlesis.org/relationships/1177648,,,546,1 contribution · 546 USD,1 contribution · 546 USD,Reese Witherspoon,Pennsylvania Democratic Party,Donation/Grant
1624791,163559,361960,,,false,4,https://littlesis.org/relationships/1624791,,,,husband,wife,Reese Witherspoon,Ryan Phillippe,Family
