id,entity1_id,entity2_id,start_date,end_date,is_current,category_id,url,is_board,is_executive,amount,label_for_entity1,label_for_entity2,entity1_name,entity2_name,category
163233,37841,13935,1998-00-00,1998-00-00,,5,https://littlesis.org/relationships/163233,,,650,1 contribution · 650 USD,1 contribution · 650 USD,Sheila Bair,Al D’Amato,Donation/Grant
282734,51181,37841,,,,8,https://littlesis.org/relationships/282734,,,,said to be close to,said to be close to,Anne M Finucane,Sheila Bair,Social
745831,37841,85094,2014-00-00,,true,1,https://littlesis.org/relationships/745831,,,,Director,Director,Sheila Bair,"Banco Santander, S.A.",Position
120203,37841,14002,1981-00-00,1988-00-00,false,1,https://littlesis.org/relationships/120203,false,false,,Counsel,Counsel,Sheila Bair,Bob Dole,Position
163223,37841,14002,1995-03-07,1996-00-00,,5,https://littlesis.org/relationships/163223,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Sheila Bair,Bob Dole,Donation/Grant
163218,37841,14041,1991-00-00,1991-00-00,,5,https://littlesis.org/relationships/163218,,,300,1 contribution · 300 USD,1 contribution · 300 USD,Sheila Bair,Bob Packwood,Donation/Grant
1589930,37841,235330,2014-05-12,2014-05-15,false,5,https://littlesis.org/relationships/1589930,,,0,2 contributions · 0 USD,2 contributions · 0 USD,Sheila Bair,Boehner for Speaker Cmte,Donation/Grant
163225,37841,13613,1996-00-00,1996-00-00,,5,https://littlesis.org/relationships/163225,,,500,1 contribution · 500 USD,1 contribution · 500 USD,Sheila Bair,Clifford Bundy Stearns,Donation/Grant
120202,37841,14737,1991-00-00,1995-00-00,false,1,https://littlesis.org/relationships/120202,false,false,,Commissioner and Acting Chairman,Commissioner and Acting Chairman,Sheila Bair,Commodity Futures Trading Commission,Position
163238,37841,13847,2001-00-00,2001-00-00,,5,https://littlesis.org/relationships/163238,,,2000,"2 contributions · 2,000 USD","2 contributions · 2,000 USD",Sheila Bair,Constance A Morella,Donation/Grant
163228,37841,30740,1997-00-00,1997-00-00,,5,https://littlesis.org/relationships/163228,,,500,2 contributions · 500 USD,2 contributions · 500 USD,Sheila Bair,D C Republican Committee Federal Campaign Committee,Donation/Grant
1589925,37841,118177,2012-09-27,2012-09-27,false,5,https://littlesis.org/relationships/1589925,,,1000,"1 contribution · 1,000 USD","1 contribution · 1,000 USD",Sheila Bair,Deb Fischer,Donation/Grant
